number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1,3.88341 1.94691       2,-5.64494 -2.35733  8.27725,-3.26659 -1.03893        0,   3 1.67    0, -2.29527 -0.633308   2.35583,  1.34347 0.0620557    2.0632, -0.117786   0.248792 -0.0304971   0.960885
2,3.81832 1.49074       2,-3.76647  -2.8215  7.75968,-1.03172 -2.14248        0,   3 1.67    0,-0.625146  -1.83791   1.47644,  3.86055 -0.540069   0.98469, -0.161187    0.18416 -0.0306305   0.969106
3,4.31704 1.78132       2,-4.39143 -3.20244  7.85028,-1.23916 -2.27053        0,   3 1.67    0,-0.735718  -1.90339   1.60846,  3.22511 -0.461272    1.1866, -0.168307   0.194689 -0.0339305   0.965721
4,1.96715 1.67172       2,-3.82713  -2.4383  7.39785,-2.8906 -1.4232       0,   3 1.67    0,-2.24101 -1.00934  2.04299, 1.19175 0.175062  2.43064, -0.133785   0.221216 -0.0306523   0.965518
5,1.96605 1.66178       2,-2.07544 -2.06181  8.33484,-0.92169 -1.20699        0,   3 1.67    0,-0.634546 -0.921729   1.83273,  3.20993 -0.290566  0.902494, -0.133897   0.166558 -0.0228352   0.976631
6,4.04797 1.19323       2,-4.84045 -2.60796  7.67472,-2.01033 -2.07089        0,   3 1.67    0,-1.47328 -1.78153  1.53922,  2.73419 -0.651135   1.55311, -0.150537   0.216629 -0.0338289   0.963985
7, 2.50761 0.948604        2, -4.1034 -1.48761  7.15338, -2.65178 -0.921838         0,   3 1.67    0, -1.97429 -0.676227   1.94519, 1.40281 0.110765  2.25593,-0.105069  0.227421  -0.02469  0.967797
8,4.17398 1.47128       2,-4.07969 -2.28862  6.72764,-0.788112  -1.31235         0,   3 1.67    0,failed,failed,failed
9,0.789526  1.43558        2,-3.83998 -2.44275  7.52556,-4.12098 -1.68817        0,   3 1.67    0,failed,failed,failed
10,3.90391 1.37435       2,-4.97607 -2.79835  7.94875,-2.38132 -2.16022        0,   3 1.67    0,-1.62416 -1.73442  2.03617, 1.91406 -0.34969  1.89856,-0.155483  0.224629 -0.036333  0.961273
11,3.86323 2.25632       2,-6.88645  -3.1248  7.91265,-4.34269 -1.46721        0,   3 1.67    0,-3.34196 -1.01312  2.06212,0.715187 0.159288  2.79092, -0.133878   0.271077 -0.0381033    0.95244
12,0.646785  2.45839        2,-4.04986 -3.95668  7.29011,-4.29448 -2.36918        0,   3 1.67    0,failed,failed,failed
13,2.75199 1.27123       2,-3.71113 -2.10188  7.36948,-1.99278 -1.41607        0,   3 1.67    0,-1.49392 -1.13353  1.66556,  2.51719 -0.366512   1.68389, -0.129019   0.205067 -0.0272807   0.969823
14,2.97034 1.49156       2,-3.21494 -1.86589  6.89003, -1.08995 -0.864956         0,   3 1.67    0,-0.765712 -0.676775   1.22301,  4.28492 -0.107327  0.789387, -0.114792    0.18375 -0.0216115   0.976008
15,3.60906 1.89798       2,-5.25507 -2.40712  6.91205, -2.63962 -0.964266         0,   3 1.67    0, -1.83509 -0.595746   1.85326, 1.82111 0.103309   2.0412,   -0.1196    0.23609 -0.0292939   0.963898
16,2.63336 1.88911       2,-4.66762 -2.28036  8.60584,-3.53599 -1.12491        0,   3 1.67    0, -2.79535 -0.763072   2.23039, 1.08051 0.155477  2.21883,  -0.11916   0.240994 -0.0298289   0.962722
17, 2.0421 2.49736       2,-3.77755 -3.12701  7.68464,-2.77992 -1.49425        0,   3 1.67    0, -2.14814 -0.971265    2.0903,  0.9591 0.191844   2.4023,-0.147646  0.215908 -0.033047   0.96462
18,1.40908 2.29579       2, -4.0267 -3.57321  7.38747,-3.56936 -2.12196        0,   3 1.67    0,failed,failed,failed
19, 1.5664 1.00923       2,-2.88417 -2.61307  6.67924,-2.00497 -2.22644        0,   3 1.67    0, -1.7308 -1.97804  1.16417,0.906184 0.151647  2.44403, -0.170407   0.201133 -0.0355555   0.963972
20,2.89006 2.01136       2,-2.95138 -3.60255  6.56952,-0.661609  -2.32393         0,   3 1.67    0,-0.488271  -2.11235  0.783983, 4.27027 -0.59742  1.21623, -0.186597    0.16532 -0.0318712   0.967902
21,3.92024 1.15039       2,-4.14645 -2.02228  7.19981,-1.27014 -1.38103        0,   3 1.67    0,-0.840343  -1.17142   1.34977,  3.87628 -0.257547  0.903679, -0.126513   0.197782 -0.0257506   0.971706
22,3.50119 2.20135       2, -3.5689 -3.63892   6.9871,-0.856989  -2.24233         0,   3 1.67    0,-0.527035   -1.9059   1.19215,  4.36505 -0.478494    1.0779, -0.176048   0.172861 -0.0314192   0.968576
23,0.865085  2.10212        2,-4.60135  -3.4625  6.55796,-4.49093 -1.92826        0,   3 1.67    0,failed,failed,failed
24,4.35152 2.05347       2,-7.10992 -3.37165  7.90915,-4.03724 -1.92463        0,   3 1.67    0,-3.08955 -1.47522  1.94786,0.802077 0.142806  2.68296, -0.147491   0.266685 -0.0413371   0.951534
25, 4.3191 1.27321       2,-6.05161 -2.83858  8.68145, -3.3548 -2.32633        0,   3 1.67    0,-2.40879 -1.88259  2.30654, 1.14644 -0.21767   2.3103, -0.152879   0.247878 -0.0396465   0.955831
26,1.76758 1.71739       2,-4.80737 -3.06596  7.22328,-4.06826 -2.00449        0,   3 1.67    0,failed,failed,failed
27,3.75069 1.33701       2,-6.60073 -2.97828   7.2702, -3.9292 -2.12819        0,   3 1.67    0,-3.20104 -1.79964  1.52993,   1.08732 -0.0436804    2.72301, -0.149609    0.26488 -0.0416398   0.951694
28,2.22334 1.30786       2,-3.62208 -2.07604  8.19811,-2.61413 -1.46479        0,   3 1.67    0,-1.99912 -1.11229  2.21145,  1.00359 0.0413486   2.22557, -0.130142   0.216812 -0.0291775    0.96706
29,1.71779 1.77226       2,-5.12217 -3.02149  6.67211,-4.25511 -1.75105        0,   3 1.67    0,failed,failed,failed
30,2.52849  2.1686       2,-3.25713 -3.58433  6.72708,-1.40666 -2.16185        0,   3 1.67    0,  -1.084 -1.80678  1.24861,  1.96734 -0.195155   1.90268, -0.185148   0.189947 -0.0365011   0.963487
31,3.84842 1.01485       2,-6.57673 -2.10319  7.57841,-4.00778  -1.4975        0,   3 1.67    0,-3.09414 -1.20533  1.89175,  0.93899 0.0166797   2.68417, -0.120619   0.269384 -0.0340295   0.954843
32,2.51686 1.01106       2,-3.32901 -1.67466  8.34248,-2.01799 -1.27019        0,   3 1.67    0, -1.45799 -0.988481   2.19668,   1.65437 -0.0994436    1.69615, -0.121706   0.206409 -0.0258843   0.970522
33,4.46284 1.69133       2,-7.50373 -2.49739   8.0804, -4.4615 -1.27887        0,   3 1.67    0, -3.35342 -0.910078   2.13915,0.778442 0.174719  2.70996, -0.117748   0.279173 -0.0345161   0.952369
34, 3.08148 0.918848        2,-3.95254 -2.64533  6.51502,-1.64101 -2.24179        0,   3 1.67    0,-1.34306 -2.04238 0.972639,  2.18442 -0.454956   1.96381, -0.166915   0.207706 -0.0359947   0.963173
35,4.06991 2.28171       2,-7.56212 -4.16176  6.88532,-4.19667 -2.26774        0,   3 1.67    0,-3.61864 -1.94963  1.12859,    1.11821 -0.00752647     2.79069, -0.172814   0.278858 -0.0510889   0.943273
36,4.12445 1.68839       2,-3.83414 -2.48787  7.05755,-0.641357  -1.40401         0,   3 1.67    0,-0.245898  -1.14741    1.3223,  3.63296 -0.149936  0.890141,  -0.14153   0.184369 -0.0268387   0.972243
37, 2.5606 2.13521       2,-3.27548 -3.43142  7.76555,-1.65286 -2.27885        0,   3 1.67    0,-1.25138 -1.85826  1.64659,  2.32581 -0.541572   1.76556, -0.17784  0.189736 -0.034968  0.964961
38,2.52798 1.08112       2,-4.62262 -2.53671  7.87805,-3.35646 -2.14802        0,   3 1.67    0,-2.68936 -1.78195  1.93772, 0.820912 0.0571988   2.66196, -0.148699   0.236446 -0.0366433     0.9595
39,0.500893  1.34939        2, -2.8725 -1.92165  7.63225,-3.30442  -1.1963        0,   3 1.67    0,failed,failed,failed
40,2.95917 1.05235       2, -3.9869 -2.84053  6.59365,-1.82044 -2.35296        0,   3 1.67    0,-1.46384  -2.0989  1.10514,  1.64879 -0.172748   2.16234, -0.172522   0.210228 -0.0377184    0.96157
41,0.886407  1.23398        2,-2.10246 -2.66821   8.4237,-2.01537 -2.44863        0,   3 1.67    0,-1.71028 -2.06144  1.94259, 0.717044 -0.370213   2.38539,-0.173349  0.184553 -0.033089  0.966848
42,1.67634 1.42322       2,-3.23193 -2.56689  7.82343,-2.57207 -1.95098        0,   3 1.67    0,-2.07475   -1.556  1.94915, 0.69091 0.185748  2.47477, -0.151929   0.208355 -0.0327819   0.965625
43, 1.6184 1.44651       2,-2.22125 -2.56286  8.27481,-1.42839 -2.06886        0,   3 1.67    0,-1.07007 -1.65544  2.07933,  1.68178 -0.275346   1.85088, -0.159997    0.17216 -0.0283509   0.971575
44,2.97139 2.41147       2,-6.66432 -4.38438   6.8702,-4.45135 -2.47188        0,   3 1.67    0,failed,failed,failed
45,4.20126 2.42933       2,-4.20353  -3.6309  6.88966,-0.827167  -1.91409         0,   3 1.67    0,-0.455027  -1.59265   1.16974,  4.33169 -0.327523  0.896713, -0.166821   0.182325 -0.0314057   0.968474
46,1.66867 1.88329       2, -3.2152 -2.70095  8.34301,-2.65111 -1.74556        0,   3 1.67    0,-2.0612   -1.25 2.38758,  1.08938 0.0883486   2.24809, -0.147208   0.207123 -0.0315417   0.966662
47,3.95015 1.44091       2,-6.70588 -2.65251  7.61597,-4.01205 -1.70853        0,   3 1.67    0, -3.0742 -1.33757  1.90969,  1.30612 0.0392029   2.48013, -0.132403   0.265671 -0.0368633   0.954217
48,1.38069 2.22065       2,-2.07342 -3.52447   8.0579,-1.37563 -2.46463        0,   3 1.67    0,-1.09043 -1.97984  1.84251,  1.75343 -0.432603   1.93802, -0.190128   0.168019 -0.0330452    0.96671
49,4.26298 2.30316       2,-7.27094 -3.74219  6.85515,-3.77685 -1.83477        0,   3 1.67    0,-3.05663 -1.46408  1.37395, 1.19911 0.138819   2.5829, -0.151848   0.264291 -0.0421785    0.95148
50, 1.5242 1.45558       2,-4.22927 -2.15718  7.89061,-3.95583 -1.33957        0,   3 1.67    0,-3.42787 -1.07028  1.67886,0.402256  0.37638  2.99954, -0.115441   0.230584 -0.0275619   0.965787
51,1.75911 1.49924       2,-2.49623 -1.79596  7.57055, -1.57292 -0.898054         0,   3 1.67    0,  -1.1747 -0.611547   1.90707,   2.17117 -0.0445592    1.61654, -0.117188   0.185133 -0.0222415   0.975448
52,3.48528 2.36022       2,-4.30871 -3.46026  7.07298,-1.72683 -1.82554        0,   3 1.67    0,-1.26091 -1.45137  1.41505,   3.4884 -0.498296   1.36475, -0.159205    0.20001 -0.0329562   0.966211
53,3.84355 1.97328       2,-5.05086 -3.07972  8.22248,-2.57798 -1.94219        0,   3 1.67    0,-1.76116 -1.44415  2.21722,  1.70316 -0.196142   1.91903, -0.153151    0.22666 -0.0361153   0.961179
54,1.17746 1.16803       2,-4.25326  -2.2999  8.49062,-4.47006 -1.88581        0,   3 1.67    0,failed,failed,failed
55,3.42469 2.38901       2,-4.88589 -3.78829  7.91351,-2.64723 -2.31886        0,   3 1.67    0,-1.94891 -1.77742  1.95702,  1.32564 -0.090522   2.20725, -0.174233   0.223341 -0.0406117   0.958182
56,3.27832 2.13644       2, -3.5957 -3.66462  6.79371, -1.0523 -2.27719        0,   3 1.67    0,-0.749951  -1.96905   1.09172,  4.15738 -0.535868   1.22764, -0.177789    0.17755 -0.0326312   0.967369
57,2.66128 2.24543       2,-5.26279 -2.83238  7.66621,-3.83043 -1.24835        0,   3 1.67    0,  -3.0895 -0.849583   1.88751,0.530105 0.333794  2.77852, -0.131311   0.252608 -0.0346246   0.957992
58,2.96425 1.52922       2,-4.51163 -2.85129   8.0863,-2.83059 -2.13304        0,   3 1.67    0,-2.10483 -1.67437  2.15351,   1.23613 -0.0814597     2.2985,  -0.15493   0.225262 -0.0363081   0.961215
59,2.25031 1.47132       2,-5.21021 -2.31083  6.81393,-3.93265 -1.27094        0,   3 1.67    0,failed,failed,failed
60,2.96765 1.13857       2,-4.60411 -1.98443  6.64761,-2.54656 -1.23813        0,   3 1.67    0, -1.88163 -0.951532   1.67348, 1.61255 0.279779  2.19933, -0.120485   0.229173 -0.0285993   0.965477
61,4.20898 1.02748       2,-4.31604 -1.53721   7.5198, -1.29398 -0.932468         0,   3 1.67    0,-0.720196 -0.728109   1.71603,     2.551 -0.0118904    1.14326, -0.110991   0.209628 -0.0239576   0.971166
62,3.33859 1.52046       2,-2.95262 -2.08286   8.0855,-0.648642  -1.29225         0,   3 1.67    0,-0.234683  -1.00023   1.83806,  2.93746 -0.208426  0.885088, -0.137468   0.177012 -0.0249768   0.974241
63,3.21634 1.17307       2,-5.56965 -2.62364  7.61183,-3.59515 -2.03554        0,   3 1.67    0,-2.8427 -1.6811 1.82896,   1.1679 -0.110829   2.53198, -0.147754    0.25478 -0.0394257   0.954831
64,1.57442 2.14947       2,-2.05984 -2.55251  7.82745, -1.1963 -1.28395        0,   3 1.67    0,-0.938445 -0.964421   1.61908,  3.47811 -0.401596   1.13373, -0.141161   0.165795 -0.0239864    0.97571
65,0.962983  1.26325        2,-2.21734 -2.00303   6.9213,-1.89351 -1.31715        0,   3 1.67    0,-1.56737 -1.02253     1.67,0.669378 0.312229  2.40484,  -0.13461   0.188522 -0.0260959    0.97245
66,2.90874 2.28276       2,-3.48133  -3.8976  6.98932,-1.31824 -2.44965        0,   3 1.67    0,-1.04893 -2.14814  1.05608,   3.0818 -0.685652   1.65693, -0.190321   0.184172 -0.0363757   0.963605
67,2.60631 2.47073       2,-3.00663 -3.80747  6.63227,-1.01013 -2.10898        0,   3 1.67    0,-0.785837  -1.82494  0.954516,  2.97911 -0.439639   1.52454, -0.188922   0.177211 -0.0346844   0.965247
68,1.73639  1.7726       2,-4.47264 -3.35394  7.35694, -3.7527 -2.34356        0,   3 1.67    0,failed,failed,failed
69,4.45587 1.87968       2,-4.36612 -3.39084  7.76342,-1.03569 -2.38521        0,   3 1.67    0,-0.592583  -2.04108   1.42618,  3.90711 -0.603605  0.973505, -0.173766     0.1888 -0.0339644   0.965923
70,4.12434 2.31226       2,-3.99165 -2.64469  7.40014,-0.909579  -1.02299         0,   3 1.67    0,-0.409065 -0.691369   1.60342,    2.63761 -0.00580548      1.0413, -0.137333   0.196019 -0.0277371   0.970539
