number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1,2.53168  -0.337       2, -4.30037 0.0217227    7.2702, -2.92897 -0.309417         0,1.75    0    0,failed,failed,failed
2, 1.76781 0.504609        2, -2.62857 -0.584325   6.72708, -1.60647 -0.245488         0,1.75    0    0, -2.38886 -0.212145   1.56273,    2.07838 -0.00126865     1.00055,-0.00526555    0.226186  -0.0012227    0.974069
3,  1.62419 -0.164467         2, -3.40638 -0.473328   6.88022, -2.70794 -0.766431         0,1.75    0    0,failed,failed,failed
4,  2.59276 -0.663043         2,-4.28836 0.896812  7.57841,-2.92448 0.490761        0,1.75    0    0, -2.36669 -0.619013   1.20677,    2.41499 -0.00350246    0.998245, -0.0289388     0.20688 -0.00612203    0.977919
5,  1.60357 -0.247979         2, -2.62637 -0.275136   6.97739, -1.82182 -0.606819         0,1.75    0    0,-2.45643 0.492879  1.46089, 2.08132 0.147961 0.874792, 0.0353529   0.225664 0.00819478   0.973529
6,  2.11343 -0.760202         2,-2.97627 0.354674  6.51502,-1.63057 -0.31404        0,1.75    0    0, -1.63703 -0.487462    0.9056,  2.96277 -0.139236  0.388337, -0.0221267    0.185375 -0.00417518     0.98241
7,  2.76528 0.0186075         2,-2.91707 0.512134  7.05755,-1.02627 0.684269        0,1.75    0    0,failed,failed,failed
8, 1.78788 0.470817        2, -2.63774 -0.431419   7.76555, -1.80536 -0.116879         0,1.75    0    0,failed,failed,failed
9,  1.76749 -0.595972         2,-3.31131 0.463288  7.87805,-2.68685 0.027238        0,1.75    0    0,failed,failed,failed
10,  2.03698 -0.625096         2,-2.99345 0.159472  6.59365, -1.74508 -0.423611         0,1.75    0    0, -2.32561 0.0766962   1.46559,  1.93341 0.0111806  0.793767,  0.013779   0.210446 0.00296646   0.977504
11, 0.741505 -0.441275         2,-2.05123  0.33179   8.4237, -2.17933 0.0311755         0,1.75    0    0, -1.47913 -0.337779   1.04772,  3.24246 -0.198129  0.344921,-0.00590257     0.19092 -0.00114806    0.981587
12,  1.23521 -0.249749         2,-2.61596 0.433112  7.82343,-2.34322 0.342714        0,1.75    0    0,failed,failed,failed
13,    1.199 -0.226182         2,-2.11062 0.437138  8.27481,-1.78329 0.391488        0,1.75    0    0,-2.08159 0.399398  1.30789,  2.1979 0.116239 0.631913, 0.023022  0.193411 0.0045397  0.980837
14, 2.81329 0.768476        2, -3.10177 -0.630899   6.88966,  -1.15731 -0.0391424          0,1.75    0    0,failed,failed,failed
15, 1.23042 0.215864        2, -2.6076 0.299054  8.34301,-2.42948 0.635601        0,1.75    0    0,failed,failed,failed
16,  2.65634 -0.231854         2,-4.35294 0.347494  7.61597,-2.96885 0.217205        0,1.75    0    0, -2.1485 0.703377  1.46294, 2.37678 0.349036 0.461838, 0.0287137   0.194273 0.00568917   0.980511
17, 1.05043 0.557283        2, -2.03671 -0.524469    8.0579, -1.80269 -0.177419         0,1.75    0    0,-2.47498 0.277779  1.48496, 2.02414 0.084033 0.878435, 0.0161558   0.228086 0.00378523     0.9735
18, 1.57921 0.012589        2,  -2.2039 -0.389842   7.86837,-1.47426 -0.52753        0,1.75    0    0, -1.41624 0.0220949   2.25487,  0.954317 -0.0025505   0.941229,  -0.015135    0.180689 -0.00278084     0.98342
19, 2.85186 0.640789        2, -4.63547 -0.742194   6.85515, -2.81939 -0.267247         0,1.75    0    0,failed,failed,failed
20,1.53622 0.79612       2,-3.12994   -1.233  7.21631, -2.53444 -0.807457         0,1.75    0    0,  -2.4238 -0.103908   1.11052,     2.12304 -0.000401486     0.999224, -0.0205475    0.228163 -0.00481632    0.973394
21,  2.3658 0.698536        2,-3.15436 -0.46026  7.07298, -1.7214 0.102163        0,1.75    0    0,-2.12441 -0.54593  1.55884,    2.08117 -0.00476177    0.996888,  -0.048161    0.201794 -0.00993529    0.978193
22, 2.58972 0.306935        2,  -3.52543 -0.0797207    8.22248, -2.2134 0.198322        0,1.75    0    0,failed,failed,failed
23, 2.32793 0.727678        2, -3.44295 -0.788288   7.91351,  -2.2905 -0.329747         0,1.75    0    0,failed,failed,failed
24, 2.23645 0.472061        2, -2.79785 -0.664622   6.79371, -1.35546 -0.381189         0,1.75    0    0, -2.04858 -0.174357   1.01431,   2.25216 -0.0386567   0.394914, -0.0239932    0.209117 -0.00513242    0.977583
25, 2.25155 0.409406        2, -2.59941 -0.874572   6.70661, -1.07377 -0.709401         0,1.75    0    0,failed,failed,failed
26,  1.8508 0.582359        2,-3.6314 0.16762 7.66621,-2.94767  0.80385        0,1.75    0    0,failed,failed,failed
27,  2.04016 -0.142479         2,-3.25582 0.148713   8.0863, -2.39416 0.0600641         0,1.75    0    0, -2.5071 0.883514  1.56333, 2.31059 0.849409 0.921326, 0.0285574   0.214722 0.00628115   0.976237
28, 1.59394 -0.20107        2, -3.6051 0.689174  6.81393, -2.9342 0.664558        0,1.75    0    0,-2.13618 0.148281  1.14407,  2.06547 0.0404499  0.488641, 0.0081313   0.208017 0.00172934    0.97809
29,  2.04228 -0.537836         2,-3.30205  1.01557  6.64761,-2.09231 0.733793        0,1.75    0    0,-2.35911  0.65462  1.79501, 2.22491 0.578048  1.37344, 0.0360862   0.212951 0.00787062   0.976365
30,  0.928949 -0.0578976          2, -2.11018 -0.475253   7.68881, -1.97387 -0.711667         0,1.75    0    0,failed,failed,failed
31,  2.19771 -0.502915         2,-3.78483 0.376363  7.61183,   -2.76352 -0.00956942           0,1.75    0    0, -1.78819 -0.569849   1.12932,  2.54944 -0.171165  0.450716, -0.0299423    0.178179 -0.00542445    0.983527
32, 2.00546 0.620144        2, -2.74067 -0.897602   6.98932, -1.55731 -0.546708         0,1.75    0    0, -2.34983 0.0492929   1.43836,   2.10325 0.00498998   0.807497, 0.0107156   0.217742 0.00239075   0.975945
