number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1, 2.5606 2.13521       2,-2.95661 -2.12749  7.76555,-1.36711 -0.69106        0,1.75    0    0,failed,failed,failed
2,2.52798 1.08112       2,-3.96697 -1.34462  7.87805, -2.68677 -0.686441         0,1.75    0    0, -2.15919 -0.507616   1.75692,  1.32641 -0.199904  0.983287,-0.0494309   0.224839 -0.0114215   0.973074
3,0.886407  1.23398        2,-2.07685 -1.45968   8.4237,  -2.0428 -0.824774         0,1.75    0    0, -1.74228 -0.613554   1.90047,  1.21859 -0.233275   0.70197,-0.0599578   0.185787 -0.0113587   0.980693
4,1.67634 1.42322       2,-2.92395 -1.37103  7.82343, -2.26164 -0.423281         0,1.75    0    0, -1.82409 -0.218115   1.86943,    1.0396 -0.0359908    1.01119, -0.0445339     0.20377 -0.00927919    0.977961
5, 1.6184 1.44651       2,-2.16593  -1.3675  8.27481, -1.41601 -0.469323         0,1.75    0    0, -1.19065 -0.327034   1.41247,    1.82988   -0.188604 -0.00356215,  -0.049067    0.185952 -0.00929809    0.981289
6,3.85046 2.15976       2,-4.99659 -1.13395  7.66691,-2.47868  0.72339        0,1.75    0    0,-1.84446 0.867322  1.68205, 1.13367 0.117319 0.908713, -0.00151435     0.240131 -0.000374604     0.970739
7,1.66867 1.88329       2, -2.9114 -1.48833  8.34301,-2.34946  -0.1708        0,1.75    0    0, -1.91732 0.0501131   1.95334,   1.08769 -0.0609406   0.803157, -0.0380645    0.207105 -0.00806442    0.977545
8,3.95015 1.44091       2,-5.52941 -1.44594  7.61597,   -2.905 -0.351716         0,1.75    0    0, -2.18489 -0.163408   1.75298,   1.10729 -0.0115739    1.11218,-0.0397675   0.249631  -0.010261    0.96747
9,1.38069 2.22065       2,-2.05507 -2.20891   8.0579, -1.43523 -0.806066         0,1.75    0    0,failed,failed,failed
10,4.26298 2.30316       2, -5.9532 -2.39942  6.85515, -2.66962 -0.491004         0,1.75    0    0, -2.07573 -0.251635   1.31057,  1.45412 0.0164259   1.04748,-0.0628137   0.246123 -0.0159864   0.967069
11,1.75911 1.49924       2, -2.37217 -0.696465   7.57055,-1.45842 0.554583        0,1.75    0    0,-1.22619 0.622764  1.24258, 2.23264 0.158358 0.150179, 0.00283091    0.186339 0.000536916    0.982481
12,3.48528 2.36022       2,-3.73154 -2.15273  7.07298,-1.19467 -0.33965        0,1.75    0    0,-0.982709 -0.217367  0.792893, 0.489049 -0.177623  0.642994,-0.0634676    0.21404 -0.0139377   0.974661
13,3.84355 1.97328       2,-4.28814 -1.81976  8.22248, -1.81205 -0.426778         0,1.75    0    0,failed,failed,failed
14,3.42469 2.38901       2,-4.16442 -2.43975  7.91351, -1.95913 -0.765132         0,1.75    0    0,  -1.5027 -0.497727   1.52875,  1.29467 -0.212499  0.466974,-0.0779819   0.223747 -0.0179627   0.971356
15,3.27832 2.13644       2,-3.19677 -2.33154  6.79371,-0.709058 -0.771726         0,1.75    0    0,failed,failed,failed
