number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1,0.925564  1.37103        2,  -2.10831 -0.0241259    7.46583,-1.94031  1.33823        0,1.75    0    0,-1.68001  1.34121  1.49241, 1.95292 0.299958 0.840391, 0.0407356   0.178151 0.00738159   0.983132
2,1.71436 2.02799       2, -3.10291 -0.587512   8.49315,-2.60609  1.20995        0,1.75    0    0,-2.20724  1.28547  1.76768, 1.13075 0.453279 0.927488, 0.0252399   0.211683 0.00546864   0.976997
3,3.92024 1.15039       2,-4.14645 0.977717  7.19981,-1.32945  2.38825        0,1.75    0    0,-1.03898  2.31975 0.946893, 2.52745 0.631596 0.414513,0.0981626  0.200111 0.0201547  0.974635
4,3.29909 1.87716       2, -5.28022 -0.723677    7.3339,-3.22646 0.982805        0,1.75    0    0,-2.59823  1.06891  1.55563, 1.30989 0.307263  1.37663, 0.0118011   0.244768 0.00297938   0.969505
5,3.50119 2.20135       2,  -3.5689 -0.638923    6.9871,-1.04511  1.38745        0,1.75    0    0,failed,failed,failed
6,4.35152 2.05347       2,-7.10992 -0.37165  7.90915,-4.23596  1.60458        0,1.75    0    0,-3.45822  1.64524  1.61356,0.383775 0.607346  2.09064,0.0350514  0.275159 0.0100392  0.960707
7, 4.3191 1.27321       2,-6.05161 0.161418  8.68145,-3.49694  1.48169        0,1.75    0    0,-2.65373   1.4592  2.07973,  0.5377 0.382461   1.4045,0.0465266   0.26351 0.0127253   0.96345
8,1.76758 1.71739       2,  -4.80737 -0.0659617    7.22328,-4.23267  1.63506        0,1.75    0    0,-3.88858  1.63978 0.978117,0.256779 0.650533  2.43258,0.0417948  0.253508  0.010964  0.966368
9,3.75069 1.33701       2, -6.60073 0.0217227    7.2702,-4.07464  1.36276        0,1.75    0    0,-3.36628  1.36043  1.47292,0.716294 0.495702  2.04789, 0.0348385   0.266994 0.00965886    0.96302
10,1.71779 1.77226       2,  -5.12217 -0.0214901    6.67211,-4.39864   1.7466        0,1.75    0    0,failed,failed,failed
11,2.52849  2.1686       2, -3.25713 -0.584325   6.72708,-1.5819  1.4312       0,1.75    0    0,-1.35858  1.47127 0.879281,  2.6606 0.376622 0.454548, 0.0308524   0.194437 0.00611871   0.980411
12, 2.2987 1.50749       2, -4.81276 -0.473328   6.88022,-3.58104 0.929227        0,1.75    0    0,-3.03795 0.982639  1.39394, 1.02818 0.347151  1.88241, 0.0138118   0.240432 0.00342152   0.970562
13, 2.10735 0.996482        2, -4.69951 0.0732058   8.21909,-4.08438  1.09293        0,1.75    0    0,-3.33916  1.08132  2.11939,0.582509  0.34549  1.92264,  0.030755   0.249538 0.00792951   0.967844
14,0.78161 1.34899       2, -3.93665 -0.359897   7.51219,-4.33027 0.881651        0,1.75    0    0,-3.86373 0.924303  1.52644,0.384504 0.354077  2.37717, 0.0145703   0.235922 0.00353773   0.971656
15,3.84842 1.01485       2,-6.57673 0.896812  7.57841,-4.07949  2.09591        0,1.75    0    0,-3.4908 2.01564   1.294,0.248591 0.878854  2.34971, 0.071473  0.267228 0.0198794  0.960774
16,2.26571 1.42497       2, -3.25274 -0.275136   6.97739,-1.91504  1.07134        0,1.75    0    0,-1.63019  1.09543  1.08289, 2.54828 0.328356 0.508612, 0.0265761   0.200452 0.00543969   0.979328
17, 3.08148 0.918848        2,-3.95254 0.354674  6.51502,-1.7488 1.35229       0,1.75    0    0,-1.43985  1.32456 0.979028, 2.10935 0.247238 0.742505,0.0495834  0.209015  0.010612  0.976597
18,4.06991 2.28171       2,-7.56212 -1.16176  6.88532,-4.44147 0.974115        0,1.75    0    0,-3.77546  1.07644  1.22333,0.638466 0.403858  2.22849, 0.00223651    0.279761 0.000651715    0.960067
19,4.12445 1.68839       2,-3.83414 0.512134  7.05755,-0.738639   2.33796         0,1.75    0    0,failed,failed,failed
20, 2.5606 2.13521       2, -3.27548 -0.431419   7.76555,-1.82667  1.55736        0,1.75    0    0,-1.47336  1.60389  1.42852, 1.75033 0.368375 0.586166, 0.0407305   0.201486 0.00838602   0.978608
21,2.52798 1.08112       2,-4.62262 0.463288  7.87805,-3.46538  1.68179        0,1.75    0    0,-2.90781  1.62591  1.65015, 0.67954 0.537872  1.77629,0.0554911  0.238346 0.0136422  0.969498
22,2.95917 1.05235       2, -3.9869 0.159472  6.59365,-1.94444  1.24849        0,1.75    0    0,  -1.622  1.23559 0.991965, 2.30456 0.275027 0.704552, 0.0410071   0.211517 0.00888267   0.976473
23,0.886407  1.23398        2,-2.10246  0.33179   8.4237,-2.10437  1.70595        0,1.75    0    0,failed,failed,failed
24,1.67634 1.42322       2,-3.23193 0.433112  7.82343,-2.67318   2.0061        0,1.75    0    0,-2.28398  1.95395  1.56354, 1.21834 0.517228  1.35391,0.0672152  0.205855 0.0141744  0.976168
25, 1.6184 1.44651       2,-2.22125 0.437138  8.27481,-1.51324  2.06281        0,1.75    0    0,-1.24561  2.01014  1.59917, 1.72763 0.512323 0.558406,0.0789089  0.174365 0.0140195  0.981414
26,4.20126 2.42933       2, -4.20353 -0.630899   6.88966,-1.02402  1.64508        0,1.75    0    0,failed,failed,failed
27,1.66867 1.88329       2, -3.2152 0.299054  8.34301,-2.77301  2.29643        0,1.75    0    0,-2.37033  2.25897  1.69629, 0.86459 0.587717  1.44232,0.0728771  0.206429 0.0154198  0.975622
28,3.95015 1.44091       2,-6.70588 0.347494  7.61597,-4.11506  1.85884        0,1.75    0    0,-3.47795  1.82583  1.39769,0.434016 0.906481  2.21007,0.0543975  0.268446 0.0151853  0.961638
