number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1,3.50915  1.7462       2,-6.38827 -1.42285  6.90134, -3.92122 0.0912444         0,    3 -1.67     0,failed,failed,failed
2,2.40397 1.77862       2, -4.73154 -0.940155   7.13153,-3.46285 0.612884        0,    3 -1.67     0,-2.86116 0.732441   1.5863,  0.700779 -0.0579022    2.71824,0.0467696  0.252309 0.0122102  0.966439
3,1.01767 1.46538       2,-4.28399 -1.23324  7.04096,  -4.32346 -0.0721775          0,    3 -1.67     0,failed,failed,failed
4,1.39129 2.02293       2,-4.17507 -1.64127  7.00749,  -3.79946 -0.0176134          0,    3 -1.67     0,failed,failed,failed
5,3.59504 2.18592       2,-5.81958 -1.88431    6.901,  -3.26524 -0.0353527          0,    3 -1.67     0, -2.4157 0.239718  1.77646,   1.5796 0.0421403   2.18946,0.0115285  0.258484  0.003085  0.965942
6,3.22263 2.23746       2,-6.02362 -1.26677  7.03816,-3.91447 0.736516        0,    3 -1.67     0,-3.22731 0.881026  1.49942,0.797546 0.212826  2.79329,0.0427308  0.272246 0.0121029  0.961202
7,1.54107 1.30758       2, -4.16368 -0.857646   7.50296,-3.81349  0.20463        0,    3 -1.67     0,failed,failed,failed
8,0.743358  2.48436        2,-3.54794 -2.70686  6.76365,-3.60525 -0.83336        0,    3 -1.67     0,failed,failed,failed
9,1.37489 1.54436       2, -3.95347 -0.819234   7.37897,-3.70846 0.490996        0,    3 -1.67     0,failed,failed,failed
10, 3.81886 0.935707        2, -6.47312 -0.542475   7.50672,-3.98314 0.281867        0,    3 -1.67     0,-2.95177   0.3683  2.06307,   1.33474 -0.0227388    2.38849, 0.045165  0.273633 0.0128644  0.960687
11, 3.77824 0.946771        2, -6.95514 -0.648138   7.35655,-4.41733 0.183039        0,    3 -1.67     0,failed,failed,failed
12,4.27009 1.83062       2,-7.06771 -1.83513  8.49062,  -4.4459 -0.432484         0,    3 -1.67     0, -3.26005 -0.124579    2.4397,    0.786 -0.174175   2.53093,0.00835854   0.282528 0.00246192   0.959219
13,4.32107 2.39928       2,-6.95906 -2.36723  7.69148, -3.92543 -0.405892         0,    3 -1.67     0, -3.03692 -0.103653   1.81815,  1.07672 -0.275421   2.33976, -0.00150138     0.275269 -0.000429891     0.961366
14,1.70306 1.71696       2,-4.04096 -1.85499   8.5069, -3.72592 -0.775201         0,    3 -1.67     0, -3.08086 -0.479087   2.19473, 0.966858 -0.130069   2.24922,   -0.001476     0.244889 -0.000372809      0.96955
15,4.08098  2.0482       2,-6.07002  -2.4227  7.11732, -3.06969 -0.805819         0,    3 -1.67     0, -2.17991 -0.450686   1.85615,    1.839 -0.154107   1.84996, -0.0149074     0.25799 -0.00398124    0.966024
16,  0.7307 0.862239        2,  -3.7847 -0.738987   7.22843,  -4.12009 -0.0849077          0,    3 -1.67     0,failed,failed,failed
17, 4.06331 0.927613        2,-6.95547 -1.06021  6.60516, -3.76974 -0.266369         0,    3 -1.67     0, -3.12283 -0.167762   1.22626,   1.21695 -0.0969424    2.44298,  0.023101   0.278168 0.00669209   0.960231
