number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1,0.925564  1.37103        2,  -2.10831 -0.0241259    7.46583,-1.94031  1.33823        0,   3 1.67    0,failed,failed,failed
2,1.71436 2.02799       2, -3.10291 -0.587512   8.49315,-2.60609  1.20995        0,   3 1.67    0,-2.21312  1.28436  1.74598, 2.83031  1.72857 0.920589, -0.0358752    0.212326 -0.00780046    0.976509
3,3.92024 1.15039       2,-4.14645 0.977717  7.19981,-1.32945  2.38825        0,   3 1.67    0,failed,failed,failed
4,3.29909 1.87716       2, -5.28022 -0.723677    7.3339,-3.22646 0.982805        0,   3 1.67    0,failed,failed,failed
5,3.50119 2.20135       2,  -3.5689 -0.638923    6.9871,-1.04511  1.38745        0,   3 1.67    0,failed,failed,failed
6,4.35152 2.05347       2,-7.10992 -0.37165  7.90915,-4.23596  1.60458        0,   3 1.67    0,-3.09504  1.66422  2.19762,1.62279 2.36058 2.01909, -0.0193888     0.27742 -0.00559982    0.960537
7, 4.3191 1.27321       2,-6.05161 0.161418  8.68145,-3.49694  1.48169        0,   3 1.67    0,-2.7627 1.46211 1.85753, 2.4002 1.87596 1.05038,  -0.014457    0.263687 -0.00395247    0.964492
8,1.76758 1.71739       2,  -4.80737 -0.0659617    7.22328,-4.23267  1.63506        0,   3 1.67    0,failed,failed,failed
9,3.75069 1.33701       2, -6.60073 0.0217227    7.2702,-4.07464  1.36276        0,   3 1.67    0,failed,failed,failed
10,1.71779 1.77226       2,  -5.12217 -0.0214901    6.67211,-4.39864   1.7466        0,   3 1.67    0,failed,failed,failed
11,2.52849  2.1686       2, -3.25713 -0.584325   6.72708,-1.5819  1.4312       0,   3 1.67    0,-1.23764  1.49296  1.25919,  3.6828  2.28755 0.712502, -0.0322688    0.202675 -0.00668249    0.978691
12, 2.2987 1.50749       2, -4.81276 -0.473328   6.88022,-3.58104 0.929227        0,   3 1.67    0,-2.62155  1.02359  2.19485,1.93141 1.46493 2.33496, -0.0368393    0.244434 -0.00929358    0.968921
13, 2.10735 0.996482        2, -4.69951 0.0732058   8.21909,-4.08438  1.09293        0,   3 1.67    0,failed,failed,failed
14,0.78161 1.34899       2, -3.93665 -0.359897   7.51219,-4.33027 0.881651        0,   3 1.67    0,failed,failed,failed
15,3.84842 1.01485       2,-6.57673 0.896812  7.57841,-4.07949  2.09591        0,   3 1.67    0,-3.00221  1.94901  2.12491,1.93873 2.78737 2.07956, 0.0142135   0.271935 0.00401699   0.962202
16,2.26571 1.42497       2, -3.25274 -0.275136   6.97739,-1.91504  1.07134        0,   3 1.67    0,-1.51782  1.10494  1.43446, 3.66528  1.71636 0.868337,-0.0331901    0.20441 -0.0069349   0.978298
17, 3.08148 0.918848        2,-3.95254 0.354674  6.51502,-1.7488 1.35229       0,   3 1.67    0,-1.33646  1.31528   1.2423, 3.68158  2.00492 0.803616,  -0.012742    0.216906 -0.00283147    0.976105
18,4.06991 2.28171       2,-7.56212 -1.16176  6.88532,-4.44147 0.974115        0,   3 1.67    0,failed,failed,failed
19,4.12445 1.68839       2,-3.83414 0.512134  7.05755,-0.738639   2.33796         0,   3 1.67    0,failed,failed,failed
20, 2.5606 2.13521       2, -3.27548 -0.431419   7.76555,-1.82667  1.55736        0,   3 1.67    0,failed,failed,failed
21,2.52798 1.08112       2,-4.62262 0.463288  7.87805,-3.46538  1.68179        0,   3 1.67    0,failed,failed,failed
22,2.95917 1.05235       2, -3.9869 0.159472  6.59365,-1.94444  1.24849        0,   3 1.67    0,-1.45704  1.22899  1.40517, 3.54001  1.89541 0.949393, -0.0191415    0.218148 -0.00427959    0.975719
23,0.886407  1.23398        2,-2.10246  0.33179   8.4237,-2.10437  1.70595        0,   3 1.67    0,-1.91584   1.6762  1.27238, 2.44525 0.480818 0.988811,-0.00615974    0.196945 -0.00123739    0.980394
24,1.67634 1.42322       2,-3.23193 0.433112  7.82343,-2.67318   2.0061        0,   3 1.67    0,failed,failed,failed
25, 1.6184 1.44651       2,-2.22125 0.437138  8.27481,-1.51324  2.06281        0,   3 1.67    0,-1.27036  2.01501  1.47382,3.31313 2.41957 0.47244,0.00557905   0.193108 0.00109804   0.981161
26,4.20126 2.42933       2, -4.20353 -0.630899   6.88966,-1.02402  1.64508        0,   3 1.67    0,failed,failed,failed
27,1.66867 1.88329       2, -3.2152 0.299054  8.34301,-2.77301  2.29643        0,   3 1.67    0,-2.38531  2.26037   1.6431, 3.03178   2.5839 0.972505,0.00838227   0.220634 0.00189622   0.975319
28,3.95015 1.44091       2,-6.70588 0.347494  7.61597,-4.11506  1.85884        0,   3 1.67    0,failed,failed,failed
