number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1,3.50915  1.7462       2,-6.38827 -1.42285  6.90134, -3.92122 0.0912444         0,1.75    0    0, -3.1831 0.255647  1.49556,0.905052 0.171712  1.92656, -0.0257962    0.262642 -0.00702438    0.964523
2,2.40397 1.77862       2, -4.73154 -0.940155   7.13153,-3.46285 0.612884        0,1.75    0    0,-2.86823 0.731035  1.57104, 1.02091 0.248196  1.74386,-0.00382064    0.238994 -0.00094037    0.971013
3,1.01767 1.46538       2,-4.28399 -1.23324  7.04096,  -4.32346 -0.0721775          0,1.75    0    0,failed,failed,failed
4,1.39129 2.02293       2,-4.17507 -1.64127  7.00749,  -3.79946 -0.0176134          0,1.75    0    0,-3.26377 0.192975  1.56019,0.254916 0.193964  2.31374, -0.0358036    0.234496 -0.00864281    0.971419
5,3.59504 2.18592       2,-5.81958 -1.88431    6.901,  -3.26524 -0.0353527          0,1.75    0    0,-2.58292 0.185572  1.48584,1.49069 0.17674 1.36007,-0.0392597    0.24863 -0.0100864    0.96775
6,3.22263 2.23746       2,-6.02362 -1.26677  7.03816,-3.91447 0.736516        0,1.75    0    0,-3.24749 0.876782  1.46345,0.970076 0.340117  1.88719, -0.0066403    0.258419 -0.00177636    0.966008
7,1.54107 1.30758       2, -4.16368 -0.857646   7.50296,-3.81349  0.20463        0,1.75    0    0,-3.22852 0.325125  1.77588,0.555071 0.101772  2.07504, -0.0128469    0.234406 -0.00309798    0.972049
8,0.743358  2.48436        2,-3.54794 -2.70686  6.76365,-3.60525 -0.83336        0,1.75    0    0, -3.17157 -0.502485   1.45993, 0.229328 0.0205792    2.3309,-0.0807266   0.219432 -0.0182222   0.972112
9,1.37489 1.54436       2, -3.95347 -0.819234   7.37897,-3.70846 0.490996        0,1.75    0    0, -3.1644 0.603736  1.70693, 0.35994 0.280798  2.14565,-0.00474535    0.232447 -0.00113412    0.972597
10, 3.81886 0.935707        2, -6.47312 -0.542475   7.50672,-3.98314 0.281867        0,1.75    0    0,-3.09042  0.35668  1.83994,0.63661 0.18491 1.92557, -0.00320158     0.267222 -0.000887824     0.963629
11, 3.77824 0.946771        2, -6.95514 -0.648138   7.35655,-4.41733 0.183039        0,1.75    0    0,-3.55942 0.262987  1.67504,  0.635322 -0.0473219    2.11622,-0.00762176    0.275279  -0.0021825    0.961332
12,4.27009 1.83062       2,-7.06771 -1.83513  8.49062,  -4.4459 -0.432484         0,1.75    0    0, -3.41257 -0.164182   2.19212, 0.252197 -0.138029   1.97791,-0.0437531   0.279422 -0.0127471   0.959086
13,4.32107 2.39928       2,-6.95906 -2.36723  7.69148, -3.92543 -0.405892         0,1.75    0    0,  -2.98472 -0.0858953    1.90259,  0.73489 0.0427402   1.72343,-0.0542555   0.269021 -0.0151805   0.961485
14,1.70306 1.71696       2,-4.04096 -1.85499   8.5069, -3.72592 -0.775201         0,1.75    0    0,failed,failed,failed
15,4.08098  2.0482       2,-6.07002  -2.4227  7.11732, -3.06969 -0.805819         0,1.75    0    0, -2.36591 -0.524923   1.53654,   1.40789 0.00285699    1.21117,-0.0699833   0.249648 -0.0180929   0.965635
16,  0.7307 0.862239        2,  -3.7847 -0.738987   7.22843,  -4.12009 -0.0849077          0,1.75    0    0,failed,failed,failed
17, 4.06331 0.927613        2,-6.95547 -1.06021  6.60516, -3.76974 -0.266369         0,1.75    0    0, -3.11084 -0.165935   1.24515, 1.49411 0.020251  1.59807, -0.0271768    0.264901 -0.00746906    0.963864
18,0.859659  2.37397        2,-3.27631  -1.3397  7.06158,-3.33982 0.656782        0,1.75    0    0,-2.93375 0.822823  1.48011,0.656298 0.446617  1.94069, -0.0125311    0.216617 -0.00278072    0.976172
