number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1, 2.5606 2.13521       2,-2.95661 -2.12749  7.76555,-1.36711 -0.69106        0,1.75    0    0,failed,failed,failed
2,2.52798 1.08112       2,-3.96697 -1.34462  7.87805, -2.68677 -0.686441         0,1.75    0    0, -2.28049 -0.548731   1.41529,  2.36935 -0.227956  0.497926,-0.0485388   0.221445 -0.0110367   0.973902
3,0.886407  1.23398        2,-2.07685 -1.45968   8.4237,  -2.0428 -0.824774         0,1.75    0    0, -1.83563 -0.679171   1.39037,  2.55038 -0.273347  0.219709,-0.0582105   0.180839 -0.0107226    0.98173
4,1.67634 1.42322       2,-2.92395 -1.37103  7.82343, -2.26164 -0.423281         0,1.75    0    0,-1.97339 -0.28812  1.32199,   2.53983 -0.0826847   0.362955, -0.0433025    0.199341 -0.00881774    0.978933
5, 1.6184 1.44651       2,-2.16593  -1.3675  8.27481, -1.41601 -0.469323         0,1.75    0    0,failed,failed,failed
6,3.85046 2.15976       2,-4.99659 -1.13395  7.66691,-2.47868  0.72339        0,1.75    0    0,failed,failed,failed
7,1.66867 1.88329       2, -2.9114 -1.48833  8.34301,-2.34946  -0.1708        0,1.75    0    0,failed,failed,failed
8,3.95015 1.44091       2,-5.52941 -1.44594  7.61597,   -2.905 -0.351716         0,1.75    0    0, -2.40319 -0.220493   1.30216,   2.35528 -0.0508384   0.474845, -0.0387646    0.244754 -0.00979375     0.96876
9,1.38069 2.22065       2,-2.05507 -2.20891   8.0579, -1.43523 -0.806066         0,1.75    0    0,failed,failed,failed
10,4.26298 2.30316       2, -5.9532 -2.39942  6.85515, -2.66962 -0.491004         0,1.75    0    0, -2.22053 -0.309998   1.03581,    2.6417 -0.0605553   0.472954, -0.061602   0.241962 -0.0153948   0.968206
11,1.75911 1.49924       2, -2.37217 -0.696465   7.57055,-1.45842 0.554583        0,1.75    0    0,failed,failed,failed
12,3.48528 2.36022       2,-3.73154 -2.15273  7.07298,-1.19467 -0.33965        0,1.75    0    0,failed,failed,failed
13,3.84355 1.97328       2,-4.28814 -1.81976  8.22248, -1.81205 -0.426778         0,1.75    0    0,failed,failed,failed
14,3.42469 2.38901       2,-4.16442 -2.43975  7.91351, -1.95913 -0.765132         0,1.75    0    0,failed,failed,failed
15,3.27832 2.13644       2,-3.19677 -2.33154  6.79371,-0.709058 -0.771726         0,1.75    0    0,failed,failed,failed
16,2.96425 1.52922       2,-3.88373 -1.61988   8.0863, -2.19241 -0.621592         0,1.75    0    0,failed,failed,failed
17,2.96765 1.13857       2, -3.95308 -0.861373   6.64761, -1.89752 0.0784495         0,1.75    0    0,failed,failed,failed
18,4.20898 1.02748       2, -3.73703 -0.470059    7.5198,-0.67698 0.412901        0,1.75    0    0,failed,failed,failed
19,3.21634 1.17307       2,-4.67724 -1.42068  7.61183, -2.73453 -0.634469         0,1.75    0    0, -2.27134 -0.493778   1.34435,  2.44869 -0.209306  0.482856,-0.0477284   0.231321 -0.0113628    0.97164
20,1.57442 2.14947       2,-2.04488 -1.35845  7.82745,-1.23479  0.28327        0,1.75    0    0,failed,failed,failed
21,0.962983  1.26325        2, -2.16301 -0.877651    6.9213,-1.87214 0.112887        0,1.75    0    0,failed,failed,failed
22,2.60631 2.47073       2,-2.75497 -2.45653  6.63227,-0.81503 -0.57999        0,1.75    0    0,failed,failed,failed
23,0.970329  1.39484        2,  -2.8973 -0.505823   7.11743,-2.81304 0.734319        0,1.75    0    0,-2.38985 0.808201  1.68714,2.08103 1.09886 1.23544, 0.0084086   0.202578 0.00173953   0.979228
24, 1.9775 1.47706       2,-2.79312 -1.12593  7.24721,   -1.69326 -0.00264876           0,1.75    0    0,failed,failed,failed
25,1.60909 2.17511       2,-3.53857 -1.58812  7.45656, -2.9867 0.112513        0,1.75    0    0,failed,failed,failed
26,3.92368 1.94197       2,-4.35476  -1.0277   8.3176,-1.87636 0.573182        0,1.75    0    0,failed,failed,failed
27,1.51756 1.56978       2, -2.03775 -0.975061   7.36234,-1.22811 0.255983        0,1.75    0    0,failed,failed,failed
28,2.20512 1.40794       2, -3.8852 -1.15462  6.75604,  -2.60699 -0.0221408          0,1.75    0    0,-2.16586 0.108957   1.3663,  2.58395 0.0812164  0.820587, -0.0269218    0.216012 -0.00595842    0.976001
29,4.49474 1.12301       2,-5.11002 -1.29139  7.45238, -1.86663 -0.484621         0,1.75    0    0,failed,failed,failed
30,1.87039 1.48439       2, -3.64564 -0.615085   6.56726,-2.63606  0.72407        0,1.75    0    0,failed,failed,failed
31,4.49135 2.33403       2,-4.98455 -2.45064  7.62845, -1.72715 -0.723283         0,1.75    0    0,failed,failed,failed
32,3.02701 1.55236       2,-4.24013 -1.36238  6.54004,  -2.10335 -0.0960575          0,1.75    0    0,failed,failed,failed
33,4.11681 2.37993       2,-3.67437 -2.17561  7.46395,-0.597369 -0.411365         0,1.75    0    0,failed,failed,failed
34,1.02624  1.0141       2, -2.32064 -0.815253   7.33529,  -2.08083 -0.0774262          0,1.75    0    0,  -1.85263 0.00274013    1.22334,  2.5628 0.019163 0.532854, -0.0216365    0.185437 -0.00408405    0.982409
35,4.00741 2.23284       2,-5.58005 -1.87208  7.31872,  -2.77508 -0.0426554          0,1.75    0    0,-2.28438 0.121971  1.21571, 2.53036 0.179808 0.420577, -0.0386712    0.241657 -0.00963875    0.969543
36,1.50723 2.35545       2,-2.92744 -1.21316  7.67224,-2.41343 0.730685        0,1.75    0    0,failed,failed,failed
37, 2.7942 2.25655       2,-4.51609 -2.44498  6.89457, -2.67995 -0.707117         0,1.75    0    0, -2.20016 -0.447361   1.33862,   2.53534 -0.0863331    0.74177,-0.0716296   0.222592 -0.0164011   0.972138
38, 0.94797 0.954387        2, -2.80997 -0.906074   8.12557, -2.92118 -0.293218         0,1.75    0    0,failed,failed,failed
39,1.22553 2.38833       2,-2.98099 -2.16797  7.50758, -2.67141 -0.445776         0,1.75    0    0, -2.31647 -0.187642     1.528,  2.01718 0.0204243  0.907272,-0.0606013   0.201766  -0.012509   0.977477
40,3.42196 1.75535       2,-4.76176 -1.95109  7.71416, -2.61674 -0.718948         0,1.75    0    0, -2.19708 -0.546999   1.25422,  2.52563 -0.210061  0.336506,-0.0608677   0.230762 -0.0144655   0.970997
41, 1.9965 1.21668       2,-2.72818 -1.52539   7.2858, -1.58611 -0.786442         0,1.75    0    0,failed,failed,failed
42,2.11254 2.36275       2,-2.63387 -2.17356  7.86973, -1.42478 -0.556374         0,1.75    0    0,failed,failed,failed
43,3.17172 2.13665       2,-3.12258 -1.75212  7.80643,-0.989963  -0.19852         0,1.75    0    0,failed,failed,failed
44,2.53907 1.50905       2,-3.43718 -1.24643  6.81181,  -1.77977 -0.0570887          0,1.75    0    0,failed,failed,failed
45,0.657464    2.259        2,-2.53812 -1.44347  6.68731,-2.57676 0.419641        0,1.75    0    0,-2.31522 0.568385  1.19135,   2.58561 0.00216601   0.997494, -0.0226721    0.190916 -0.00441081    0.981335
46,2.67247 2.05421       2,-4.12335 -1.04682  6.73656, -2.4095 0.764019        0,1.75    0    0,-1.93511 0.884455  1.36135, 2.84703  1.16818 0.630895, -0.00234855      0.21658 -0.000521017     0.976262
47,2.94633 1.65638       2, -3.3221 -1.09808   8.4556,-1.6257 0.14514       0,1.75    0    0,failed,failed,failed
48,1.49755 1.68429       2,-3.05444 -1.03281  7.17848,-2.48057 0.339147        0,1.75    0    0,-2.16061 0.447337  1.28302, 2.45313 0.218465 0.737659, -0.0138089    0.202145 -0.00285054    0.979254
49,2.47824 1.22639       2, -2.81083 -0.346541    8.3569,-1.44796 0.742342        0,1.75    0    0,failed,failed,failed
50,3.95931 1.22416       2,  -5.3127 -0.407326    7.1832,-2.55494 0.724707        0,1.75    0    0,-2.08173 0.760989  1.19443, 2.70688 0.970057 0.403903, 0.0121935   0.236654 0.00297025   0.971513
51,3.82325 1.46778       2, -5.4322 -1.06514  7.47709,-2.90629 0.148257        0,1.75    0    0,-2.45906 0.235948  1.15776, 2.17012   0.1126 0.607676, -0.0171099    0.244625 -0.00431738    0.969457
52,1.42471 1.94361       2,-2.18254 -1.13549  7.72515,-1.55731 0.392179        0,1.75    0    0,failed,failed,failed
53,2.58925 1.64967       2,-3.58465 -1.07787  8.02977,-2.21879 0.203936        0,1.75    0    0,failed,failed,failed
54,1.95693  2.2118       2,-3.33977 -2.16423  7.67035, -2.41835 -0.623458         0,1.75    0    0,  -2.1165 -0.427857   1.22081,   2.23809 -0.0850281   0.546576,-0.0651458   0.206562 -0.0137852   0.976165
55,2.94384 1.97929       2,-3.69782 -1.51822  7.26004, -1.78836 0.0363862         0,1.75    0    0,failed,failed,failed
56,1.13945 1.80344       2,-2.44522  -1.8112  7.14568, -2.05257 -0.560931         0,1.75    0    0, -1.81033 -0.381497   1.22152,   2.68803 -0.0835254    0.54333,-0.0592982   0.184664 -0.0111629   0.980948
57,1.09959  1.0872       2,  -2.0234 -0.717006   6.84704,-1.55226 0.147501        0,1.75    0    0,failed,failed,failed
58,3.41219 1.66182       2, -3.07259 -0.923535   8.36576,-0.833268  0.385753         0,1.75    0    0,failed,failed,failed
59,3.44193 1.37617       2,-4.29252 -1.32945  7.56784, -2.06537 -0.329516         0,1.75    0    0,failed,failed,failed
60,3.35462 2.49867       2,-5.25791 -2.12914  6.66641,   -2.83546 -0.00794158           0,1.75    0    0,-2.30576 0.206553  1.26061,  2.6176 0.157317 0.739868,-0.0449253   0.234396 -0.0108443   0.971042
61,1.10257 2.26629       2,-2.68414 -1.05412  8.01383,-2.58082 0.819741        0,1.75    0    0,failed,failed,failed
62,1.76888 1.01794       2, -2.52624 -0.707678   8.36922, -1.77559 0.0250204         0,1.75    0    0,failed,failed,failed
63,2.74416 1.59842       2,-4.05905 -1.84333   7.3914, -2.41884 -0.746245         0,1.75    0    0, -2.03133 -0.570266   1.27085,  2.66882 -0.232052   0.41699,-0.0615494    0.21714 -0.0137202   0.974102
64,3.50915  1.7462       2, -5.2912 -1.42285  6.90134,-2.84733 0.036887        0,1.75    0    0, -2.3206 0.178531  1.27169,  2.5202 0.114955 0.688663,-0.0287542   0.237957 -0.0070479   0.970824
65,2.40397 1.77862       2, -4.04865 -0.940155   7.13153,-2.71468 0.589996        0,1.75    0    0,-2.21662 0.705654  1.51414, 2.55103 0.909773  0.76296, -0.00443648     0.219509 -0.000998203       0.9756
66,3.59504 2.18592       2,-4.86468 -1.88431    6.901,  -2.28894 -0.0932074          0,1.75    0    0,failed,failed,failed
67, 3.32725 0.931118        2, -4.20404 -0.108286   6.64658,-1.82598 0.798384        0,1.75    0    0,failed,failed,failed
68,3.22263 2.23746       2,-5.01772 -1.26677  7.03816,-2.90431 0.690646        0,1.75    0    0,  -2.316 0.839173  1.47819, 2.47641   1.1642 0.790599,-0.00821983    0.233811 -0.00197675    0.972245
69,3.62434 1.23939       2,-3.44328 -1.03373  6.76422, -0.699908 -0.0588242          0,1.75    0    0,failed,failed,failed
70,4.44197 1.29744       2, -4.04589 -0.965427   8.17451,-0.965065 0.0072142         0,1.75    0    0,failed,failed,failed
71, 3.81886 0.935707        2, -5.35484 -0.542475   7.50672,-2.85449  0.25966        0,1.75    0    0, -2.3505 0.310717   1.2987, 2.45334 0.220494 0.466654, -0.00356803     0.242562 -0.000892118     0.970129
72,3.30043 1.54354       2,  -4.243 -1.89905  7.03985,-1.96383 -0.81259        0,1.75    0    0,failed,failed,failed
73,3.22081  1.1679       2,-3.00138 -1.41083  8.17775,-0.882709 -0.760996         0,1.75    0    0,failed,failed,failed
74,4.32107 2.39928       2, -5.7193 -2.36723  7.69148, -2.70827 -0.510182         0,1.75    0    0, -2.26556 -0.326943   1.13964,   2.53427 -0.0779546   0.228107,-0.0606363   0.243505 -0.0152552   0.967882
75,0.948822  1.82228        2,-2.33863 -1.41881  7.73589, -2.22659 -0.104191         0,1.75    0    0, -2.00652 0.0293221   1.24658,   2.2104 0.0432487  0.571094, -0.0352856    0.187911 -0.00675532    0.981529
76,2.61712 1.52674       2,-3.76807 -1.84506  6.52915,-1.97253  -0.7206        0,1.75    0    0,failed,failed,failed
77,4.03329 1.04308       2,-3.53942 -1.25897  8.28874,-0.767937 -0.664718         0,1.75    0    0,failed,failed,failed
78,0.653659  2.07107        2, -2.28562 -0.947783   6.88528,-2.32682 0.835145        0,1.75    0    0,-1.99812 0.971448  1.59672, 2.63491  1.34965 0.968828,0.000600747    0.183907 0.000112398    0.982944
79,3.79299 1.80131       2,-4.02589 -0.85306  8.22412,-1.60143 0.658263        0,1.75    0    0,failed,failed,failed
80,3.58385 2.13779       2,-3.72992 -1.80555   8.3215, -1.43569 -0.292024         0,1.75    0    0,failed,failed,failed
81,  4.026 1.09997       2,-4.64335 -1.04019  7.07589, -1.73045 -0.189583         0,1.75    0    0,failed,failed,failed
82,2.66194 1.86515       2,-3.60787 -1.38499  7.45925, -2.02537 0.0657875         0,1.75    0    0,failed,failed,failed
83, 1.64161 0.863107        2,  -3.16248 -0.0795613     7.0811,-2.45814 0.759966        0,1.75    0    0,-2.13684 0.768049  1.24304, 2.60189  0.33621 0.730844, 0.0200476   0.203519 0.00416819   0.978857
84,3.44175  1.7517       2,-3.62126 -0.81418  7.78326,-1.35976 0.672157        0,1.75    0    0,failed,failed,failed
