number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1, 3.45053 0.312293        2,-5.32483 0.360777  7.11945, -3.0503 0.752749        0,1.75    0    0,-2.52067 0.716864  1.30822,  2.4555 0.421151 0.784223, 0.0277697   0.241017 0.00689927   0.970099
2, 3.98511 -0.77556        2,-7.05769 0.928423  6.64813,-3.96364 0.270079        0,1.75    0    0,-2.89199 0.129107  1.83888,  1.74226 0.0315366   1.66947, 0.0246666   0.266262 0.00681616   0.963561
3, 3.45805 -0.14507        2,-6.20606 0.742858  8.09284,-4.29317 0.782742        0,1.75    0    0,-3.34172 0.668855  2.13621,1.12048   0.529 1.67423, 0.0341394   0.266672 0.00945248   0.963136
4,  3.84089 -0.641481         2,-5.94163 0.309834  8.70127,-3.86724 -0.23953        0,1.75    0    0,  -3.1894 -0.274877   1.75599,   1.30102 -0.0742574    1.01856, -0.00125783     0.266338 -0.000347562     0.963879
5,  3.09277 -0.431252         2,-4.71195 0.864179  8.03675,-3.04864 0.695091        0,1.75    0    0,-2.54554 0.602821  1.49784, 2.20286 0.303471 0.592658, 0.0374896    0.23712 0.00915772   0.970714
6,  3.09782 -0.278223         2,-6.57208 0.309961  6.72115, -4.45787 0.0781284         0,1.75    0    0,failed,failed,failed
7,   3.50367 -0.0788334          2, -5.75306 0.0371703    7.7256,  -3.66154 -0.0325392          0,1.75    0    0,  -2.93723 -0.0372189    1.72719,  1.69965 -0.012648   1.13685,-0.000142233     0.256131 -3.76875e-05     0.966642
8, 3.07977 0.629049        2, -5.98475 0.0105736   7.78391,-4.34139 0.642161        0,1.75    0    0,-3.37267 0.640449  2.14134, 1.06452 0.503153  1.86864, 0.0163139    0.26389 0.00446396   0.964404
9,  4.13555 -0.223165         2,-6.47779 0.738907  8.51619,-4.04699 0.710199        0,1.75    0    0,failed,failed,failed
10, 3.17031 0.471531        2,  -5.03181 0.00682447    7.48444,-3.15906 0.480116        0,1.75    0    0,-2.61626 0.479379   1.4372, 1.99614 0.183453 0.906874, 0.0134564    0.24152 0.00334947   0.970297
11,  3.86596 -0.106054         2, -6.13903 0.0241309   6.81636,  -3.31955 -0.0778092          0,1.75    0    0, -2.56988 -0.080756   1.53996,   2.27329 -0.0361912    1.03764,-0.00148928    0.252672 -0.00038892    0.967551
12,  3.66831 -0.100212         2,-6.37354 0.531942  8.64518,-4.46196 0.578348        0,1.75    0    0,-3.53808  0.50124  2.16638,0.985107  0.40658  1.55814, 0.0249293   0.272821 0.00707198   0.961716
13,  4.42641 -0.695083         2,-6.56713  0.28344   6.7632, -3.14096 -0.368472         0,1.75    0    0,  -2.4676 -0.397534   1.33876,  2.47065 -0.184953  0.801365, -0.0038267     0.25522 -0.00101011    0.966875
14, 3.78533 0.251239        2,-5.61125 0.387217  8.66731,-3.54441 0.757043        0,1.75    0    0,-2.94829 0.715907  1.65778, 1.90427 0.417941 0.641998, 0.0291396   0.256617 0.00774056   0.966043
15,  4.07996 -0.242073         2,-6.38999 0.758931   7.7686,-3.73562 0.686174        0,1.75    0    0,-2.96886 0.595106  1.69796, 1.87182 0.575443  1.06867, 0.0323966   0.261215 0.00877216   0.964697
16, 4.10394 0.386365        2,-5.73468 0.343813   8.1282,-3.18115 0.823129        0,1.75    0    0,-2.64254 0.790838  1.42022,  2.2641 0.464368 0.480888, 0.0303569   0.252129 0.00791351   0.967185
17,  3.50939 -0.663698         2,-6.16872  1.05001   7.6184,-4.01458 0.616998        0,1.75    0    0,-3.23016 0.483477  1.74816, 1.55109 0.106085  1.41523, 0.0359178   0.261326 0.00973139   0.964533
18, 3.46967 0.334666        2,-6.33288 0.224577  7.29223,-4.10549 0.603297        0,1.75    0    0,-3.22965 0.572238  1.80287, 1.66794 0.291756  1.54667, 0.0192185   0.262413 0.00522745    0.96475
