number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1, 3.77408 0.343885        2,-5.07509  0.33264  7.57537, -2.6239 0.763231        0,   3 1.67    0, -2.0175 0.723486  1.59755, 3.08303  1.07989 0.966088, -0.0271407    0.238547 -0.00666954    0.970729
2,  4.03461 -0.676978         2,-4.78769  1.07483  8.40125,-2.29161 0.743246        0,   3 1.67    0,-1.80768 0.634606  1.48757, 3.18464 0.468855 0.481255, -0.0173456    0.236004 -0.00421334    0.971588
3, 3.35329 0.810445        2, -5.03186 0.0171028   7.27581,-2.90238 0.831707        0,   3 1.67    0, -2.1259 0.829068  1.88806,2.61798 1.26733 1.46254, -0.0305781    0.241157 -0.00760238    0.969975
4,  3.71705 -0.126308         2,-5.01891 0.413209  6.52391,-2.23622 0.363826        0,   3 1.67    0,failed,failed,failed
5,  4.08448 -0.548319         2,-4.75949 0.604339  8.32504, -2.2019 0.249897        0,   3 1.67    0,failed,failed,failed
6, 3.81536 0.236097        2,-5.29483 0.177831  6.59221,-2.45115 0.446563        0,   3 1.67    0,failed,failed,failed
7, 4.36178 0.630186        2,-5.37368 0.122665  8.16401,-2.55681 0.788117        0,   3 1.67    0,failed,failed,failed
8,  4.10933 -0.773942         2,-3.81093  0.67439  6.53524,-0.57053 0.054216        0,   3 1.67    0, -0.305046 0.00723539   0.879756,  4.91745  0.109187 0.0915035, -0.0407125    0.195929 -0.00814171    0.979739
9, 3.40736 0.136185        2,-5.07984 0.100063  6.61884,-2.65234 0.255549        0,   3 1.67    0,-1.85519 0.239847  1.78754, 3.11739 0.396178   1.5009, -0.0404269    0.236518 -0.00984992    0.970736
10,  3.88979 -0.823701         2,-4.65124   1.3741  6.51845,-1.65399 0.814081        0,   3 1.67    0,failed,failed,failed
11, 3.25785 0.108966        2,-2.94148 0.321765  8.35444,-0.830652  0.556202         0,   3 1.67    0,failed,failed,failed
12,  4.23269 -0.647959         2,-5.15652 0.431013  6.91098, -2.01066 -0.126103         0,   3 1.67    0, -1.48891 -0.169714   1.30151,    3.33872 -0.00460471    0.980256,-0.0457668   0.231025   -0.01088    0.97181
13,  3.46032 -0.247521         2,-3.74201 0.128347  6.92015,   -1.2611 -0.0855814          0,   3 1.67    0,-0.919031 -0.097314   1.15654,  4.09487 0.0100597  0.584952,-0.0542132   0.202989 -0.0112566   0.977614
14,  3.81199 0.0271709         2, -4.34886 0.0138805   8.59093, -2.07441 0.0459589         0,   3 1.67    0, -1.65732 0.0446276   1.43578,  2.63717 0.0635852     0.721,-0.0568346   0.228763 -0.0133799   0.971729
15,  3.84633 -0.385929         2,-5.21567 0.543372  8.10081,-2.88201 0.315032        0,   3 1.67    0,-2.20672 0.244681  1.79386, 2.77352 0.568841  1.08688, -0.0340881    0.242387 -0.00852207    0.969543
16,  3.87142 -0.777349         2,-3.7499 0.34411 8.46327, -1.25556 -0.306873         0,   3 1.67    0,-0.928291 -0.336904    1.3011,  3.78333 -0.051774  0.195981,-0.0606607   0.204461 -0.0126959   0.976911
17,  4.05058 -0.674256         2,-5.12132 0.816792  7.86115,-2.48443 0.368003        0,   3 1.67    0,-1.89525 0.274036   1.5959,  3.1027 0.338632 0.846358, -0.0284383    0.238214 -0.00697837    0.970771
18,  3.49838 -0.357911         2,-4.17537 0.376511  6.83482,-1.67681 0.108758        0,   3 1.67    0, -1.22479 0.0679977   1.33312,  3.86486 0.0766165  0.778125, -0.0421326    0.214717 -0.00927167    0.975723
19,  3.84804 -0.382721         2,-4.37825 0.362149   8.2259, -1.97736 0.0991292         0,   3 1.67    0, -1.51336 0.0607487   1.49995, 3.33474  0.15137 0.530979,-0.0465962   0.223961 -0.0107206   0.973425
20,  3.99479 -0.464304         2,-3.95582 0.924691  6.77256,-0.915043   0.68339         0,   3 1.67    0,-0.615556  0.613384  0.960729,  4.57528  0.515188 0.0716091, -0.0195347    0.206163 -0.00411661    0.978314
21, 3.16833 0.229937        2,-3.06484 0.358073  6.74038,-0.729489   0.68533         0,   3 1.67    0,failed,failed,failed
22,  4.29713 -0.446914         2,-5.27552 0.731115  8.02449,-2.45666 0.489069        0,   3 1.67    0,failed,failed,failed
23,   4.0339 -0.395982         2,-5.29707 0.088002  7.43561, -2.55661 -0.286492         0,   3 1.67    0, -1.87048 -0.297891   1.68231,  3.06542 -0.013683   1.16928,-0.0554236   0.237895 -0.0135982   0.969613
24, 3.90017 0.660911        2,-4.04308 0.092154  6.95312,-1.17363 0.776558        0,   3 1.67    0,failed,failed,failed
25,  4.36086 -0.333719         2,-5.44522 0.563299  8.29366,-2.66585 0.393183        0,   3 1.67    0,-2.03076 0.327483  1.71767, 2.76545 0.699691 0.885182, -0.0333011    0.243934 -0.00838155    0.969184
26,  4.30027 -0.224393         2,-4.15442 0.455029   8.2792,-1.26541  0.38521        0,   3 1.67    0,-0.967379  0.352567   1.10112,   3.89694   0.289657 -0.0559854, -0.0411151    0.215022 -0.00906084    0.975701
27, 3.61922 0.364101        2,-4.84665 0.350545  7.25753,-2.43412 0.801924        0,   3 1.67    0,-1.83958 0.758922  1.54884, 3.24026  1.18656 0.968861, -0.0255447    0.233237 -0.00612918    0.972065
28,  4.18224 -0.711693         2,-5.55626 0.344117  6.79144,-2.41926 -0.30284        0,   3 1.67    0, -1.68741 -0.348166   1.61161,   3.35628 -0.0468959    1.23254,-0.0483994   0.237808 -0.0118653   0.970033
29,  4.16091 -0.356432         2,-4.81022 0.605978  6.56923,-1.59937  0.36923        0,   3 1.67    0,-1.19639 0.318464  1.05241, 4.10828 0.164755 0.552194, -0.0310325    0.222626 -0.00709026    0.974384
30,  4.08595 -0.687859         2,-5.78295 0.997816  7.13191,-2.86066 0.510739        0,   3 1.67    0,-2.11389 0.381889  1.66418,2.71575 0.25727 1.38921, -0.0185787    0.249354 -0.00478473    0.968222
31, 4.49251 -0.63673        2,-5.61962 0.818365  7.20692,-2.33427 0.357429        0,   3 1.67    0,-1.65968 0.259191  1.55653,   3.08614 0.00499893   0.984269, -0.0273335     0.24311 -0.00685346    0.969589
32,  3.99729 -0.642355         2,-4.75516 0.381286  8.29419, -2.27708 -0.139253         0,   3 1.67    0, -1.76239 -0.180523   1.56246,   2.76079 0.00182354    0.86571,-0.0518192   0.233207 -0.0124459   0.970966
33,   3.32522 -0.0288446          2, -4.3497 0.609636  6.55257,-1.94545 0.709871        0,   3 1.67    0,failed,failed,failed
34,  3.93673 -0.829937         2,-3.75613  1.16026  7.53577,-0.953216  0.680553         0,   3 1.67    0,failed,failed,failed
35,  3.48046 -0.776058         2,-4.99311  1.12151  6.81677,-2.54927 0.578287        0,   3 1.67    0,-1.85134 0.421525  1.65685, 2.96294 0.306606  1.37636, -0.0136202    0.236698 -0.00331851    0.971482
36,  3.60396 -0.535777         2,-4.08771 0.146363  7.75005, -1.75524 -0.343888         0,   3 1.67    0,-1.32759  -0.3592  1.40238,   3.34474 -0.0603729   0.762054,-0.0607503   0.214747 -0.0133848   0.974687
37,  3.17517 -0.546617         2, -3.4736 0.596355  7.06558,-1.27867 0.218027        0,   3 1.67    0,-0.963034  0.163839   1.14446,  3.94978 0.0788031  0.556497, -0.0375285    0.201351 -0.00772033    0.978769
38, 3.42194 0.591364        2,-4.51914 0.124918  6.57836,-2.04872 0.742584        0,   3 1.67    0,failed,failed,failed
39,   3.7025 -0.824783         2,-4.23255 0.414553  8.13769, -1.91953 -0.274139         0,   3 1.67    0,failed,failed,failed
40,  3.17863 -0.214214         2,-3.24945 0.471105  6.93326,-0.977557  0.388349         0,   3 1.67    0,-0.669713  0.343718   1.17566, 4.39108  0.34701 0.343897, -0.0364474    0.194263 -0.00722308    0.980245
41,  4.0364 0.132232        2,-4.44476 0.203994  7.06316,-1.51842 0.387173        0,   3 1.67    0,-1.18672  0.37195 0.984668, 3.79418 0.162208 0.483648, -0.0414475    0.219198 -0.00932049    0.974755
42,   4.13017 -0.0079682          2,-4.56631 0.103242  7.47331,-1.68351 0.123476        0,   3 1.67    0,-1.23869 0.113419   1.3132, 3.76769 0.208584 0.480307,-0.0496083   0.221088 -0.0112614   0.973926
43,  3.93558 -0.768044         2,-3.61095 0.451574  6.90311,-0.633128 -0.196696         0,   3 1.67    0,-0.356315 -0.231313  0.982602,   4.73008 -0.0232549   0.178665,-0.0525712   0.192235 -0.0103135   0.979885
44,  3.58146 -0.659256         2,-3.82784 0.562275  6.64088, -1.15086 0.0358772         0,   3 1.67    0,failed,failed,failed
