number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1,2.53168  -0.337       2, -4.30037 0.0217227    7.2702, -2.92897 -0.309417         0,   3 1.67    0,failed,failed,failed
2, 1.76781 0.504609        2, -2.62857 -0.584325   6.72708, -1.60647 -0.245488         0,   3 1.67    0,failed,failed,failed
3,  1.62419 -0.164467         2, -3.40638 -0.473328   6.88022, -2.70794 -0.766431         0,   3 1.67    0, -1.23412 -0.162714   1.56345,  3.61036 0.0931702   1.26566,-0.0723671   0.187614 -0.0138616   0.979475
4,  2.59276 -0.663043         2,-4.28836 0.896812  7.57841,-2.92448 0.490761        0,   3 1.67    0, -2.04435 -0.674222   2.07845, 2.69128 -0.15281  2.06678,-0.0768341   0.213579 -0.0168525   0.973754
5,  1.60357 -0.247979         2, -2.62637 -0.275136   6.97739, -1.82182 -0.606819         0,   3 1.67    0,failed,failed,failed
6,  2.11343 -0.760202         2,-2.97627 0.354674  6.51502,-1.63057 -0.31404        0,   3 1.67    0, -1.46791 -0.569744   1.55129,   3.38843 -0.0344339    1.39126,-0.0728901   0.189358  -0.014097   0.979098
7,  2.76528 0.0186075         2,-2.91707 0.512134  7.05755,-1.02627 0.684269        0,   3 1.67    0,failed,failed,failed
8, 1.78788 0.470817        2, -2.63774 -0.431419   7.76555, -1.80536 -0.116879         0,   3 1.67    0,-0.718138  0.630172   1.29161, 4.36192  0.67716 0.344668, -0.0281084    0.190671 -0.00546194    0.981236
9,  1.76749 -0.595972         2,-3.31131 0.463288  7.87805,-2.68685 0.027238        0,   3 1.67    0,  -1.43493 -0.0562946    1.73997,  3.10159 0.0727623    1.0942, -0.067354    0.19366 -0.0133281   0.978663
10,  2.03698 -0.625096         2,-2.99345 0.159472  6.59365, -1.74508 -0.423611         0,   3 1.67    0, -2.21067 -0.039385   1.83808,  2.72225 0.0668849   1.42577,  -0.041781    0.215253 -0.00921822    0.975621
11, 0.741505 -0.441275         2,-2.05123  0.33179   8.4237, -2.17933 0.0311755         0,   3 1.67    0,failed,failed,failed
12,  1.23521 -0.249749         2,-2.61596 0.433112  7.82343,-2.34322 0.342714        0,   3 1.67    0,failed,failed,failed
13,    1.199 -0.226182         2,-2.11062 0.437138  8.27481,-1.78329 0.391488        0,   3 1.67    0,-1.95904 0.279107   1.8053, 2.72999 0.144722  1.35676,-0.0359828   0.201738 -0.0074167    0.97875
14, 2.81329 0.768476        2, -3.10177 -0.630899   6.88966,  -1.15731 -0.0391424          0,   3 1.67    0,failed,failed,failed
15, 1.23042 0.215864        2, -2.6076 0.299054  8.34301,-2.42948 0.635601        0,   3 1.67    0, -0.85109 0.0231425   1.20276,  4.15645 0.0730835  0.643917,-0.0705433   0.190889 -0.0137551   0.978977
16,  2.65634 -0.231854         2,-4.35294 0.347494  7.61597,-2.96885 0.217205        0,   3 1.67    0,failed,failed,failed
