number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
30, 3.23097 -0.49253        2,-5.99947  1.09776  7.42988,-4.04724 0.839209        0,4 0 0,-3.16298  0.67741  1.91986,   1.09594 -0.0322995    2.94872,0.0382194  0.282471 0.0112639  0.958448
31,  3.99009 -0.408567         2,-6.73796 0.755743  7.83872,-4.19028  0.50896        0,4 0 0,-3.13165 0.390221   2.1472,   1.1786 0.0980875   2.79528, 0.0242403   0.291448 0.00738801   0.956251
32,  3.0272 0.654972        2,-4.84796  0.10924  8.45825,-3.39709 0.799731        0,4 0 0,-2.52725 0.780131  2.41548, 1.13881 0.263327  2.53799, 0.0199858   0.264275 0.00547771   0.964225
33, 4.33416 -0.60345        2, -5.8387 0.556492  8.10769,-3.0612 0.10141       0,4 0 0,  -2.07056 0.00699097     2.2698,   1.73136 -0.0253594    2.08402, 0.0124514   0.269555 0.00348567   0.962898
34,  3.14529 -0.827722         2, -5.71697 0.0290389   7.48937, -3.90291 -0.791921         0,4 0 0, -3.02168 -0.796397   1.96321,  1.17895 -0.230974   2.82916, -0.0166918    0.282039 -0.00490775    0.959245
35, 3.68988 0.753755        2, -6.5884 0.023081  6.93931,-3.98074 0.780627        0,4 0 0,-3.17605 0.777808  1.57304, 1.19879 0.204221  2.86746,  0.017344   0.293809 0.00533208   0.955692
36,  3.57903 -0.182325         2,-6.18979 0.413426  7.89034,-4.09448 0.330202        0,4 0 0, -3.2246 0.272101  1.93607,0.839903 0.061094  2.94799, 0.0146332   0.287649 0.00439554   0.957614
37,  3.83258 -0.279131         2,-5.97734 0.398879   7.2426,-3.36821 0.201391        0,4 0 0,-2.40593 0.137177  2.00834,   1.7797 0.0878922   2.40566, 0.0119278   0.274498 0.00340524   0.961508
38,    4.2514 0.00474683          2,-6.19841 0.196134  6.99568,-3.06909 0.236386        0,4 0 0,-2.10766 0.205964  1.90212,  2.11747 -0.063162   2.17875, 0.0087487   0.271809 0.00247112   0.962308
39,  3.59053 -0.761141         2, -6.9226 0.217472  6.89959, -4.36423 -0.511244         0,4 0 0, -3.63576 -0.534128   1.40944,  1.13053 -0.122229   2.97846,-0.00722494    0.305319  -0.0023166     0.95222
40,  3.65635 -0.606759         2,-7.19687 0.607274  6.50259, -4.35596 0.0693217         0,4 0 0,failed,failed,failed
41, 4.32786 -0.61526        2,-6.94411 0.189942  6.76538, -3.57871 -0.398992         0,4 0 0, -2.72682 -0.422293   1.58013,   1.61792 -0.0805889    2.54702,-0.00481485    0.287117 -0.00144321    0.957882
42,  4.45672 0.0376618         2,-7.07871  0.30696  8.39167,-4.29486 0.417164        0,4 0 0,   -3.11 0.365784  2.39259, 1.91986 0.153167  2.25099, 0.0138123    0.28896 0.00416954   0.957232
43,  3.46862 -0.648574         2,-5.97506 0.471815  6.80936,  -3.55163 -0.0942259          0,4 0 0, -2.72376 -0.159598   1.69727,   1.43747 -0.0358418    2.68688,0.00720514   0.281057 0.00211018   0.959662
44,  4.15123 -0.815129         2,-5.92511  1.30149  7.42421,-3.04321 0.765182        0,4 0 0,-2.07302 0.552074  2.07828,1.84614 0.08185 2.24288,0.0410966  0.268382 0.0114609  0.962367
45,   4.2563 -0.594429         2,-6.66064 0.191552   6.5205,   -3.283 -0.377608         0,4 0 0, -2.49876 -0.400162   1.46551,  1.75579 0.0581667   2.47489,-0.00419754    0.279587 -0.00122234     0.96011
46,  4.35271 -0.574046         2, -7.39688 0.0736043   7.91722, -4.49871 -0.485968         0,4 0 0, -3.47169 -0.496188   1.99454,   1.26976 -0.0530908    2.79245,-0.00880114    0.296089 -0.00272838    0.955116
47, 3.14743 0.182179        2,-5.86353 0.523037  7.32911,-3.97887 0.817858        0,4 0 0,-3.24467 0.752366  1.64488, 0.798699 0.0256247   3.07527, 0.0277882   0.285759 0.00829004   0.957863
48,  3.56176 -0.507553         2,-5.84008 0.744776  8.17228,-3.84191 0.436626        0,4 0 0,-2.77802  0.30095  2.43572,  1.39278 0.0328393   2.55983, 0.0230356   0.278514 0.00668216   0.960133
49,  3.89518 -0.501268         2,-6.74717 0.613501  6.66442,-3.78853  0.19739        0,4 0 0,-3.06214 0.131342  1.38439,   1.31148 -0.0231434    2.78423, 0.0157246    0.29075 0.00477905   0.956658
50,  4.26572 -0.211925         2,-6.53316 0.713309  8.65908,-4.02892 0.693708        0,4 0 0,-2.93279  0.57403  2.44341, 1.03413 0.360891  2.65127, 0.0273515   0.287026 0.00819908   0.957497
51,3.41961 0.37129       2, -5.81634 0.0132966   6.59559,-3.35569 0.386779        0,4 0 0,-2.62984 0.385119  1.52292,    1.52727 0.000248005     2.64528,0.00853459   0.275799 0.00244891   0.961174
52,  4.43211 -0.255943         2,-6.11984  0.46991  7.54182,-3.02742 0.316835        0,4 0 0,-2.19689 0.253063  1.82341, 1.99899 0.264732  2.04451,  0.015538   0.270076 0.00435902   0.962704
53,   3.33806 -0.0936072          2,-5.38983  0.68023  7.03007,-3.18455 0.729587        0,4 0 0,-2.41744 0.632773  1.75279,   1.39473 -0.0455096    2.61612, 0.0293092   0.268165 0.00816259   0.962892
54,   4.15084 -0.0804589          2,-6.19462 0.511522  7.13869,-3.22312 0.528448        0,4 0 0,-2.27124 0.449846  1.91847,   1.86874 0.00635632     2.3121,0.0209464  0.274266 0.0059755  0.961407
55,  3.66165 -0.521296         2,-6.22712 0.375834  6.97371,  -3.66967 -0.0788185          0,4 0 0, -2.77253 -0.132965   1.80085,    1.62312 -0.00996225     2.59621,0.00552467   0.281701 0.00162202   0.959485
56,  3.92768 -0.328817         2, -6.51882 0.0151136   7.07186, -3.73975 -0.311041         0,4 0 0, -2.79768 -0.313225   1.81893,    1.57204 -0.00666202     2.60404,-0.00625306    0.284443 -0.00185531    0.958671
57,  3.28091 -0.445948         2,-5.45256 0.415819  8.51315,-3.83981 0.097088        0,4 0 0, -2.88781 0.0244871   2.39696,0.856591 0.176857  2.77077,0.00965589   0.276175 0.00277478   0.961055
58,  3.30846 -0.736695         2,-6.16283 0.496721  6.69489, -3.85062 -0.159677         0,4 0 0, -3.16907 -0.214609   1.38918,   1.09779 -0.0570963    2.92145,0.00608959   0.291555 0.00185613   0.956533
59, 4.48944 0.548443        2,-7.09321 0.208755  7.30752,-3.81079 0.792721        0,4 0 0,-2.78805 0.762622  1.90629,1.61798 0.13806 2.52738, 0.0202659   0.288436 0.00610636   0.957265
60,  3.98762 -0.473749         2,-6.96477 0.144376  7.53153, -4.30368 -0.301875         0,4 0 0, -3.25679 -0.323576   1.99529,   1.53077 -0.0342468    2.63411,-0.00378921    0.295512 -0.00117211    0.955331
61,  4.19805 -0.273515         2,-5.60454 0.102298  8.39457, -3.04606 -0.141291         0,4 0 0, -2.07173 -0.159075   2.38036,   1.6323 0.0507564   2.05647, -0.00132644     0.268763 -0.000370115     0.963205
62,  3.42578 -0.606921         2,-5.53624 0.658846    7.845,-3.55366 0.223674        0,4 0 0,-2.54917 0.104134  2.31463, 1.54362 0.138816  2.48585, 0.0173031   0.272771 0.00490667   0.961911
63, 4.20319 0.235752        2,-6.24524 0.183513  6.87587,-3.11792 0.450879        0,4 0 0,-2.18026 0.423326  1.82039,   1.90229 -0.0200552    2.32561, 0.0130446   0.273721 0.00371275   0.961713
64,  3.44192 -0.378892         2,-6.61534 0.187652  7.13037, -4.33391 -0.158322         0,4 0 0, -3.48808 -0.182315   1.67633,  0.406297 -0.0235417    3.43443,-2.00452e-05     0.303679 -6.38902e-06     0.952775
65, 3.41055 0.143214        2,-5.91433 0.502414  6.56124, -3.4423 0.725354        0,4 0 0,-2.75535 0.666998  1.43239,   1.55814 0.00667878    2.64579, 0.0253505   0.277325 0.00732008   0.960414
66,  4.22506 -0.804781         2,  -6.287 0.187599  7.70022, -3.48138 -0.574828         0,4 0 0, -2.58657 -0.601528   1.90895,  1.41996 0.0203546   2.44342,-0.00909575     0.27935 -0.00264638    0.960142
67,  3.01185 -0.745161         2,-5.15043 0.855066  7.94552,-3.57703 0.348714        0,4 0 0,-2.92433 0.240354  1.75437, 1.18601 0.125639  2.57263, 0.0237215   0.271238 0.00668695   0.962197
68,  3.78195 -0.390981         2,-6.23717 0.578063  7.74718,-3.88206 0.319323        0,4 0 0,-3.02828 0.240194   1.8678, 2.74884 0.680687  1.72135,0.0172866  0.282959 0.0051007  0.958963
69, 3.28495 0.504245        2,-5.15617 0.258294  7.41739,-3.15382 0.826791        0,4 0 0,-2.37118 0.787585  1.89326, 1.75179 0.368445  2.35245, 0.0230919    0.26368 0.00631421   0.964313
70,  3.77628 -0.478909         2,-6.46297 0.907956  6.80931,-3.69573 0.570802        0,4 0 0,-2.90032 0.459059  1.57073,   1.33873 -0.0104421    2.74033, 0.0294662   0.286872 0.00882845   0.957475
71,  3.81541 -0.530968         2,-7.18381 0.142769   6.6212, -4.24342 -0.370809         0,4 0 0, -3.60111 -0.383574   1.20045,  1.31532 -0.115747   2.85989,-0.00543683    0.305156 -0.00174221    0.952285
72,     3.632 -0.0298514          2, -6.8441 0.593718  7.05616,-4.32796 0.660665        0,4 0 0,-3.52168 0.590722  1.55315, 0.989327 0.0910734   3.06493,  0.025165   0.300336 0.00792682   0.953468
73, 4.14762 -0.16371        2,-7.20575 0.839504  7.56916, -4.3648 0.828026        0,4 0 0,-3.35361 0.710219  1.92484, 1.12556 0.107912   2.8913,0.0323801    0.2993 0.0101634  0.953555
74, 3.88315 0.107084        2,-6.36867 0.167246  8.32773,-4.14277  0.31785        0,4 0 0, -3.0979 0.290411  2.29295,2.76645 0.27097 1.65195, 0.0097257   0.285493 0.00289736   0.958327
75,  3.20348 -0.416057         2,-6.19511 0.728174  6.54922,-3.90209 0.419134        0,4 0 0,-3.35042  0.35429  1.16689,   1.18581 -0.0613809    2.88656, 0.0235328   0.295082 0.00727015   0.955154
76,  3.08368 -0.116684         2,-5.87468 0.263313  8.21701,-4.39246 0.218409        0,4 0 0,failed,failed,failed
77,   3.61369 -0.0784199          2, -6.5855 0.606162  7.50782,-4.29949 0.649948        0,4 0 0,-3.37455 0.564812    1.868,0.993229 0.155912  2.99379, 0.0249972   0.295022 0.00772116   0.955132
78, 4.28374 0.141417        2,-6.94325 0.244806  7.81577,-4.11074  0.43739        0,4 0 0,-2.96558 0.397014  2.20747,  1.41434 0.0317601   2.63733, 0.0134848   0.290208 0.00408983    0.95686
