number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1, 0.909518 0.0127662         2,  -3.15014 -0.0478087    8.47683,  -3.47842 -0.0538282          0,4 0 0,failed,failed,failed
2,  2.32622 0.0863773         2, -4.76176 -0.229814   7.71416, -3.78521 -0.208574         0,4 0 0,failed,failed,failed
3, 1.44032 0.539513        2, -4.11551 -0.961408    7.7701,-3.93566 -0.71635        0,4 0 0,failed,failed,failed
4, 1.98749 0.234305        2, -5.31595 -0.701094   7.06171, -4.47106 -0.617481         0,4 0 0,failed,failed,failed
5,  2.19245 -0.735702         2,-5.15941  1.15633  7.01746,-4.07548 0.669063        0,4 0 0,failed,failed,failed
6,  2.99203 -0.137428         2, -5.72549 -0.199787   7.72536, -4.14337 -0.386412         0,4 0 0,failed,failed,failed
7, 1.40566 0.830719        2,  -4.23878 -0.0258801     7.2235,-3.97513 0.797866        0,4 0 0,failed,failed,failed
8,  2.57703 -0.204657         2, -5.4322 0.782696  7.47709,-4.16081 0.766162        0,4 0 0,failed,failed,failed
9,  1.9154 0.641197        2,-4.05157 -1.08101  6.59612,  -3.0421 -0.681524         0,4 0 0,failed,failed,failed
10, 1.41058 0.548327        2, -3.33977 -0.473405   7.67035,  -3.04055 -0.0826116          0,4 0 0,failed,failed,failed
11,  2.33871 -0.297373         2,-4.29252 0.480629  7.56784,-3.19317 0.322026        0,4 0 0,failed,failed,failed
12,2.28414 0.83865       2,-5.25791  -0.4333  6.66641, -3.9698 0.323268        0,4 0 0,failed,failed,failed
13,  2.78233 -0.638962         2, -5.14437 0.0068129   7.79207,-3.76536 -0.63029        0,4 0 0,failed,failed,failed
14,    1.9026 -0.0724411          2, -4.05905 -0.106664    7.3914, -3.32477 -0.209806         0,4 0 0,failed,failed,failed
15, 0.561824 -0.525534         2,-3.57642 0.273198  7.64395,-4.16026 -0.16482        0,4 0 0,failed,failed,failed
16,   2.3357 -0.353317         2, -4.56876 -0.291025   7.23412, -3.40003 -0.718677         0,4 0 0,failed,failed,failed
17,  2.38072 0.0771212         2, -5.2912 0.373882  6.90134,-4.00465 0.528318        0,4 0 0,failed,failed,failed
18, 0.823545 -0.207088         2,  -3.713 0.590588  7.04096,-3.89943 0.544147        0,4 0 0,failed,failed,failed
19, 1.05706 0.357186        2, -3.6313 0.124264  7.00749, -3.5669 0.515419        0,4 0 0,failed,failed,failed
20,  2.4344 0.522141        2, -4.86468 -0.153497     6.901,-3.50302 0.334796        0,4 0 0,failed,failed,failed
21,0.652099 0.824174        2,-3.16096 -1.09356  6.76365, -3.34205 -0.557632         0,4 0 0,failed,failed,failed
22,  1.14958 -0.791514         2,-4.15983 0.328065  8.21025, -4.41715 -0.352494         0,4 0 0,failed,failed,failed
23,   2.5489 -0.731942         2,-5.71635  1.25927  7.35655, -4.4187 0.802971        0,4 0 0,failed,failed,failed
24,  2.25027 -0.127982         2,   -4.243 -0.170341   7.03985, -3.06845 -0.341509         0,4 0 0,failed,failed,failed
25,   2.40286 0.00715716          2,  -5.3019 -0.608718   6.72761, -3.92158 -0.718961         0,4 0 0,failed,failed,failed
26, 1.40517 0.117287        2, -4.75582 -0.350096   6.62539, -4.32773 -0.304736         0,4 0 0,failed,failed,failed
27, 2.88817 0.738068        2,  -5.7193 -0.705407   7.69148, -4.21995 -0.138635         0,4 0 0,failed,failed,failed
28,0.726623 0.498191        2, -3.46703 -0.794017   6.89756, -3.66915 -0.508528         0,4 0 0,failed,failed,failed
29,  2.70375 -0.576903         2,-4.64335 0.811209  7.07589,-3.05935 0.429932        0,4 0 0,failed,failed,failed
30,  2.05238 -0.525284         2,-3.77449 0.115515   8.0803, -3.02467 -0.369905         0,4 0 0,failed,failed,failed
31,  1.25191 0.0475223         2, -3.53072 -0.119987    8.5069,  -3.6198 -0.118037         0,4 0 0,failed,failed,failed
32, 2.73812 0.382756        2, -5.05252 -0.768804   7.11732, -3.46668 -0.561382         0,4 0 0,failed,failed,failed
33, 0.644188 -0.817493         2,-3.33853  1.15544  7.22843,-3.67932 0.678846        0,4 0 0,failed,failed,failed
34,  2.72707 -0.751332         2, -5.7166 0.788328  6.60516,-3.95589 0.170258        0,4 0 0,failed,failed,failed
35,   1.3049 0.0722713         2,-4.54401 -0.14154  7.07016, -4.35954 -0.104168         0,4 0 0,failed,failed,failed
36,0.679321 0.124166        2,-3.44374 0.165374  7.33056,-3.81623  0.34005        0,4 0 0,failed,failed,failed
37,   1.57447 -0.0974506          2,-3.86541 0.326456  7.33284,-3.40632 0.323204        0,4 0 0,failed,failed,failed
38,  1.41995 -0.763933         2,-4.00365 0.111385  8.51206, -4.02942 -0.612327         0,4 0 0,failed,failed,failed
39,   2.2186 -0.403086         2,   -4.466 -0.101072   7.56973, -3.51506 -0.532847         0,4 0 0, -3.61286 -0.623916    1.4991,     0      0 2.2224, 0.00238849    0.240351 0.000591414    0.970683
40,  1.72336 -0.779041         2,-3.74491   1.1532  7.71292, -3.1988 0.736685        0,4 0 0,failed,failed,failed
41,  1.83127 -0.443569         2,-4.47635 0.266135  8.25893,  -4.10871 -0.0904154          0,4 0 0,failed,failed,failed
42,1.96596 0.39152       2,-5.02942 -0.17621   7.8461,-4.47831  0.16574        0,4 0 0,failed,failed,failed
43, 1.65496 0.465645        2,  -4.57438 -0.0502582    8.00388,-4.32973 0.399892        0,4 0 0,failed,failed,failed
44,  2.48454 -0.443259         2, -4.53369 -0.274992   7.70305, -3.36864 -0.798285         0,4 0 0,failed,failed,failed
45, 1.73664 0.793222        2,-4.77133  -1.1163  7.94308, -4.43136 -0.649841         0,4 0 0,failed,failed,failed
46,  2.73115 -0.536096         2,-4.94867 0.726757  8.08604,-3.69391  0.40748        0,4 0 0,failed,failed,failed
47,  1.08889 -0.158725         2,-3.25235 0.498079  7.96287,-3.31579 0.515826        0,4 0 0,failed,failed,failed
48, 1.80721 -0.52482        2,-5.16494 0.536612  6.64444,-4.35028 0.114914        0,4 0 0,failed,failed,failed
