number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1,  3.56034 -0.606722         2,-5.52836  2.28716  7.65755,-3.25832  2.21426        0,    3 -1.67     0,-2.25609  1.79962  2.29078,2.69848 1.70465 2.22224, 0.142356  0.244492 0.0363133  0.958457
2,   3.1226 -0.177229         2,-6.34064  2.24241  6.66794,-4.10717  2.37963        0,    3 -1.67     0,failed,failed,failed
3,  4.04036 -0.592443         2,-3.67986  1.55521  6.88189,-0.563987   1.35347         0,    3 -1.67     0,-0.184966   1.19329    1.2669, 5.12025 0.591652 0.497485, 0.121504  0.182614 0.0227482  0.975383
4,  3.52506 -0.259135         2,-4.72226   1.6436  7.27355,-2.35065  1.78593        0,    3 -1.67     0,failed,failed,failed
5, 3.99336 0.612888        2,-4.24223  1.33306  7.14631,-1.32977  2.28561        0,    3 -1.67     0,-0.785964   2.11472   1.58187,4.47336 2.02162 1.16717, 0.140506  0.207721 0.0301641  0.967574
6,   3.5595 -0.700695         2,-3.16362  1.30212  8.05639,-0.725031   1.06278         0,    3 -1.67     0,-0.431795   0.94209   1.30422, 4.36912 0.279601 0.322222, 0.112571  0.180165 0.0207598  0.976953
7, 3.76799 0.188422        2,-5.28592 0.796189  7.85807,-2.94933  1.20022        0,    3 -1.67     0,-2.27465  1.09859  1.73433, 2.75121 0.165253  1.47548,0.0914431  0.237369   0.02245  0.966846
8,      3.2612 -0.000194814            2,-3.81484  1.81809  7.99348,-1.77483   2.3999        0,    3 -1.67     0,-1.29933  2.17328  1.69418,4.13502 1.55323 1.20619, 0.149349  0.202988 0.0313436  0.967217
9,  4.3547 0.202199        2,-5.58539 0.648082  8.37188,-2.84858  1.03801        0,    3 -1.67     0, -2.0988 0.951008  1.94462, 2.91065 0.685049  1.22371,0.0870634  0.241711 0.0217805  0.966189
10,  3.64822 -0.718619         2,-5.8452  2.0739  8.0699,-3.66289  1.87539        0,    3 -1.67     0,failed,failed,failed
11,  4.24437 -0.181424         2,-3.76647  1.90619  7.75968,-0.676831   2.30916         0,    3 -1.67     0,-0.254661   2.09551   1.49574,5.04879   1.431 0.65786, 0.154989  0.184667 0.0295049  0.970055
12, 3.97014 0.800975        2,-6.54272 0.581387   8.4926,-4.28562  1.53458        0,    3 -1.67     0,failed,failed,failed
13, 4.45399 0.413524        2,-6.29615 0.524558  8.45427,-3.52982  1.07869        0,    3 -1.67     0,failed,failed,failed
14, 4.43139 0.112657        2,-4.39143  1.57286  7.85028,-1.26106   2.1515        0,    3 -1.67     0,failed,failed,failed
15, 4.39914 0.184873        2,-3.85986 0.633295  8.11479,-0.773273   1.03352         0,    3 -1.67     0,failed,failed,failed
16,  4.33049 -0.482515         2,-4.84045  2.09304  7.67472,-1.77659  2.15822        0,    3 -1.67     0,-1.18797   1.9037  1.63056,4.24713 1.40765  1.0382, 0.143501  0.213448 0.0317133  0.965837
17,  3.81446 -0.107858         2,-5.99803 0.980165  7.59864,-3.53681  1.09345        0,    3 -1.67     0,failed,failed,failed
18,4.04634  0.7456       2,-4.40453   0.3221  6.69737,-1.33487  1.13913        0,    3 -1.67     0,-0.801902   1.10015   1.44002,4.43545 1.00096 0.86095,0.0859729  0.208974 0.0184465   0.97396
19,  4.27647 -0.299207         2,-4.97607  1.92644  7.94875,-2.07016  2.15784        0,    3 -1.67     0,  -1.39 1.89452 1.86816,3.63668 1.58148 1.32373, 0.140497   0.22141 0.0322535  0.964468
20,3.05504 0.79789       2,-4.04986 0.912909  7.29011,-2.11796  1.96398        0,    3 -1.67     0,-1.48532  1.82137   1.8575,3.63322 1.86121 1.59103, 0.119925  0.217811 0.0269784  0.968219
21, 3.74752 0.623635        2,-3.99261 0.546513  7.61161,-1.45654  1.33597        0,    3 -1.67     0,failed,failed,failed
22,  3.26093 -0.251681         2,-3.13528  1.04616  7.00083,-0.76389   1.0913        0,    3 -1.67     0,-0.406868  0.972167   1.37758, 4.73473 0.541862 0.662793,  0.10561  0.180233 0.0194677  0.977744
23, 3.34059 0.447997        2,-6.06141    1.173  7.87266,-4.18068  1.90351        0,    3 -1.67     0,failed,failed,failed
24,  3.5003 0.347854        2,-5.83636   1.5351  7.57241,-3.6467 2.22768       0,    3 -1.67     0,-2.5383 1.93614 2.36729,2.43879 2.03364 2.51341,  0.12783   0.25652 0.0342486  0.957436
25,  3.72963 -0.788419         2,-5.90662   1.9141  7.40924,-3.41656  1.52737        0,    3 -1.67     0,-2.3564 1.18382 2.21694, 2.41201 0.526021  2.10895, 0.115353  0.247514 0.0296937  0.961535
26, 3.73424 0.107183        2,-6.78189 0.935558  6.61217,-3.94007  1.16585        0,    3 -1.67     0,failed,failed,failed
27,  3.94038 -0.662362         2,-5.80258    1.239  7.52971,-3.17087 0.856069        0,    3 -1.67     0,failed,failed,failed
28, 3.34091 0.633332        2,-4.0267 1.24844 7.38747,-1.81287  2.23122        0,    3 -1.67     0,failed,failed,failed
29, 4.14441 0.136055        2,-3.98522  1.09979  7.77798,-1.07309  1.57591        0,    3 -1.67     0,-0.761581   1.48994   1.12279, 4.06288 0.365005 0.633825, 0.116179  0.194557 0.0232139   0.97371
30,   3.61757 -0.0669904          2,-6.68101  1.05418    6.699,-4.00981  1.13651        0,    3 -1.67     0,-2.63513 0.919604  2.30428,2.18555 1.03995 2.64474,  0.08801  0.267167 0.0245108   0.95931
31, 3.45538 0.362306        2,-3.10291  1.23593  8.49315,-0.846609   2.07584         0,    3 -1.67     0,-0.50447  1.93956  1.55349, 4.57861 0.865279  0.58492, 0.134611  0.176395 0.0243594  0.974767
32, 4.04966 0.209656        2,-5.28022  1.11678   7.3339,-2.46446  1.58741        0,    3 -1.67     0,-1.66713  1.41877  1.88738,3.30493 1.32954 1.54345, 0.108118  0.233121 0.0260899  0.966066
33,   3.9273 -0.205232         2,-4.9245 1.14406 6.56856,-1.93843  1.15749        0,    3 -1.67     0,failed,failed,failed
34,3.44284 0.41026       2,-3.14667 0.346905  6.79565,-0.569157  0.852563         0,    3 -1.67     0,failed,failed,failed
35,  3.49242 -0.756934         2,-4.65964  1.40368  7.02033,-2.24375 0.971034        0,    3 -1.67     0, -1.6308 0.786389  1.60619, 3.29499 0.102979  1.34553,0.0996868  0.220214 0.0226295  0.970081
36,  3.39174 -0.123664         2,-3.81627  1.23289  7.78867,-1.63052  1.49883        0,    3 -1.67     0,-1.17458  1.35154  1.57791,  4.0208 0.750583 0.906554, 0.114218  0.200796 0.0235791  0.972666
37, 3.13691 0.437326        2,-4.60135  1.34532  6.55796,-2.38139  2.05073        0,    3 -1.67     0,failed,failed,failed
38,  3.89046 -0.823044         2,-6.44635  2.35063  7.55786,-3.81973  1.98844        0,    3 -1.67     0,-2.60445   1.5453  2.37447, 2.3044 1.48956 2.46537, 0.132501   0.25891 0.0358809  0.956097
39,4.44432 0.38809       2,-7.10992  1.42481  7.90915,-4.09631  2.09961        0,    3 -1.67     0,-2.8034 1.84051 2.44449,2.15302 1.91441 2.52366, 0.117998  0.271517 0.0335628  0.954583
40, 3.99526 -0.26331        2,-4.48074  1.22213  8.36107,-1.95598   1.3599        0,    3 -1.67     0,-1.47431  1.22852  1.56141, 3.11558 0.227891 0.916166, 0.110846  0.216464 0.0247448  0.969662
41,  3.43314 -0.829689         2,-5.14808    1.901  7.76559,-3.04862   1.5638        0,    3 -1.67     0,failed,failed,failed
42,  4.43216 -0.401573         2,-6.05161  1.89124  8.68145,-3.31087  2.01827        0,    3 -1.67     0,-2.3694 1.72404  2.2991,2.57312 1.42903 1.79624, 0.129357  0.248818 0.0335524  0.959286
43,  3.47534 0.0479622         2,-4.80737  1.69228  7.22328,-2.46656  2.13962        0,    3 -1.67     0,-1.65802    1.855  2.02384,3.30069 1.74987 1.85181, 0.135694  0.229713 0.0323613  0.963209
44, 3.55864 0.175059        2,-5.80836 0.966128  7.31567,-3.50108  1.34933        0,    3 -1.67     0,failed,failed,failed
45,4.21901  -0.337       2,-6.60073  1.76901   7.2702,-3.55931   1.7476        0,    3 -1.67     0,-2.37664  1.43065  2.21495, 2.44876 0.856614  2.19946, 0.115566   0.25676 0.0309401  0.959042
46, 3.33843 0.390678        2,-2.91328 0.469986   7.5634,-0.561951   1.01991         0,    3 -1.67     0,-0.277009  0.973942    1.2653, 4.67251 0.363347 0.406147,0.0940949  0.174399 0.0167445  0.980026
47, 3.45667 0.103494        2,-5.12217   1.7312  6.67211,-2.61497  2.15559        0,    3 -1.67     0,-1.74802  1.86258  1.92563,3.47441 2.05218 1.96426, 0.136283  0.237968 0.0337446  0.961072
48,  3.67451 -0.164467         2,-4.81276  1.33584  6.88022,-2.18118  1.46085        0,    3 -1.67     0,-1.45484  1.25924  1.76874,3.66096 1.20521 1.48273,0.110292  0.22314 0.025419 0.968193
49,  3.35955 -0.183263         2,-5.33088  2.18573  6.88892,-2.98335   2.4174        0,    3 -1.67     0,failed,failed,failed
50,  3.93278 0.0837416         2,-6.75631  1.28689  7.58496,-4.14322    1.622        0,    3 -1.67     0,-2.86152  1.37787  2.41094, 1.83095 0.734936  2.58071, 0.103114  0.266814 0.0287249  0.957785
51,  3.61214 -0.471779         2,-5.97919   1.2982  7.40067,-3.63938  1.10266        0,    3 -1.67     0,failed,failed,failed
52,  3.60276 -0.681632         2,-4.69951  1.81406  8.21909,-2.5228 1.68289       0,    3 -1.67     0,-1.85124  1.42366  1.97832,3.12517 1.06347 1.40793, 0.125368  0.224542 0.0291435  0.965927
53,  3.3153 0.796136        2,-3.39123 0.623254  7.34791,-1.11083  1.60959        0,    3 -1.67     0,-0.819251     1.556   1.13072, 4.17444 0.471839 0.872294, 0.106161  0.186549 0.0202813  0.976482
54,  4.42311 -0.776876         2,-4.6082 1.56078 8.26739,-1.63187  1.27392        0,    3 -1.67     0,-1.22096  1.13475  1.32849, 3.35413 0.231217 0.687456,0.116977 0.213885 0.025807 0.969486
55,   3.1056 -0.324877         2,-3.93665  1.43509  7.51219,-1.9758 1.52753       0,    3 -1.67     0,-1.42207  1.32567  1.75735,3.58134 1.11275 1.34118, 0.118026  0.209104 0.0254322  0.970412
