number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1,3.50915  1.7462       2,-6.38827 -1.42285  6.90134, -3.92122 0.0912444         0,   3 1.67    0,-3.16789 0.259033  1.52072,0.926074 0.391736  2.60524,-0.0743018   0.273024 -0.0211557     0.9589
2,2.40397 1.77862       2, -4.73154 -0.940155   7.13153,-3.46285 0.612884        0,   3 1.67    0,-2.76797 0.750957   1.7824, 1.11479 0.431837  2.39487,-0.0561937   0.251434 -0.0146243   0.966131
3,1.01767 1.46538       2,-4.28399 -1.23324  7.04096,  -4.32346 -0.0721775          0,   3 1.67    0, -3.83934 0.0671856   1.40909,0.207086 0.436791  3.17731,-0.0790104   0.261771 -0.0215075    0.96165
4,1.39129 2.02293       2,-4.17507 -1.64127  7.00749,  -3.79946 -0.0176134          0,   3 1.67    0,-3.28058 0.186364  1.51991,0.314965 0.458017  2.97088,-0.0852421   0.247381 -0.0218541   0.964914
5,3.59504 2.18592       2,-5.81958 -1.88431    6.901,  -3.26524 -0.0353527          0,   3 1.67    0,-2.43399 0.233795   1.7457, 1.48675 0.324668  2.19583,-0.0867984   0.254756 -0.0229661   0.962828
6,3.22263 2.23746       2,-6.02362 -1.26677  7.03816,-3.91447 0.736516        0,   3 1.67    0,-3.20494 0.885731  1.53893, 1.01349 0.542185  2.48485,-0.0575021   0.270701 -0.0162008   0.960808
7,1.54107 1.30758       2, -4.16368 -0.857646   7.50296,-3.81349  0.20463        0,   3 1.67    0,-3.16463 0.338284  1.92894,0.478526 0.320323  2.81644,-0.0646611   0.250501 -0.0167711   0.965809
8,0.743358  2.48436        2,-3.54794 -2.70686  6.76365,-3.60525 -0.83336        0,   3 1.67    0, -3.26378 -0.572837   1.19731,0.426823 0.533819  2.85651, -0.129035     0.2365 -0.0317056   0.962503
9,1.37489 1.54436       2, -3.95347 -0.819234   7.37897,-3.70846 0.490996        0,   3 1.67    0,-3.10074 0.616929   1.8658,0.456889  0.32566  2.80294,-0.0577998   0.247767 -0.0148099   0.966981
10, 3.81886 0.935707        2, -6.47312 -0.542475   7.50672,-3.98314 0.281867        0,   3 1.67    0,-2.96894 0.366861  2.03612, 1.19762 0.254545  2.40083,-0.0528261    0.27327 -0.0150316   0.960368
11, 3.77824 0.946771        2, -6.95514 -0.648138   7.35655,-4.41733 0.183039        0,   3 1.67    0,failed,failed,failed
12,4.27009 1.83062       2,-7.06771 -1.83513  8.49062,  -4.4459 -0.432484         0,   3 1.67    0, -3.25098 -0.122225   2.45395, 1.30805 0.189379  2.24664, -0.089076   0.277493 -0.0258492    0.95624
13,4.32107 2.39928       2,-6.95906 -2.36723  7.69148, -3.92543 -0.405892         0,   3 1.67    0,  -2.83399 -0.0346213    2.13683, 1.23918 0.262996  2.31709,-0.0989543   0.270187 -0.0279287   0.957302
14,1.70306 1.71696       2,-4.04096 -1.85499   8.5069, -3.72592 -0.775201         0,   3 1.67    0, -3.04341 -0.461895   2.29478,1.16716 0.21082 2.29288,-0.103918  0.237088 -0.025516  0.965577
15,4.08098  2.0482       2,-6.07002  -2.4227  7.11732, -3.06969 -0.805819         0,   3 1.67    0, -2.15262 -0.439793   1.90092,  1.6837 0.158511  2.08844, -0.112439   0.249746 -0.0292111   0.961317
16,  0.7307 0.862239        2,  -3.7847 -0.738987   7.22843,  -4.12009 -0.0849077          0,   3 1.67    0,failed,failed,failed
17, 4.06331 0.927613        2,-6.95547 -1.06021  6.60516, -3.76974 -0.266369         0,   3 1.67    0, -3.07126 -0.159901   1.30689, 1.1588 0.22171 2.49118,-0.0750812   0.277313  -0.021743   0.957595
18,0.859659  2.37397        2,-3.27631  -1.3397  7.06158,-3.33982 0.656782        0,   3 1.67    0,-2.86534 0.850799  1.68245,0.627472 0.429712  2.61877, -0.066888   0.234554 -0.0161796   0.969664
19,0.786913  1.79269        2,-3.92499  -1.6053  7.33056,-4.22481 -0.25708        0,   3 1.67    0, -3.68682 -0.037041   1.68198,0.284595  0.41912  3.06927,-0.0905636   0.252502 -0.0237447   0.963056
