number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1,2.53168  -0.337       2, -4.30037 0.0217227    7.2702, -2.92897 -0.309417         0,   3 1.67    0,-0.437328  0.607232   1.30745, 3.77187  0.21455 0.325348, -0.0319496    0.181316 -0.00589383    0.982888
2, 1.76781 0.504609        2, -2.62857 -0.584325   6.72708, -1.60647 -0.245488         0,   3 1.67    0, -2.18411 -0.313179   2.02665,   1.50495 -0.0275056    2.22451,-0.0584481   0.237257 -0.0143023   0.969581
3,  1.62419 -0.164467         2, -3.40638 -0.473328   6.88022, -2.70794 -0.766431         0,   3 1.67    0,  -1.1843 -0.151639   1.73051,  2.31091 0.0922249   1.71178,-0.0751752   0.193765 -0.0148933    0.97805
4,  2.59276 -0.663043         2,-4.28836 0.896812  7.57841,-2.92448 0.490761        0,   3 1.67    0,-2.13234 -0.68645  1.85872,1.25433 0.12624 2.42283,-0.0822496    0.22416 -0.0189899    0.97089
5,  1.60357 -0.247979         2, -2.62637 -0.275136   6.97739, -1.82182 -0.606819         0,   3 1.67    0,-2.18657 0.336444  2.10758, 1.47511 0.208128  2.06422, -0.0219864    0.237884 -0.00538627     0.97103
6,  2.11343 -0.760202         2,-2.97627 0.354674  6.51502,-1.63057 -0.31404        0,   3 1.67    0, -1.36657 -0.559128   1.89805,   1.77543 -0.0316551    2.00528,-0.0766807   0.197507 -0.0154988   0.977175
7,  2.76528 0.0186075         2,-2.91707 0.512134  7.05755,-1.02627 0.684269        0,   3 1.67    0,  -1.1817 -0.367531   1.60538,  2.33852 -0.160818   1.74539,-0.0542068   0.201054 -0.0111435   0.978016
8, 1.78788 0.470817        2, -2.63774 -0.431419   7.76555, -1.80536 -0.116879         0,   3 1.67    0,-0.748875  0.635569   1.18367, 3.87946  0.20833 0.486788, -0.0288635    0.192916 -0.00567738    0.980774
9,  1.76749 -0.595972         2,-3.31131 0.463288  7.87805,-2.68685 0.027238        0,   3 1.67    0,  -1.36628 -0.0450656    1.99702, 2.10251 0.100799  1.51899,-0.0684582   0.196576   -0.01376   0.977999
10,  2.03698 -0.625096         2,-2.99345 0.159472  6.59365, -1.74508 -0.423611         0,   3 1.67    0,  -2.09415 -0.0556883    2.18753,  1.22602 0.0581634   2.12459, -0.0432513    0.221391 -0.00982928    0.974176
