number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1, 2.5606 2.13521       2,-2.95661 -2.12749  7.76555,-1.36711 -0.69106        0,1.75    0    0, -1.04003 -0.455702   1.43634,      0       0 2.24541,-0.0698344   0.179862 -0.0128022   0.981126
2,2.52798 1.08112       2,-3.96697 -1.34462  7.87805, -2.68677 -0.686441         0,1.75    0    0,failed,failed,failed
3,0.886407  1.23398        2,-2.07685 -1.45968   8.4237,  -2.0428 -0.824774         0,1.75    0    0,failed,failed,failed
4,1.67634 1.42322       2,-2.92395 -1.37103  7.82343, -2.26164 -0.423281         0,1.75    0    0,failed,failed,failed
5, 1.6184 1.44651       2,-2.16593  -1.3675  8.27481, -1.41601 -0.469323         0,1.75    0    0,failed,failed,failed
6,3.85046 2.15976       2,-4.99659 -1.13395  7.66691,-2.47868  0.72339        0,1.75    0    0,-1.94135 0.845334  1.44378,      0       0 2.12155, 0.0067854   0.263986 0.00185718   0.964501
7,1.66867 1.88329       2, -2.9114 -1.48833  8.34301,-2.34946  -0.1708        0,1.75    0    0,failed,failed,failed
8,3.95015 1.44091       2,-5.52941 -1.44594  7.61597,   -2.905 -0.351716         0,1.75    0    0,failed,failed,failed
9,1.38069 2.22065       2,-2.05507 -2.20891   8.0579, -1.43523 -0.806066         0,1.75    0    0,failed,failed,failed
10,4.26298 2.30316       2, -5.9532 -2.39942  6.85515, -2.66962 -0.491004         0,1.75    0    0, -1.9791 -0.21269  1.46742,      0       0 3.39601,-0.0643965   0.250488 -0.0167012   0.965831
11,1.75911 1.49924       2, -2.37217 -0.696465   7.57055,-1.45842 0.554583        0,1.75    0    0,failed,failed,failed
12,3.48528 2.36022       2,-3.73154 -2.15273  7.07298,-1.19467 -0.33965        0,1.75    0    0,failed,failed,failed
13,3.84355 1.97328       2,-4.28814 -1.81976  8.22248, -1.81205 -0.426778         0,1.75    0    0,failed,failed,failed
14,3.42469 2.38901       2,-4.16442 -2.43975  7.91351, -1.95913 -0.765132         0,1.75    0    0,failed,failed,failed
15,3.27832 2.13644       2,-3.19677 -2.33154  6.79371,-0.709058 -0.771726         0,1.75    0    0,failed,failed,failed
16,2.96425 1.52922       2,-3.88373 -1.61988   8.0863, -2.19241 -0.621592         0,1.75    0    0,failed,failed,failed
17,2.96765 1.13857       2, -3.95308 -0.861373   6.64761, -1.89752 0.0784495         0,1.75    0    0,failed,failed,failed
18,4.20898 1.02748       2, -3.73703 -0.470059    7.5198,-0.67698 0.412901        0,1.75    0    0,failed,failed,failed
19,3.21634 1.17307       2,-4.67724 -1.42068  7.61183, -2.73453 -0.634469         0,1.75    0    0,failed,failed,failed
20,1.57442 2.14947       2,-2.04488 -1.35845  7.82745,-1.23479  0.28327        0,1.75    0    0,failed,failed,failed
21,0.962983  1.26325        2, -2.16301 -0.877651    6.9213,-1.87214 0.112887        0,1.75    0    0,failed,failed,failed
22,2.60631 2.47073       2,-2.75497 -2.45653  6.63227,-0.81503 -0.57999        0,1.75    0    0,failed,failed,failed
23,0.970329  1.39484        2,  -2.8973 -0.505823   7.11743,-2.81304 0.734319        0,1.75    0    0,failed,failed,failed
24, 1.9775 1.47706       2,-2.79312 -1.12593  7.24721,   -1.69326 -0.00264876           0,1.75    0    0,-1.34706 0.136907   1.4714,      0       0 2.15767, -0.0151051    0.202441 -0.00312294    0.979173
25,1.60909 2.17511       2,-3.53857 -1.58812  7.45656, -2.9867 0.112513        0,1.75    0    0,failed,failed,failed
26,3.92368 1.94197       2,-4.35476  -1.0277   8.3176,-1.87636 0.573182        0,1.75    0    0,failed,failed,failed
27,1.51756 1.56978       2, -2.03775 -0.975061   7.36234,-1.22811 0.255983        0,1.75    0    0,failed,failed,failed
28,2.20512 1.40794       2, -3.8852 -1.15462  6.75604,  -2.60699 -0.0221408          0,1.75    0    0,failed,failed,failed
29,4.49474 1.12301       2,-5.11002 -1.29139  7.45238, -1.86663 -0.484621         0,1.75    0    0,failed,failed,failed
30,1.87039 1.48439       2, -3.64564 -0.615085   6.56726,-2.63606  0.72407        0,1.75    0    0,failed,failed,failed
31,4.49135 2.33403       2,-4.98455 -2.45064  7.62845, -1.72715 -0.723283         0,1.75    0    0,failed,failed,failed
32,3.02701 1.55236       2,-4.24013 -1.36238  6.54004,  -2.10335 -0.0960575          0,1.75    0    0,failed,failed,failed
33,4.11681 2.37993       2,-3.67437 -2.17561  7.46395,-0.597369 -0.411365         0,1.75    0    0,failed,failed,failed
34,1.02624  1.0141       2, -2.32064 -0.815253   7.33529,  -2.08083 -0.0774262          0,1.75    0    0,failed,failed,failed
35,4.00741 2.23284       2,-5.58005 -1.87208  7.31872,  -2.77508 -0.0426554          0,1.75    0    0,failed,failed,failed
36,1.50723 2.35545       2,-2.92744 -1.21316  7.67224,-2.41343 0.730685        0,1.75    0    0,failed,failed,failed
