number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1, 3.45053 0.312293        2,-5.32483 0.360777  7.11945, -3.0503 0.752749        0,1.75    0    0,-2.36584 0.706374  1.61738,  1.49214 0.0407399    1.2679, 0.0281534   0.244177 0.00709219   0.969296
2, 3.98511 -0.77556        2,-7.05769 0.928423  6.64813,-3.96364 0.270079        0,1.75    0    0,-3.27769 0.179845  1.28307,    1.31406 -0.00414635     1.75917,0.0244987   0.26824 0.0068239  0.963016
3, 3.45805 -0.14507        2,-6.20606 0.742858  8.09284,-4.29317 0.782742        0,1.75    0    0,failed,failed,failed
4,  3.84089 -0.641481         2,-5.94163 0.309834  8.70127,-3.86724 -0.23953        0,1.75    0    0, -2.92521 -0.288654   2.29751, 0.450299 -0.055567   1.54169, -0.00107659     0.268261 -0.000299797     0.963346
5,  3.09277 -0.431252         2,-4.71195 0.864179  8.03675,-3.04864 0.695091        0,1.75    0    0,-2.36923 0.570486  1.92299,0.980434 0.183289  1.21067, 0.0382284   0.241021 0.00950155    0.96972
6,  3.09782 -0.278223         2,-6.57208 0.309961  6.72115, -4.45787 0.0781284         0,1.75    0    0, -3.83774 0.0488806    1.2385,   0.465889 -0.00325591     2.40922,0.00798971   0.273098 0.00226828    0.96195
7,   3.50367 -0.0788334          2, -5.75306 0.0371703    7.7256,  -3.66154 -0.0325392          0,1.75    0    0,  -2.84242 -0.0378315      1.907, 0.769223 -0.012936   1.66955,-0.000139157     0.257932 -3.71502e-05     0.966163
8, 3.07977 0.629049        2, -5.98475 0.0105736   7.78391,-4.34139 0.642161        0,1.75    0    0,failed,failed,failed
9,  4.13555 -0.223165         2,-6.47779 0.738907  8.51619,-4.04699 0.710199        0,1.75    0    0,-3.05006 0.596482  2.25503,0.483814 0.215575  1.68468, 0.0332413   0.273176 0.00944587   0.961343
10, 3.17031 0.471531        2,  -5.03181 0.00682447    7.48444,-3.15906 0.480116        0,1.75    0    0,-2.49806 0.479219  1.69269, 1.30068 0.170905  1.28494, 0.0135159   0.243274 0.00339025   0.969858
11,  3.86596 -0.106054         2, -6.13903 0.0241309   6.81636,  -3.31955 -0.0778092          0,1.75    0    0,  -2.62036 -0.0805576    1.45504,   1.51292 -0.0332359    1.40128, -0.00152663     0.254956 -0.000402526     0.966951
12,  3.66831 -0.100212         2,-6.37354 0.531942  8.64518,-4.46196 0.578348        0,1.75    0    0,-3.40761 0.490351  2.40321,0.305172 0.177763  1.97991, 0.0250984   0.274379 0.00716394   0.961267
13,  4.42641 -0.695083         2,-6.56713  0.28344   6.7632, -3.14096 -0.368472         0,1.75    0    0,-2.46631 -0.39759  1.34088,  1.83066 -0.193582   1.12136,-0.00394283    0.257351 -0.00105007    0.966309
14, 3.78533 0.251239        2,-5.61125 0.387217  8.66731,-3.54441 0.757043        0,1.75    0    0,-2.72251 0.700327  2.15288,0.522001 0.233838  1.39691, 0.0296601   0.260958 0.00802192   0.964861
15,  4.07996 -0.242073         2,-6.38999 0.758931   7.7686,-3.73562 0.686174        0,1.75    0    0,-2.83153 0.578796  1.93879,0.884041 0.204666  1.59504, 0.0329715    0.26515 0.00907261   0.963601
16, 4.10394 0.386365        2,-5.73468 0.343813   8.1282,-3.18115 0.823129        0,1.75    0    0, -2.4008 0.776345  1.92426,0.878405 0.197887  1.20257, 0.0309833   0.257106 0.00824765   0.965851
17,  3.50939 -0.663698         2,-6.16872  1.05001   7.6184,-4.01458 0.616998        0,1.75    0    0,failed,failed,failed
