number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1,2.96765 1.13857       2, -4.60411 -0.861373   6.64761, -2.59351 0.0981406         0,    3 -1.67     0, -2.011 0.20712  1.4879,     0      0 3.9111,0.0504967  0.298365 0.0158097  0.952984
2,4.20898 1.02748       2, -4.31604 -0.470059    7.5198,-1.34029 0.423107        0,    3 -1.67     0,failed,failed,failed
3,3.33859 1.52046       2, -2.95262 -0.947503    8.0855,-0.706473   0.22239         0,    3 -1.67     0,failed,failed,failed
4,1.57442 2.14947       2,-2.05984 -1.35845  7.82745,-1.25457 0.283774        0,    3 -1.67     0,failed,failed,failed
5,0.962983  1.26325        2, -2.21734 -0.877651    6.9213,-1.94018 0.114149        0,    3 -1.67     0,failed,failed,failed
6,2.60631 2.47073       2,-3.00663 -2.45653  6.63227, -1.10976 -0.565448         0,    3 -1.67     0,failed,failed,failed
7,4.45587 1.87968       2,-4.36612 -2.09199  7.76342, -1.14655 -0.804671         0,    3 -1.67     0,failed,failed,failed
8,4.12434 2.31226       2,-3.99165  -1.4391  7.40014,-0.992033  0.467666         0,    3 -1.67     0,failed,failed,failed
9, 1.9775 1.47706       2,-3.05749 -1.12593  7.24721,  -2.01716 0.00602144          0,    3 -1.67     0,failed,failed,failed
10,3.92368 1.94197       2,-5.13968  -1.0277   8.3176, -2.7744 0.602652        0,    3 -1.67     0,failed,failed,failed
11,4.18169 2.35584       2,-3.85259 -2.14194  7.65594,-0.800654 -0.414216         0,    3 -1.67     0,failed,failed,failed
12,1.51756 1.56978       2, -2.05034 -0.975061   7.36234,-1.2444  0.2563       0,    3 -1.67     0,failed,failed,failed
13,4.49474 1.12301       2, -6.1467 -1.29139  7.45238, -2.94203 -0.439422         0,    3 -1.67     0,failed,failed,failed
14,4.49135 2.33403       2, -5.9794 -2.45064  7.62845, -2.76242 -0.638913         0,    3 -1.67     0,failed,failed,failed
15,3.02701 1.55236       2,-4.98684 -1.36238  6.54004,  -2.88198 -0.0619491          0,    3 -1.67     0,failed,failed,failed
16,4.11681 2.37993       2,-4.23249 -2.17561  7.46395, -1.24583 -0.376615         0,    3 -1.67     0,failed,failed,failed
17,1.02624  1.0141       2, -2.42752 -0.815253   7.33529,  -2.21667 -0.0749901          0,    3 -1.67     0,failed,failed,failed
18,1.50723 2.35545       2,-3.23659 -1.21316  7.67224,  -2.788 0.745478        0,    3 -1.67     0,failed,failed,failed
19, 1.9965 1.21668       2,-2.97091 -1.52539   7.2858, -1.88486 -0.776176         0,    3 -1.67     0,failed,failed,failed
20, 1.4048 1.59532       2,-2.68583 -1.75655  8.33815,-2.30755 -0.83258        0,    3 -1.67     0,failed,failed,failed
21,2.11254 2.36275       2,-2.84516 -2.17356  7.86973,  -1.6932 -0.544653         0,    3 -1.67     0,failed,failed,failed
22,3.17172 2.13665       2,-3.49677 -1.75212  7.80643, -1.45071 -0.179494         0,    3 -1.67     0,failed,failed,failed
23,4.48236  1.4347       2,-4.16216 -1.67642  8.19249, -1.03294 -0.786735         0,    3 -1.67     0,-0.588132 -0.607575   1.48209,      0       0 2.13013, 0.00247923    0.238325 0.000608396    0.971182
24,2.53907 1.50905       2,-3.91624 -1.24643  6.81181,  -2.32609 -0.0393846          0,    3 -1.67     0,-1.82386 0.120458  1.49195,      0       0 3.36066,0.0455092  0.297816 0.0142154  0.953432
25,0.657464    2.259        2, -2.7175 -1.44347  6.68731,-2.78376 0.431099        0,    3 -1.67     0,failed,failed,failed
26,2.94633 1.65638       2, -3.7628 -1.09808   8.4556,-2.17926 0.160592        0,    3 -1.67     0,failed,failed,failed
27,1.49755 1.68429       2,-3.40592 -1.03281  7.17848,-2.89195 0.353213        0,    3 -1.67     0,failed,failed,failed
28,2.47824 1.22639       2, -3.08111 -0.346541    8.3569,-1.79024 0.746307        0,    3 -1.67     0,failed,failed,failed
29,1.42471 1.94361       2,-2.24339 -1.13549  7.72515,-1.63683  0.39401        0,    3 -1.67     0,failed,failed,failed
30,2.58925 1.64967       2,-4.11286 -1.07787  8.02977,-2.84603 0.225228        0,    3 -1.67     0,failed,failed,failed
31,1.95693  2.2118       2,-3.78636 -2.16423  7.67035, -2.94491 -0.590021         0,    3 -1.67     0,failed,failed,failed
32,2.94384 1.97929       2,-4.26376 -1.51822  7.26004, -2.42728 0.0667707         0,    3 -1.67     0,failed,failed,failed
33,1.13945 1.80344       2,-2.59363  -1.8112  7.14568, -2.23662 -0.554166         0,    3 -1.67     0,failed,failed,failed
34,3.45356  1.3529       2,-3.30395    -1.26  6.79041,-0.711059 -0.235317         0,    3 -1.67     0,failed,failed,failed
35,1.72554 1.93359       2,-2.47135 -2.16328  6.95183, -1.44247 -0.839511         0,    3 -1.67     0,failed,failed,failed
36,1.09959  1.0872       2,  -2.0312 -0.717006   6.84704,-1.56207 0.147646        0,    3 -1.67     0,failed,failed,failed
37,3.41219 1.66182       2, -3.43011 -0.923535   8.36576,-1.28854 0.396181        0,    3 -1.67     0,failed,failed,failed
38,3.44193 1.37617       2,-5.05669 -1.32945  7.56784, -2.90973 -0.293741         0,    3 -1.67     0,failed,failed,failed
39,1.10257 2.26629       2,-2.91218 -1.05412  8.01383,-2.87406 0.826876        0,    3 -1.67     0,failed,failed,failed
40,3.18109 1.19159       2,-3.01972 -1.43687  6.56115,-0.594054 -0.604728         0,    3 -1.67     0,failed,failed,failed
41,1.76888 1.01794       2, -2.70165 -0.707678   8.36922,-2.00751  0.02874        0,    3 -1.67     0,failed,failed,failed
42, 3.32725 0.931118        2, -4.93872 -0.108286   6.64658, -2.599 0.80118       0,    3 -1.67     0,failed,failed,failed
43,3.62434 1.23939       2,-3.92437 -1.03373  6.76422,  -1.24733 -0.0438721          0,    3 -1.67     0,failed,failed,failed
44,4.44197 1.29744       2, -4.72785 -0.965427   8.17451, -1.74442 0.0341772         0,    3 -1.67     0,-1.27258 0.130526  1.43758,      0       0 2.91235,0.0492259  0.263085 0.0134423  0.963422
45,3.30043 1.54354       2,-4.99067 -1.89905  7.03985,-2.76744  -0.7654        0,    3 -1.67     0,failed,failed,failed
46,3.22081  1.1679       2,-3.33518 -1.41083  8.17775, -1.30564 -0.746852         0,    3 -1.67     0,failed,failed,failed
47,4.08165 1.72554       2,-3.77491 -1.63222   7.7458,-0.864879  -0.41327         0,    3 -1.67     0,-0.443353 -0.231008   1.45603,      0       0 2.68632, 0.0132458   0.221793 0.00301316   0.974999
48,0.948822  1.82228        2, -2.4515 -1.41881  7.73589,  -2.37251 -0.0999413          0,    3 -1.67     0,failed,failed,failed
49,2.61712 1.52674       2,-4.35743 -1.84506  6.52915, -2.60497 -0.684434         0,    3 -1.67     0,failed,failed,failed
50,4.03329 1.04308       2,-4.05256 -1.25897  8.28874,  -1.3977 -0.644117         0,    3 -1.67     0,failed,failed,failed
51,0.653659  2.07107        2, -2.38082 -0.947783   6.88528,-2.44487 0.837575        0,    3 -1.67     0,failed,failed,failed
52,3.79299 1.80131       2,-4.70118 -0.85306  8.22412,-2.38823 0.679684        0,    3 -1.67     0,failed,failed,failed
53,3.58385 2.13779       2,-4.30655 -1.80555   8.3215, -2.12321 -0.254926         0,    3 -1.67     0,  -1.68259 -0.0701911    1.46245,      0       0 3.19209, 0.0189786   0.261816 0.00514957   0.964917
54,  4.026 1.09997       2,-5.52446 -1.04019  7.07589, -2.64008 -0.155182         0,    3 -1.67     0,  -2.00249 -0.0351293    1.47712,      0       0 3.24247,0.0412468  0.313485 0.0136309  0.948599
55,4.03532 1.53274       2,-3.55654  -1.4294  7.31466,-0.553598 -0.311586         0,    3 -1.67     0,failed,failed,failed
56,2.66194 1.86515       2,-4.14383 -1.38499  7.45925, -2.64141 0.0926146         0,    3 -1.67     0,failed,failed,failed
57,4.07136 1.96852       2, -3.59554 -0.968674   7.63537,-0.660436   0.69373         0,    3 -1.67     0,failed,failed,failed
58, 1.64161 0.863107        2,  -3.54997 -0.0795613     7.0811,-2.90647 0.761176        0,    3 -1.67     0,failed,failed,failed
59,3.44175  1.7517       2,-4.16168 -0.81418  7.78326,-1.99183 0.688685        0,    3 -1.67     0,failed,failed,failed
60,2.68638 2.23117       2,-2.97307 -1.09075   7.2675,-1.20564 0.803283        0,    3 -1.67     0,failed,failed,failed
61,3.22769 2.24843       2,-3.57818 -1.78116  6.84761, -1.23968 0.0246438         0,    3 -1.67     0,failed,failed,failed
62,1.97028 2.06098       2,-3.72042  -2.0326  7.31395, -2.77024 -0.528934         0,    3 -1.67     0,failed,failed,failed
63,2.31793 1.79303       2,-2.56975 -1.95837  7.69687, -1.11759 -0.825131         0,    3 -1.67     0,failed,failed,failed
64,3.18308 1.67195       2, -3.51336 -0.941277   8.21835,-1.59093  0.39293        0,    3 -1.67     0,failed,failed,failed
65,1.61413 2.31531       2,-2.86854 -1.62622  6.79916,-2.03151 0.248528        0,    3 -1.67     0,failed,failed,failed
66,3.76877 2.26397       2,-4.12755  -2.2218  6.86651, -1.29373 -0.461107         0,    3 -1.67     0,-0.792501 -0.191304   1.45133,      0       0 2.85623,-0.000790184     0.255196 -0.000208557     0.966889
67,3.26989 2.17941       2,-4.30522  -2.1645   7.8597, -2.28816 -0.614976         0,    3 -1.67     0,failed,failed,failed
68,2.85583 2.02527       2,-3.52754 -1.44824  7.03161,-1.62565  0.18539        0,    3 -1.67     0,failed,failed,failed
69,2.99069 1.02273       2, -4.25168 -0.751099   6.71566,-2.22901 0.100619        0,    3 -1.67     0,-1.69964 0.194138  1.44787,      0       0 3.73682,0.0543869  0.284405 0.0161625  0.957024
70,2.67577 1.10947       2, -2.65217 -0.765304    6.7318,-0.723348  0.128622         0,    3 -1.67     0,failed,failed,failed
71,0.614807  2.38229        2,-2.37485 -1.47187  6.87369,-2.45246 0.481268        0,    3 -1.67     0,failed,failed,failed
72,1.07788 2.27226       2,-2.07932 -1.98866  7.47994,-1.70084 -0.38529        0,    3 -1.67     0,failed,failed,failed
73,2.44495 1.57307       2,-2.89271 -1.74792  7.65291, -1.40192 -0.751396         0,    3 -1.67     0,failed,failed,failed
74,1.62605 1.76332       2,-2.89983 -1.59487  6.70521, -2.03419 -0.249767         0,    3 -1.67     0,  -1.64736 -0.0370168    1.48701,      0       0 3.75038, 0.0214196   0.264094 0.00586657   0.964241
75, 4.05195 0.890432        2, -5.42941 -0.686467   7.02813, -2.51183 0.0605417         0,    3 -1.67     0,failed,failed,failed
76,3.08424 2.27907       2,-3.56258 -1.14809  6.94432,-1.42083 0.827248        0,    3 -1.67     0,failed,failed,failed
77,3.55127 1.30752       2,-3.23131 -1.34553  6.70417,-0.508434 -0.382962         0,    3 -1.67     0,failed,failed,failed
78,2.44499  1.4947       2, -2.37519 -0.960425    6.6689,-0.599477  0.263648         0,    3 -1.67     0,-0.280341  0.392692   1.48141,      0       0 3.89504,0.0539234  0.198301  0.010927  0.978596
79, 3.4584 1.05981       2,-4.01811 -1.23468  7.84547, -1.81204 -0.559689         0,    3 -1.67     0, -1.36712 -0.422975   1.48617,      0       0 3.32482, 0.0212157   0.255034 0.00559723   0.966683
80,2.28461 2.26293       2,-2.22841  -1.2416  7.96762,-0.791511   0.54902         0,    3 -1.67     0,failed,failed,failed
81,2.01661 1.40404       2,-3.99012 -1.69842  6.63644, -2.85852 -0.671086         0,    3 -1.67     0, -2.33354 -0.447628   1.49483,      0       0 3.53371,0.00857231   0.320424  0.0028998   0.947231
82,2.51629 1.10699       2,-2.64102 -1.23822  8.16576, -1.12899 -0.602074         0,    3 -1.67     0,failed,failed,failed
83,2.61467 1.07002       2,-3.84746 -1.41525  7.94884, -2.47227 -0.801165         0,    3 -1.67     0,failed,failed,failed
84,3.70805 1.69716       2, -5.09671 -0.688327   7.55198,-2.69488 0.832426        0,    3 -1.67     0,failed,failed,failed
85, 3.5466 1.94435       2,-3.06655 -1.16454  7.88135,-0.593608  0.372075         0,    3 -1.67     0,failed,failed,failed
86,1.59175 1.58389       2,-2.17374 -1.51914  8.36336,  -1.4565 -0.546408         0,    3 -1.67     0,failed,failed,failed
87,2.79344  2.3489       2,-2.99594 -1.86304  6.64905,-0.951065  0.020358         0,    3 -1.67     0,failed,failed,failed
88,0.956335  2.42277        2,-2.36729 -1.94182  7.74227, -2.23364 -0.193878         0,    3 -1.67     0,failed,failed,failed
89,2.23185 2.42117       2,-2.23485 -2.21103  8.39841,-0.865814 -0.643472         0,    3 -1.67     0,failed,failed,failed
90,0.641875  2.02296        2,-2.49252 -2.02914  7.73158, -2.69779 -0.695838         0,    3 -1.67     0,failed,failed,failed
91,1.82795   1.776       2,-2.27205 -1.98973  6.51164,-1.02133 -0.71924        0,    3 -1.67     0,failed,failed,failed
92,2.45377 1.33852       2,-3.58557 -1.46154  7.61183, -2.23826 -0.574036         0,    3 -1.67     0,failed,failed,failed
93,2.98479  1.4502       2, -3.43846 -0.774751   6.63812,-1.31359 0.481693        0,    3 -1.67     0,failed,failed,failed
94,4.38047  1.4241       2, -5.82802 -0.567193   7.07111,-2.60953 0.743824        0,    3 -1.67     0,failed,failed,failed
95,1.41881 1.09623       2, -2.04215 -0.857346   7.14948,  -1.30359 -0.0467047          0,    3 -1.67     0,failed,failed,failed
96,3.25408 2.01122       2,-3.75358 -1.10862  8.11209,-1.77577  0.52565        0,    3 -1.67     0, -1.3852 0.641006  1.43565,      0       0 3.26419,0.0662918  0.255754  0.017582  0.964306
97,1.48679 1.26353       2, -2.19168 -0.662701   6.84085,-1.37708 0.397573        0,    3 -1.67     0,failed,failed,failed
98,4.49969 1.50371       2,-5.59839 -1.69408  6.61122, -2.03159 -0.472657         0,    3 -1.67     0, -1.35694 -0.268509   1.45174,      0       0 2.67025, 0.0132896   0.305792 0.00426878   0.951996
