number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1,2.53168  -0.337       2, -4.30037 0.0217227    7.2702, -2.92897 -0.309417         0,1.75    0    0,failed,failed,failed
2, 1.76781 0.504609        2, -2.62857 -0.584325   6.72708, -1.60647 -0.245488         0,1.75    0    0, -2.35953 -0.312293    1.6324,  1.79081 -0.186487   1.10965,-0.00814096    0.228836  -0.0019138    0.973429
3,  1.62419 -0.164467         2, -3.40638 -0.473328   6.88022, -2.70794 -0.766431         0,1.75    0    0, -1.40292 -0.200238   0.94471,   3.13254 -0.0643648   0.203738, -0.0223915    0.187229 -0.00426895    0.982052
4,  2.59276 -0.663043         2,-4.28836 0.896812  7.57841,-2.92448 0.490761        0,1.75    0    0,  -2.3145 -0.711762   1.36063, 2.26422 -0.38761  1.07532, -0.0320769    0.209282 -0.00686901    0.977305
5,  1.60357 -0.247979         2, -2.62637 -0.275136   6.97739, -1.82182 -0.606819         0,1.75    0    0,-2.35326 0.371303  1.71941,1.53727 0.16842 1.10656, 0.0332414   0.230036 0.00786228   0.972582
6,  2.11343 -0.760202         2,-2.97627 0.354674  6.51502,-1.63057 -0.31404        0,1.75    0    0, -1.57711 -0.581184   1.14427, 2.83946 -0.20094 0.396791, -0.0257344    0.188954 -0.00495357    0.981636
7,  2.76528 0.0186075         2,-2.91707 0.512134  7.05755,-1.02627 0.684269        0,1.75    0    0, -1.43557 -0.337277  0.792093, 3.32518 -0.13253 0.158248, -0.00124058     0.193178 -0.000244254     0.981163
8, 1.78788 0.470817        2, -2.63774 -0.431419   7.76555, -1.80536 -0.116879         0,1.75    0    0,-0.902715  0.662577  0.606627,0.911277 0.332621 0.571569, 0.0383088   0.192457 0.00751919   0.980529
9,  1.76749 -0.595972         2,-3.31131 0.463288  7.87805,-2.68685 0.027238        0,1.75    0    0,  -1.49811 -0.0666276    1.49044,   1.83816 -0.0383934   0.394961, -0.0140933    0.196421 -0.00282351    0.980414
10,  2.03698 -0.625096         2,-2.99345 0.159472  6.59365, -1.74508 -0.423611         0,1.75    0    0,   -2.2368 -0.0357288    1.75587,   2.32865 -0.0970547   0.631077, 0.0110082   0.211962 0.00238772   0.977213
11, 0.741505 -0.441275         2,-2.05123  0.33179   8.4237, -2.17933 0.0311755         0,1.75    0    0, -1.52814 -0.435168  0.881319,  3.32592 -0.177744  0.216606, -0.0092767    0.193942 -0.00183404    0.980968
12,  1.23521 -0.249749         2,-2.61596 0.433112  7.82343,-2.34322 0.342714        0,1.75    0    0,  -1.88331 -0.0167071    1.89149, 1.65077 0.170519 0.558866,0.00858213     0.1893 0.00165458    0.98188
13,    1.199 -0.226182         2,-2.11062 0.437138  8.27481,-1.78329 0.391488        0,1.75    0    0,-2.00801 0.287215  1.61241, 1.96604 0.158258 0.693862, 0.0204597   0.197551 0.00412403    0.98007
14, 2.81329 0.768476        2, -3.10177 -0.630899   6.88966,  -1.15731 -0.0391424          0,1.75    0    0,-1.51745 0.336429  1.65901,  1.8721 0.146073 0.261973,   0.02372   0.187057 0.00451808   0.982052
15, 1.23042 0.215864        2, -2.6076 0.299054  8.34301,-2.42948 0.635601        0,1.75    0    0,failed,failed,failed
16,  2.65634 -0.231854         2,-4.35294 0.347494  7.61597,-2.96885 0.217205        0,1.75    0    0,-2.06526 0.593831  1.82225, 1.31454 0.234854 0.810434,0.0267942  0.201891 0.0055254  0.979026
17, 1.05043 0.557283        2, -2.03671 -0.524469    8.0579, -1.80269 -0.177419         0,1.75    0    0,-2.34958 0.167768  1.79287,  1.46162 0.0661277   1.13375, 0.0136442   0.232424 0.00326086   0.972513
18, 1.57921 0.012589        2,  -2.2039 -0.389842   7.86837,-1.47426 -0.52753        0,1.75    0    0, -1.56244 -0.115552   1.52995,    2.242 -0.112178  0.221271, -0.0183114    0.184028 -0.00342899    0.982744
19, 2.85186 0.640789        2, -4.63547 -0.742194   6.85515, -2.81939 -0.267247         0,1.75    0    0,failed,failed,failed
20,1.53622 0.79612       2,-3.12994   -1.233  7.21631, -2.53444 -0.807457         0,1.75    0    0, -2.22934 -0.172774   1.54335,   2.08835 -0.0655943    1.05243, -0.0236628    0.230637 -0.00561047    0.972736
21,  2.3658 0.698536        2,-3.15436 -0.46026  7.07298, -1.7214 0.102163        0,1.75    0    0,  -2.1556 -0.658218   1.45889,  2.30111 -0.314924  0.887609,-0.0512104   0.203046 -0.0106345   0.977771
22, 2.58972 0.306935        2,  -3.52543 -0.0797207    8.22248, -2.2134 0.198322        0,1.75    0    0,-1.45346 0.141259  1.05893,  2.70621 0.0491752  0.178234,-0.00757154    0.201396 -0.00155682     0.97948
23, 2.32793 0.727678        2, -3.44295 -0.788288   7.91351,  -2.2905 -0.329747         0,1.75    0    0,-1.78151 0.208088  1.66346,  1.57621 0.0603145  0.425629,0.00490374   0.219716 0.00110443   0.975551
24, 2.23645 0.472061        2, -2.79785 -0.664622   6.79371, -1.35546 -0.381189         0,1.75    0    0, -1.89085 -0.238243    1.5482,  2.39931 -0.114811  0.305581, -0.0276917    0.212471 -0.00602368    0.976756
25, 2.25155 0.409406        2, -2.59941 -0.874572   6.70661, -1.07377 -0.709401         0,1.75    0    0, -1.17005 -0.337144  0.830352,      3.078   -0.121975 -0.00634371,   -0.02948    0.190176 -0.00571328    0.981291
26,  1.8508 0.582359        2,-3.6314 0.16762 7.66621,-2.94767  0.80385        0,1.75    0    0,-0.906411 -0.653094  0.819997,  2.69731 -0.181268 0.0390566, -0.0479631     0.18477 -0.00902854    0.981569
27,  2.04016 -0.142479         2,-3.25582 0.148713   8.0863, -2.39416 0.0600641         0,1.75    0    0,failed,failed,failed
28, 1.59394 -0.20107        2, -3.6051 0.689174  6.81393, -2.9342 0.664558        0,1.75    0    0,failed,failed,failed
29,  2.04228 -0.537836         2,-3.30205  1.01557  6.64761,-2.09231 0.733793        0,1.75    0    0,-2.48357 0.578413  1.47626, 1.46603 0.199671  1.53409, 0.0338295   0.215886 0.00748443   0.975804
30,  0.928949 -0.0578976          2, -2.11018 -0.475253   7.68881, -1.97387 -0.711667         0,1.75    0    0,-1.80626 0.645814  1.04774, 3.21441  0.26138 0.439029, 0.0454268   0.200235 0.00929446    0.97865
31,  2.19771 -0.502915         2,-3.78483 0.376363  7.61183,   -2.76352 -0.00956942           0,1.75    0    0, -1.71061 -0.652377   1.52395,  2.25709 -0.232208   0.54324,-0.0338474   0.182174 -0.0062749   0.982664
32, 2.00546 0.620144        2, -2.74067 -0.897602   6.98932, -1.55731 -0.546708         0,1.75    0    0,   -2.2364 -0.0619868    1.75562,  1.67636 -0.034891  0.994181, 0.0080252   0.221625 0.00182401   0.975097
33, 1.81644 0.810372        2, -2.50331 -0.807468   6.63227, -1.38035 -0.220784         0,1.75    0    0, -1.33119 -0.472652   1.01179,  2.88692 -0.170672  0.157014, -0.0398634    0.189917 -0.00771769     0.98096
34, 1.27274 0.103839        2,-3.23632 -0.35394  7.35694, -2.98036 -0.361302         0,1.75    0    0, -1.21453 -0.167296  0.828242,   3.18695 -0.0518383   0.090458, -0.0277554    0.183074 -0.00517079    0.982694
35, 2.97242 0.212202        2, -3.18306 -0.390842   7.76342, -1.30104 -0.312528         0,1.75    0    0, -2.46545 -0.304989   1.85759,  1.54378 -0.154374    1.4039, -0.0180401    0.211765 -0.00390961    0.977146
36,2.41421 0.65057       2, -2.44822 0.0669071   8.16625,-1.00749 0.744081        0,1.75    0    0,failed,failed,failed
37, 0.839871 -0.164326         2, -2.40111 -0.319381   6.67075, -2.25526 -0.576021         0,1.75    0    0,failed,failed,failed
38, 1.40541 0.654015        2,-2.09219 -1.00599  6.81692, -1.32049 -0.656677         0,1.75    0    0, -1.99688 -0.541653   1.21677,  3.11565 -0.282619   0.71479,  -0.024399    0.185759 -0.00461408    0.982282
39, 2.38895 0.699421        2,-2.34337 -1.01371   7.0759,-0.692382 -0.633527         0,1.75    0    0, -1.15883 -0.578945   0.94177,  3.03208 -0.177071  0.162795, -0.0477109    0.173234 -0.00840219    0.983689
40,  1.42344 -0.195261         2,-2.52874 0.713228  7.24721,-1.92943  0.75041        0,1.75    0    0,failed,failed,failed
41, 1.19318 0.511196        2,-3.02571 0.185011  7.45656, -2.8276 0.757052        0,1.75    0    0, -1.6615 0.674841  1.30526, 2.61857 0.235598 0.479604,0.0404991  0.188267 0.0077703  0.981252
42,2.80106  0.6941       2, -2.92629 -0.447926   7.65594, -1.13809 0.0911365         0,1.75    0    0,-2.40796 0.731392  1.67276, 1.30279 0.249267  1.38351, 0.0256616   0.207111 0.00543454   0.977966
43,   1.5657 -0.265215         2, -3.2568 0.680434  6.75604,-2.55162 0.595006        0,1.75    0    0,failed,failed,failed
44,  2.99671 -0.553583         2,-4.07335 0.524123  7.45238,-2.25164 0.121729        0,1.75    0    0,-2.19239 0.519952  1.30352, 2.44869 0.259992 0.968942, 0.0325744   0.205039 0.00682796   0.978188
45, 2.99459 0.672028        2,  -3.9897 -0.800736   7.62845, -2.1996 -0.37045        0,1.75    0    0, -1.8534 0.070487  1.30027,  2.44747 0.0334524  0.307946, 0.0153608   0.222653 0.00350864    0.97477
46,  2.07938 -0.119061         2,-3.49342 0.442995  6.54004,-2.25879 0.431056        0,1.75    0    0, -1.79861 -0.289971   1.35634,   2.2233 -0.128897  0.322285, -0.0294124    0.222145 -0.00670446    0.974547
47, 2.76051 0.718484        2, -3.11624 -0.486416   7.46395, -1.36823 0.0740274         0,1.75    0    0,-1.94491 0.391253  1.06349, 3.65387 0.236653 0.345074, 0.0226095   0.204503 0.00472484   0.978593
48, 0.828902 -0.663798         2,-2.21376  1.06828  7.33529,-2.13517  0.76656        0,1.75    0    0,failed,failed,failed
49, 2.69213 0.569625        2,  -4.3867 -0.139524   7.31872,-2.87584 0.392529        0,1.75    0    0,-1.86856 0.637902  1.45058, 2.51855 0.239068 0.672667, 0.0485968   0.182972 0.00905599   0.981875
50, 0.565139 -0.621787         2,-2.22772 0.236157  7.97455, -2.53698 -0.292935         0,1.75    0    0,-2.32915 0.409917  1.57252, 1.97161   0.2442 0.958963,0.00799668   0.229589 0.00188641   0.973253
51, 1.93387 0.593619        2, -3.67739 -0.794266   6.89457, -2.70507 -0.408328         0,1.75    0    0,failed,failed,failed
52, 1.5086 0.36498       2, -2.10793 -0.630653   7.04424, -1.28558 -0.470986         0,1.75    0    0, -2.22677 -0.305022   1.51882,  2.25248 -0.167274   1.03494, -0.0294723    0.214341 -0.00647053    0.976293
53,  2.31924 -0.802043         2,-3.16966 0.308271  7.32671, -1.84508 -0.397035         0,1.75    0    0, -1.11489 -0.419917  0.992163,  2.95676 -0.142633 0.0391495, -0.0323315    0.175957 -0.00578235     0.98385
54, 0.779981 -0.724235         2,-2.53998 0.964487  8.12557,-2.73614 0.610914        0,1.75    0    0, -1.53764 -0.426935   1.23015,  2.32404 -0.141895  0.320857,-0.00579716    0.204045 -0.00120832    0.978944
55,0.953459 0.726987        2, -2.65399 -0.477675   7.50758, -2.61487 0.0847458         0,1.75    0    0,-2.37525 0.473878  1.83373, 1.45536 0.490655  1.06676,0.0395534  0.199958 0.0080789  0.978972
56, 2.74707 0.704444        2, -2.42155 -0.154599   8.06845,-0.621906  0.489359         0,1.75    0    0, -2.2204 0.155745  1.76063,  1.59883 0.0922627   1.15642, -0.0086341    0.198877 -0.00175219    0.979985
57, 0.909518 0.0127662         2,  -2.76676 -0.0478087    8.47683,  -2.97827 -0.0544134          0,1.75    0    0,failed,failed,failed
58,  2.32622 0.0863773         2, -3.84118 -0.229814   7.71416, -2.73128 -0.216208         0,1.75    0    0,failed,failed,failed
59,  1.43531 -0.458783         2,-2.48545 0.256698   7.2858, -1.88377 -0.115988         0,1.75    0    0, -2.20293 -0.184598   1.75457,  1.48915 -0.061441  0.997991, -0.0114431    0.223747 -0.00262714    0.974577
60,    1.0655 -0.0755843          2,   -2.34292 -0.00748356     8.33815,  -2.24308 -0.0861523          0,1.75    0    0,-1.60073 -0.14522  1.36315,   2.38069 -0.0431143   0.475078, 0.00246879    0.189645 0.000476848     0.98185
61, 1.88878 0.275204        2, -2.09661 -0.103879   7.70094,-0.998668  0.132141         0,1.75    0    0,  -1.92162 -0.0851255    1.78784,   2.04469 -0.0538006   0.439971, -0.00293206     0.193729 -0.000578997     0.981051
62, 1.50784 0.701098        2, -2.42258 -0.484072   7.86973,  -1.8246 0.0352195         0,1.75    0    0,failed,failed,failed
63, 2.16982 0.472275        2,   -2.74839 -0.00242115     7.80643,-1.57411 0.468976        0,1.75    0    0,failed,failed,failed
64,  2.98897 -0.238135         2, -3.08108 0.0840904   8.19249, -1.25496 -0.122308         0,1.75    0    0,-1.31904 0.469201  1.24174,  2.22519  0.180433 0.0452417, 0.0166824   0.197672 0.00336451   0.980121
65,  1.77442 -0.162887         2,-2.95812 0.575513  6.81181,-2.01025 0.573434        0,1.75    0    0,failed,failed,failed
66,  2.19245 -0.735702         2,-4.10628  1.15633  7.01746,-2.95335 0.713353        0,1.75    0    0,-1.73499 0.519881  1.12747, 3.02813 0.188408 0.441715, 0.0310716   0.195475 0.00619645   0.980197
67, 0.619666 0.0234857         2,-2.43813  -0.4714   7.7443, -2.71653 -0.621552         0,1.75    0    0,-2.38655 0.553743  1.63587, 2.25829 0.426714  1.11674,0.0446784  0.221764 0.0101723  0.974023
68,  2.99203 -0.137428         2, -4.48366 -0.199787   7.72536, -2.80326 -0.395659         0,1.75    0    0, -2.34033 -0.548815    1.8537,  1.95207 -0.326752   1.06507,-0.0286219   0.194416 -0.0056753   0.980485
69,  2.15519 -0.810976         2,-2.98847 0.457103  7.97142, -1.92606 -0.186727         0,1.75    0    0,  -2.2621 -0.371545   1.61625,   1.7846 -0.192665   0.80341, -0.0158814    0.233737 -0.00381836    0.972163
70,   2.27772 -0.0384575          2,-2.00618 0.158953  7.84754,-0.509239  0.182359         0,1.75    0    0,failed,failed,failed
71,  2.57703 -0.204657         2,-4.28813 0.782696  7.47709,-2.92386 0.799399        0,1.75    0    0,failed,failed,failed
72,  1.9154 0.641197        2,-3.36771 -1.08101  6.59612,-2.27361 -0.70344        0,1.75    0    0,-2.40106 0.703974  1.55588,1.85584 0.40074 1.01812, 0.0392283   0.227909 0.00918998   0.972849
73,  2.54133 -0.153388         2,  -2.49213 -0.0619546    8.26714,-0.955644 -0.240323         0,1.75    0    0,-1.96989 -0.60595   1.0935, 3.28783 -0.29752 0.525891, -0.0453217    0.202214 -0.00936847    0.978247
74, 1.41058 0.548327        2, -2.89318 -0.473405   7.67035,   -2.4859 -0.0892476          0,1.75    0    0,failed,failed,failed
75,  2.95074 -0.512182         2, -2.8338 0.943237  7.86668,-0.902513   0.77038         0,1.75    0    0,  -2.09473 -0.0252408    1.67974,   1.89088 -0.0091874   0.835753, -0.0134883    0.203445 -0.00280302    0.978989
76,  1.94755 0.0151844         2,-2.17894 0.123332  8.05139,-1.10018 0.187692        0,1.75    0    0,failed,failed,failed
77,0.731738 0.185325        2, -2.34495 -0.580351   6.54407, -2.26457 -0.556232         0,1.75    0    0,failed,failed,failed
78,  2.0274 0.313018        2,-3.13188 0.264895  7.26004,-2.07518 0.660015        0,1.75    0    0, -2.01771 -0.495137   1.18678,  3.18017 -0.309907  0.752883, -0.0302413    0.184281 -0.00567277    0.982392
79,0.899658 0.135049        2,  -2.29681 -0.0699473    7.14568, -2.15697 0.0419621         0,1.75    0    0,-1.75287 0.632755  1.28672, 2.52723 0.230139 0.467821,0.0265847  0.202164 0.0054899  0.978975
80,  2.34597 -0.320917         2,-2.65197 0.560004  6.79041,-1.07183 0.400802        0,1.75    0    0, -1.84137 0.0515734   1.56818,   1.53542 0.00605743    1.08583,-0.000432507     0.187931 -8.27561e-05     0.982182
81, 1.26596 0.266769        2, -2.23568 -0.472325   6.95183, -1.67374 -0.354295         0,1.75    0    0,-0.943692  0.373745  0.634545, 1.07989 0.193869 0.566383, 0.0291986   0.189714 0.00564444   0.981389
82,  2.33871 -0.297373         2,-3.52835 0.480629  7.56784,-2.30592 0.335315        0,1.75    0    0, -1.46373 -0.309927   1.12499,  2.89967 -0.107527  0.336869, -0.0231383    0.180323 -0.00424311    0.983326
83,2.28414 0.83865       2,-4.17194  -0.4333  6.66641,-2.84311 0.306132        0,1.75    0    0,-1.90837  0.28116   1.4611, 2.33832 0.109153 0.460165, 0.0211253   0.213492 0.00461765   0.976705
84,  1.43958 -0.712768         2,-2.67682 0.351172  7.30725, -2.11806 -0.246042         0,1.75    0    0,-2.32921 0.359505   1.4293, 2.89368 0.463433 0.867921, -0.00169194     0.219943 -0.000381471     0.975511
85,  2.17568 -0.484173         2,-2.50986 0.357866  6.56115,  -1.02224 -0.0281993          0,1.75    0    0,    -1.81 -0.286457   1.39912,  2.51363 -0.110535  0.537868,0.000741702    0.194328 0.000146934    0.980936
86,  2.78233 -0.638962         2, -4.09625 0.0068129   7.79207, -2.59657 -0.630015         0,1.75    0    0,failed,failed,failed
87,    1.9026 -0.0724411          2,  -3.3727 -0.106664    7.3914, -2.52556 -0.212485         0,1.75    0    0, -2.13472 -0.630783   1.50653,  2.67067 -0.505064  0.344969, -0.0185947    0.223398 -0.00426252    0.974541
88,   2.3357 -0.353317         2, -3.71251 -0.291025   7.23412, -2.44918 -0.728406         0,1.75    0    0, -2.08866 -0.198667   1.57529,   2.38517 -0.0967014   0.696523,-0.00863761    0.210405 -0.00185909    0.977574
89,  2.38072 0.0771212         2,-4.19413 0.373882  6.90134,-2.83763 0.542305        0,1.75    0    0,-2.03935 -0.69628  1.36783,  2.37733 -0.286436  0.676178,-0.0279068   0.214564 -0.0061332   0.976292
90, 1.05706 0.357186        2,-3.08753 0.124264  7.00749,-2.93639  0.51791        0,1.75    0    0,-2.34799 0.498657  1.42585, 1.99604 0.277912  1.13304, 0.0231948   0.224338 0.00534118   0.974221
91,  2.4344 0.522141        2, -3.90979 -0.153497     6.901,-2.47884 0.329249        0,1.75    0    0,failed,failed,failed
92,  2.91812 -0.243335         2,-3.57034 -0.46454  6.75583, -1.56545 -0.826697         0,1.75    0    0,-2.05506 0.345886  1.31094, 2.97052 0.201699 0.530474,0.00584863   0.215814  0.0012927   0.976416
93,   2.65967 -0.0191888          2,  -2.5831 -0.252724   6.77202,-0.670359 -0.344991         0,1.75    0    0, -1.34427 -0.797919  0.800384,  3.04868 -0.284443 0.0856972, -0.0378999    0.203976 -0.00790287     0.97821
94,  2.45271 -0.435797         2,-2.96218 0.818591  6.76422,-1.32421 0.607946        0,1.75    0    0,failed,failed,failed
95,0.652099 0.824174        2,-2.77397 -1.09356  6.76365, -2.89254 -0.573199         0,1.75    0    0,-1.14047 0.557169 0.784455,   3.11085   0.197115 -0.0398217,  0.040998   0.192701 0.00805858   0.980368
96,   2.66476 -0.0753026          2,  -3.2712 -0.548993   8.50633,-1.87224 -0.83673        0,1.75    0    0,  -2.4618 -0.403389   1.69732,  1.27395 -0.104059   1.74348, -0.0417401    0.200827 -0.00856496      0.9787
97,  2.31028 -0.195111         2,  -3.0331 -0.360679    7.7425, -1.77759 -0.681217         0,1.75    0    0,failed,failed,failed
98,  2.25027 -0.127982         2, -3.49534 -0.170341   7.03985,  -2.2246 -0.346059         0,1.75    0    0, -1.47216 -0.644898   1.32537,  2.13507 -0.257227  0.230172, -0.0315528    0.203036 -0.00654616    0.978641
99, 2.20051 -0.50815        2,-2.66759 0.387627  8.17775, -1.50715 0.0306099         0,1.75    0    0, -1.86987 -0.328772   1.26103,  2.89099 -0.143046  0.418172,  -0.014243    0.208536 -0.00303728    0.977906
100,   2.40286 0.00715716          2, -4.20126 -0.608718   6.72761, -2.76394 -0.741456         0,1.75    0    0,failed,failed,failed
101,  2.73853 0.0562102         2,-2.88745  0.13461   7.7458,-1.16772 0.238315        0,1.75    0    0,failed,failed,failed
102, 2.88817 0.738068        2, -4.47953 -0.705407   7.69148, -2.88417 -0.170923         0,1.75    0    0,failed,failed,failed
103,  2.90143 -0.814977         2,-3.70782 0.373066  7.00463, -1.80921 -0.341011         0,1.75    0    0,   -2.2843 -0.0764589    1.75389,    1.5812 -0.0291379   0.970858, -0.0199524    0.234127 -0.00480602    0.971989
104,0.780514 0.154112        2,-2.22575 0.378506  7.73589,-2.28018 0.674605        0,1.75    0    0,  -1.5222 -0.369889  0.998003,  2.72405 -0.137641   0.17336, -0.00232936     0.211279 -0.000503511     0.977423
105,   1.8232 -0.144982         2, -3.17871 -0.108635   6.52915, -2.15747 -0.281024         0,1.75    0    0, -1.9894 0.625157  1.60452, 2.02646 0.269725 0.772697, 0.0294071   0.187437 0.00561405    0.98182
106,   2.7083 -0.634478         2,-3.02628 0.561176  8.28874, -1.4728 0.140841        0,1.75    0    0, -1.87574 -0.271396   1.04133,  3.72392 -0.146028  0.310862,  -0.010681    0.198613 -0.00216465    0.980017
107, 2.42741 0.473426        2,  -3.15328 -0.0634811     8.3215,-1.92862 0.385731        0,1.75    0    0,failed,failed,failed
108, 1.93484 0.401898        2, -2.00251 -0.387752   8.13544,-0.882909 -0.143712         0,1.75    0    0,-1.55895 0.393173  1.61421,  1.3988 0.079653 0.338514, 0.0121752    0.21203 0.00264178   0.977184
