number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1,3.88341 1.94691       2,-5.64494 -2.35733  8.27725,-3.26659 -1.03893        0,1.75    0    0, -2.70242 -0.803334     1.514,  2.09683 -0.337909  0.580969,-0.0735916   0.248697 -0.0189542   0.965595
2,3.81832 1.49074       2,-3.76647  -2.8215  7.75968,-1.03172 -2.14248        0,1.75    0    0,failed,failed,failed
3,4.31704 1.78132       2,-4.39143 -3.20244  7.85028,-1.23916 -2.27053        0,1.75    0    0,failed,failed,failed
4,1.96715 1.67172       2,-3.82713  -2.4383  7.39785,-2.8906 -1.4232       0,1.75    0    0,-2.40647 -1.11476  1.61313,  2.39359 -0.881397   1.00611,-0.0912491   0.215041  -0.020185   0.972123
5,1.96605 1.66178       2,-2.07544 -2.06181  8.33484,-0.92169 -1.20699        0,1.75    0    0,failed,failed,failed
6,4.04797 1.19323       2,-4.84045 -2.60796  7.67472,-2.01033 -2.07089        0,1.75    0    0,failed,failed,failed
7, 2.50761 0.948604        2, -4.1034 -1.48761  7.15338, -2.65178 -0.921838         0,1.75    0    0, -2.15989 -0.743511   1.50443,  2.52454 -0.650768  0.789911,-0.0585789   0.219638 -0.0132132   0.973732
8,4.17398 1.47128       2,-4.07969 -2.28862  6.72764,-0.788112  -1.31235         0,1.75    0    0,failed,failed,failed
9,0.789526  1.43558        2,-3.83998 -2.44275  7.52556,-4.12098 -1.68817        0,1.75    0    0,failed,failed,failed
10,3.90391 1.37435       2,-4.97607 -2.79835  7.94875,-2.38132 -2.16022        0,1.75    0    0,-2.13004 -2.01891 0.796421,  2.53385 -0.542374  0.425438,  -0.11896   0.223996 -0.0275586    0.96691
11,3.86323 2.25632       2,-6.88645  -3.1248  7.91265,-4.34269 -1.46721        0,1.75    0    0, -3.29145 -0.990204    2.1432,  1.17764 -0.626423   1.77316,-0.0924626    0.26635  -0.025678   0.959088
12,0.646785  2.45839        2,-4.04986 -3.95668  7.29011,-4.29448 -2.36918        0,1.75    0    0,failed,failed,failed
13,2.75199 1.27123       2,-3.71113 -2.10188  7.36948,-1.99278 -1.41607        0,1.75    0    0,-1.66555 -1.23074  1.16795,  3.14851 -0.646021  0.208791,-0.0891082   0.204338 -0.0186817   0.974657
14,2.97034 1.49156       2,-3.21494 -1.86589  6.89003, -1.08995 -0.864956         0,1.75    0    0,failed,failed,failed
15,3.60906 1.89798       2,-5.25507 -2.40712  6.91205, -2.63962 -0.964266         0,1.75    0    0, -2.18241 -0.754838   1.17241,  2.67597 -0.221214  0.577622,-0.0762244   0.231834 -0.0182256   0.969593
16,2.63336 1.88911       2,-4.66762 -2.28036  8.60584,-3.53599 -1.12491        0,1.75    0    0, -2.96011 -0.843566    1.8156, 1.76649 -0.38465 0.894938,-0.0748739   0.239301 -0.0185121   0.967877
17, 2.0421 2.49736       2,-3.77755 -3.12701  7.68464,-2.77992 -1.49425        0,1.75    0    0,-2.38416 -1.16664  1.42264,  2.12017 -0.308846   0.84924, -0.105965   0.211127 -0.0230301   0.971425
18,1.40908 2.29579       2, -4.0267 -3.57321  7.38747,-3.56936 -2.12196        0,1.75    0    0, -2.8461 -1.48016  2.18814, 1.48087 -1.19912  1.97415, -0.129257   0.222486 -0.0297741   0.965871
