number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1, 3.45053 0.312293        2,-5.32483 0.360777  7.11945, -3.0503 0.752749        0,1.75    0    0,-2.43038 0.710747  1.47325,      0       0 3.21386,0.0372931  0.268444  0.010401  0.962517
2, 3.98511 -0.77556        2,-7.05769 0.928423  6.64813,-3.96364 0.270079        0,1.75    0    0,failed,failed,failed
3, 3.45805 -0.14507        2,-6.20606 0.742858  8.09284,-4.29317 0.782742        0,1.75    0    0,failed,failed,failed
4,  3.84089 -0.641481         2,-5.94163 0.309834  8.70127,-3.86724 -0.23953        0,1.75    0    0,failed,failed,failed
5,  3.09277 -0.431252         2,-4.71195 0.864179  8.03675,-3.04864 0.695091        0,1.75    0    0,failed,failed,failed
6,  3.09782 -0.278223         2,-6.57208 0.309961  6.72115, -4.45787 0.0781284         0,1.75    0    0,failed,failed,failed
7,   3.50367 -0.0788334          2, -5.75306 0.0371703    7.7256,  -3.66154 -0.0325392          0,1.75    0    0,  -3.06052 -0.0364224    1.45991,      0       0 2.75375,-0.000591163     0.304999 -0.000189325     0.952353
8, 3.07977 0.629049        2, -5.98475 0.0105736   7.78391,-4.34139 0.642161        0,1.75    0    0,failed,failed,failed
9,  4.13555 -0.223165         2,-6.47779 0.738907  8.51619,-4.04699 0.710199        0,1.75    0    0,-3.45743 0.642949  1.44364,      0       0 3.07581,0.0404654  0.302443 0.0128525  0.952221
10, 3.17031 0.471531        2,  -5.03181 0.00682447    7.48444,-3.15906 0.480116        0,1.75    0    0,-2.59429  0.47935  1.46584,      0       0 2.60174, 0.0207232   0.288416 0.00624376    0.95726
11,  3.86596 -0.106054         2, -6.13903 0.0241309   6.81636,  -3.31955 -0.0778092          0,1.75    0    0,failed,failed,failed
12,  3.66831 -0.100212         2,-6.37354 0.531942  8.64518,-4.46196 0.578348        0,1.75    0    0,failed,failed,failed
13,  4.42641 -0.695083         2,-6.56713  0.28344   6.7632, -3.14096 -0.368472         0,1.75    0    0, -2.35978 -0.402188   1.49533,      0       0 2.95382, -0.0074814    0.298107 -0.00233657      0.9545
14, 3.78533 0.251239        2,-5.61125 0.387217  8.66731,-3.54441 0.757043        0,1.75    0    0,failed,failed,failed
15,  4.07996 -0.242073         2,-6.38999 0.758931   7.7686,-3.73562 0.686174        0,1.75    0    0,failed,failed,failed
16, 4.10394 0.386365        2,-5.73468 0.343813   8.1282,-3.18115 0.823129        0,1.75    0    0,-2.61267 0.789048  1.46035,      0       0 2.30445,0.0364485  0.283909 0.0108007  0.958097
17,  3.50939 -0.663698         2,-6.16872  1.05001   7.6184,-4.01458 0.616998        0,1.75    0    0,failed,failed,failed
18, 3.46967 0.334666        2,-6.33288 0.224577  7.29223,-4.10549 0.603297        0,1.75    0    0,failed,failed,failed
19,  3.31476 -0.686484         2,-5.99247 0.570901  8.10523, -4.22953 0.0322578         0,1.75    0    0,failed,failed,failed
20,  4.06214 -0.239993         2, -5.5441 0.549626  8.29467,-3.07407  0.46747        0,1.75    0    0,failed,failed,failed
21,   4.1032 -0.312319         2,-6.02207 0.506738  8.14896,-3.48627  0.32631        0,1.75    0    0,failed,failed,failed
22,  4.13551 -0.148134         2,-7.58586 0.522899  6.94941, -4.4493 0.443624        0,1.75    0    0,failed,failed,failed
23, 3.59547 0.230211        2,-4.96821 0.253202  8.62643,-3.02007 0.567368        0,1.75    0    0,failed,failed,failed
24,  3.43959 -0.686217         2,-5.43468  1.22026  7.41961,-3.26033 0.818127        0,1.75    0    0,-2.64497  0.67996  1.49807,      0       0 2.58791,0.0608689  0.296432 0.0189349  0.952924
