number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1, 0.909518 0.0127662         2,  -3.15014 -0.0478087    8.47683,  -3.47842 -0.0538282          0,4 0 0,-3.43852 0.257383    1.844, 1.56541 0.068245  2.69347, 0.0080207   0.266127 0.00221446   0.963902
2,  2.32622 0.0863773         2, -4.76176 -0.229814   7.71416, -3.78521 -0.208574         0,4 0 0,  -2.8371 -0.044095    2.5404,   0.671871 -0.00334009     2.93157,  -0.0021766     0.244831 -0.000549628     0.969563
3, 1.44032 0.539513        2, -4.11551 -0.961408    7.7701,-3.93566 -0.71635        0,4 0 0, -3.30021 -0.185167    1.3897,    1.01471 -0.00293361     2.79075,-0.00904026    0.271023 -0.00254551    0.962527
4, 1.98749 0.234305        2, -5.31595 -0.701094   7.06171, -4.47106 -0.617481         0,4 0 0, -3.31518 -0.571402   1.92119, 1.62368 -0.26805  2.62752,-0.0344659   0.260876 -0.0093202   0.964712
5,  2.19245 -0.735702         2,-5.15941  1.15633  7.01746,-4.07548 0.669063        0,4 0 0, -3.91491 -0.544133   1.36709,   1.28027 0.00449471    3.00823,  -0.026937    0.286397 -0.00805543    0.957698
6,  2.99203 -0.137428         2, -5.72549 -0.199787   7.72536, -4.14337 -0.386412         0,4 0 0,-3.63921 0.571287  1.13315,  1.19416 -0.113171   2.92116,0.0370881   0.28006 0.0108287  0.959205
7, 1.40566 0.830719        2,  -4.23878 -0.0258801     7.2235,-3.97513 0.797866        0,4 0 0, -3.18017 -0.352802   2.17393,    1.0322 -0.0675238    2.98109, -0.0120173    0.282578 -0.00354041    0.959163
8,  2.57703 -0.204657         2, -5.4322 0.782696  7.47709,-4.16081 0.766162        0,4 0 0,-3.43405 0.801169  1.56571,0.741465  0.13158  3.19895, 0.0173497   0.270608 0.00487779   0.962521
9,  1.9154 0.641197        2,-4.05157 -1.08101  6.59612,  -3.0421 -0.681524         0,4 0 0,-3.40419 0.657144  1.79753,   0.651262 -0.00862971     3.20396, 0.0320264   0.286247 0.00957364   0.957573
10, 1.41058 0.548327        2, -3.33977 -0.473405   7.67035,  -3.04055 -0.0826116          0,4 0 0, -2.61445 -0.567423   1.24518,0.841432 0.272742  2.91374,-0.0386581   0.257488 -0.0103102   0.965453
11,  2.33871 -0.297373         2,-4.29252 0.480629  7.56784,-3.19317 0.322026        0,4 0 0,  -2.38974 0.00963975    2.26028,   1.11992 -0.0282804    2.71567, -0.0119495    0.245706 -0.00302916    0.969266
12,2.28414 0.83865       2,-5.25791  -0.4333  6.66641, -3.9698 0.323268        0,4 0 0,-2.59972 0.255577  1.76084, 0.769533 0.0205796   2.83048, 0.0169754   0.259333 0.00455898   0.965628
13,  2.78233 -0.638962         2, -5.14437 0.0068129   7.79207,-3.76536 -0.63029        0,4 0 0,failed,failed,failed
14,    1.9026 -0.0724411          2, -4.05905 -0.106664    7.3914, -3.32477 -0.209806         0,4 0 0, -3.01841 -0.631279   1.91771,  0.718226 -0.0719042    2.98744, -0.0139178    0.275252 -0.00398527    0.961263
15, 0.561824 -0.525534         2,-3.57642 0.273198  7.64395,-4.16026 -0.16482        0,4 0 0, -2.71686 -0.193831   1.81138, 1.36377 0.055025  2.64616,-0.00684025    0.255367 -0.00180672    0.966818
16,   2.3357 -0.353317         2, -4.56876 -0.291025   7.23412, -3.40003 -0.718677         0,4 0 0, -3.72331 -0.198198   1.58022,  1.60149 -0.020567   2.69222, 0.00186857    0.259608 0.000502319    0.965712
17,  2.38072 0.0771212         2, -5.2912 0.373882  6.90134,-4.00465 0.528318        0,4 0 0, -2.84647 -0.683416   1.53985, 0.760013 0.0500389   2.97393, -0.0219822    0.265239 -0.00604881    0.963913
18, 0.823545 -0.207088         2,  -3.713 0.590588  7.04096,-3.89943 0.544147        0,4 0 0,-3.38904 0.484819  1.44993,   1.18617 -0.0473984    2.89525, 0.0194677   0.288207 0.00586067   0.957352
19, 1.05706 0.357186        2, -3.6313 0.124264  7.00749, -3.5669 0.515419        0,4 0 0,failed,failed,failed
20,  2.4344 0.522141        2, -4.86468 -0.153497     6.901,-3.50302 0.334796        0,4 0 0,-3.18586 0.502379  1.29373,  0.413377 -0.0438441    3.24753, 0.0147813   0.264506 0.00405464   0.964262
21,0.652099 0.824174        2,-3.16096 -1.09356  6.76365, -3.34205 -0.557632         0,4 0 0,-2.79553 0.357119  1.73637,   1.1558 0.0615581    2.8862,0.00424064   0.271036 0.00119407   0.962559
22,  1.14958 -0.791514         2,-4.15983 0.328065  8.21025, -4.41715 -0.352494         0,4 0 0,failed,failed,failed
23,   2.5489 -0.731942         2,-5.71635  1.25927  7.35655, -4.4187 0.802971        0,4 0 0,-3.78016 -0.40273  2.02012,   1.30842 -0.0494646    2.80934, -0.00146235     0.268602 -0.000407777      0.96325
24,  2.25027 -0.127982         2,   -4.243 -0.170341   7.03985, -3.06845 -0.341509         0,4 0 0,-3.82344 0.671839  1.41035,   1.21925 -0.0396921    2.91279,0.0410851  0.290562 0.0124886  0.955892
25,   2.40286 0.00715716          2,  -5.3019 -0.608718   6.72761, -3.92158 -0.718961         0,4 0 0, -2.60614 -0.322949   1.36678, 1.04972 0.089009  2.71068, -0.0113681    0.259703 -0.00305746    0.965617
26, 1.40517 0.117287        2, -4.75582 -0.350096   6.62539, -4.32773 -0.304736         0,4 0 0, -3.36384 -0.654926   1.30988,   1.22864 -0.0545967    2.88559, -0.0285131    0.286904 -0.00854368    0.957497
27, 2.88817 0.738068        2,  -5.7193 -0.705407   7.69148, -4.21995 -0.138635         0,4 0 0,failed,failed,failed
28,0.726623 0.498191        2, -3.46703 -0.794017   6.89756, -3.66915 -0.508528         0,4 0 0,  -3.50685 -0.0506818    1.70881,  1.40632 0.0802519   2.70272, -0.0158832    0.282305 -0.00467471    0.959182
