number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1, 2.5606 2.13521       2,-2.95661 -2.12749  7.76555,-1.36711 -0.69106        0,4 0 0, -1.00306 -0.429097   1.59406,   3.71061 -0.0647346   0.909193,-0.0597922   0.207891 -0.0127328    0.97624
2,2.52798 1.08112       2,-3.96697 -1.34462  7.87805, -2.68677 -0.686441         0,4 0 0,failed,failed,failed
3,0.886407  1.23398        2,-2.07685 -1.45968   8.4237,  -2.0428 -0.824774         0,4 0 0,failed,failed,failed
4,1.67634 1.42322       2,-2.92395 -1.37103  7.82343, -2.26164 -0.423281         0,4 0 0,failed,failed,failed
5, 1.6184 1.44651       2,-2.16593  -1.3675  8.27481, -1.41601 -0.469323         0,4 0 0,failed,failed,failed
6,3.85046 2.15976       2,-4.99659 -1.13395  7.66691,-2.47868  0.72339        0,4 0 0,-1.91498 0.851318  1.52511, 3.17718 0.318803  1.30374, -0.0055277    0.246718 -0.00140731     0.96907
7,1.66867 1.88329       2, -2.9114 -1.48833  8.34301,-2.34946  -0.1708        0,4 0 0,-1.92957 0.043849  1.90764,  3.07795 0.0642557   1.36816, -0.0331822    0.218836 -0.00744637    0.975169
8,3.95015 1.44091       2,-5.52941 -1.44594  7.61597,   -2.905 -0.351716         0,4 0 0, -2.05532 -0.129524   2.00043,  2.91996 0.0279165   1.63761,  -0.034393    0.255678 -0.00910201    0.966107
9,1.38069 2.22065       2,-2.05507 -2.20891   8.0579, -1.43523 -0.806066         0,4 0 0,failed,failed,failed
10,4.26298 2.30316       2, -5.9532 -2.39942  6.85515, -2.66962 -0.491004         0,4 0 0,failed,failed,failed
11,1.75911 1.49924       2, -2.37217 -0.696465   7.57055,-1.45842 0.554583        0,4 0 0,failed,failed,failed
12,3.48528 2.36022       2,-3.73154 -2.15273  7.07298,-1.19467 -0.33965        0,4 0 0,-0.823322 -0.125417   1.27034,  4.30086 0.0130398  0.684135,-0.0522174   0.215394  -0.011535   0.975062
13,3.84355 1.97328       2,-4.28814 -1.81976  8.22248, -1.81205 -0.426778         0,4 0 0, -1.35927 -0.234635   1.52071,   3.28048 -0.0212606   0.843101,-0.0443312   0.235059 -0.0107326    0.97091
14,3.42469 2.38901       2,-4.16442 -2.43975  7.91351, -1.95913 -0.765132         0,4 0 0,failed,failed,failed
15,3.27832 2.13644       2,-3.19677 -2.33154  6.79371,-0.709058 -0.771726         0,4 0 0,-0.446915 -0.580534   1.01905,  4.76937 -0.143462  0.503642,-0.0680165   0.201234 -0.0140083   0.977079
16,2.96425 1.52922       2,-3.88373 -1.61988   8.0863, -2.19241 -0.621592         0,4 0 0, -1.64983 -0.395285   1.86542,   3.21579 -0.0467143    1.20697,-0.0455464   0.231304 -0.0108413   0.971754
