number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1,3.88341 1.94691       2,-5.64494 -2.35733  8.27725,-3.26659 -1.03893        0,   3 1.67    0, -2.50407 -0.720503   1.94351,  2.51514 0.0106987   1.44715,  -0.11458   0.243071 -0.0289277   0.962783
2,3.81832 1.49074       2,-3.76647  -2.8215  7.75968,-1.03172 -2.14248        0,   3 1.67    0,-0.580334  -1.80434   1.61048, 4.65832 -1.27927 0.839977, -0.164403   0.187289 -0.0318111   0.967927
3,4.31704 1.78132       2,-4.39143 -3.20244  7.85028,-1.23916 -2.27053        0,   3 1.67    0,-0.735033  -1.90289   1.61026, 4.52281 -1.24137 0.850162,-0.169828  0.196134 -0.034512  0.965142
4,1.96715 1.67172       2,-3.82713  -2.4383  7.39785,-2.8906 -1.4232       0,   3 1.67    0,failed,failed,failed
5,1.96605 1.66178       2,-2.07544 -2.06181  8.33484,-0.92169 -1.20699        0,   3 1.67    0,failed,failed,failed
6,4.04797 1.19323       2,-4.84045 -2.60796  7.67472,-2.01033 -2.07089        0,   3 1.67    0,-1.42023 -1.75295  1.66275, 3.89347 -1.27028   1.2207, -0.149237   0.215244 -0.0333042   0.964515
7, 2.50761 0.948604        2, -4.1034 -1.48761  7.15338, -2.65178 -0.921838         0,   3 1.67    0, -1.94149 -0.664333    2.0183,  2.86427 -0.103811   1.77022, -0.100403   0.219126 -0.0226755   0.970252
8,4.17398 1.47128       2,-4.07969 -2.28862  6.72764,-0.788112  -1.31235         0,   3 1.67    0,-0.363891  -1.07437   1.27015,  4.95115 -0.461056  0.576886, -0.131945   0.188879 -0.0256196   0.972758
9,0.789526  1.43558        2,-3.83998 -2.44275  7.52556,-4.12098 -1.68817        0,   3 1.67    0,failed,failed,failed
10,3.90391 1.37435       2,-4.97607 -2.79835  7.94875,-2.38132 -2.16022        0,   3 1.67    0, -1.7725 -1.81784  1.70393,  3.23372 -0.339221   1.33354, -0.148998   0.216851 -0.0335105   0.964185
11,3.86323 2.25632       2,-6.88645  -3.1248  7.91265,-4.34269 -1.46721        0,   3 1.67    0,failed,failed,failed
12,0.646785  2.45839        2,-4.04986 -3.95668  7.29011,-4.29448 -2.36918        0,   3 1.67    0,-3.26732 -1.36565  2.79288, 1.20653 -1.09348   3.5672, -0.182121   0.241687 -0.0462362   0.951988
13,2.75199 1.27123       2,-3.71113 -2.10188  7.36948,-1.99278 -1.41607        0,   3 1.67    0,-1.40384 -1.08252  1.90633,  3.44539 -0.685912   1.44132,  -0.12789   0.203562 -0.0268304   0.970302
14,2.97034 1.49156       2,-3.21494 -1.86589  6.89003, -1.08995 -0.864956         0,   3 1.67    0,failed,failed,failed
15,3.60906 1.89798       2,-5.25507 -2.40712  6.91205, -2.63962 -0.964266         0,   3 1.67    0,failed,failed,failed
16,2.63336 1.88911       2,-4.66762 -2.28036  8.60584,-3.53599 -1.12491        0,   3 1.67    0,failed,failed,failed
17, 2.0421 2.49736       2,-3.77755 -3.12701  7.68464,-2.77992 -1.49425        0,   3 1.67    0, -2.11039 -0.940013   2.18802,  2.55101 -0.111032   1.87472, -0.143188   0.209529 -0.0310336   0.966763
18,1.40908 2.29579       2, -4.0267 -3.57321  7.38747,-3.56936 -2.12196        0,   3 1.67    0,-2.72719 -1.37464  2.45188,  1.98128 -0.979891    2.7729,-0.167217  0.227797 -0.039744  0.958419
19, 1.5664 1.00923       2,-2.88417 -2.61307  6.67924,-2.00497 -2.22644        0,   3 1.67    0,failed,failed,failed
20,2.89006 2.01136       2,-2.95138 -3.60255  6.56952,-0.661609  -2.32393         0,   3 1.67    0,failed,failed,failed
21,3.92024 1.15039       2,-4.14645 -2.02228  7.19981,-1.27014 -1.38103        0,   3 1.67    0,-0.788586  -1.14617   1.48241,  4.32688 -0.778784  0.835443, -0.127394   0.199024 -0.0261029   0.971328
22,3.50119 2.20135       2, -3.5689 -3.63892   6.9871,-0.856989  -2.24233         0,   3 1.67    0,failed,failed,failed
23,0.865085  2.10212        2,-4.60135  -3.4625  6.55796,-4.49093 -1.92826        0,   3 1.67    0,failed,failed,failed
24,4.35152 2.05347       2,-7.10992 -3.37165  7.90915,-4.03724 -1.92463        0,   3 1.67    0,-2.78043 -1.32863  2.42124,  1.93591 -0.494478   2.34869, -0.142729   0.260068 -0.0389014   0.954191
25, 4.3191 1.27321       2,-6.05161 -2.83858  8.68145, -3.3548 -2.32633        0,   3 1.67    0,-2.38153  -1.8698  2.35882, 2.57225 -1.47934  1.92448,-0.151427   0.24613 -0.038964  0.956541
26,1.76758 1.71739       2,-4.80737 -3.06596  7.22328,-4.06826 -2.00449        0,   3 1.67    0,-2.93745  -1.2833  2.63485,1.68452 -1.1523 3.14836, -0.152687   0.247105 -0.0394634   0.956069
27,3.75069 1.33701       2,-6.60073 -2.97828   7.2702, -3.9292 -2.12819        0,   3 1.67    0,-2.67229 -1.56106  2.34741,  2.07504 -0.856877   2.57968, -0.144708   0.258906 -0.0392642   0.954194
28,2.22334 1.30786       2,-3.62208 -2.07604  8.19811,-2.61413 -1.46479        0,   3 1.67    0,-1.99944 -1.11248  2.21055,  2.52515 -0.395905   1.70497, -0.126441   0.211411 -0.0275922   0.968791
29,1.71779 1.77226       2,-5.12217 -3.02149  6.67211,-4.25511 -1.75105        0,   3 1.67    0,failed,failed,failed
30,2.52849  2.1686       2,-3.25713 -3.58433  6.72708,-1.40666 -2.16185        0,   3 1.67    0,failed,failed,failed
