number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1,  3.56034 -0.606722         2,-5.52836  2.28716  7.65755,-3.25832  2.21426        0,4 0 0,failed,failed,failed
2,   3.1226 -0.177229         2,-6.34064  2.24241  6.66794,-4.10717  2.37963        0,4 0 0,-2.63929  1.86051  2.49811,2.33159 2.68498 3.15972, 0.091867  0.283201 0.0272638  0.954261
3,  4.04036 -0.592443         2,-3.67986  1.55521  6.88189,-0.563987   1.35347         0,4 0 0,-0.255832   1.22324   1.06491, 5.04344  1.25061 0.336246,0.0664599  0.211194 0.0143947  0.975076
4,  3.52506 -0.259135         2,-4.72226   1.6436  7.27355,-2.35065  1.78593        0,4 0 0,-1.6099 1.52811 1.91041,3.49018 1.73642 1.59815,0.0716061  0.242915 0.0179834  0.967234
5, 3.99336 0.612888        2,-4.24223  1.33306  7.14631,-1.32977  2.28561        0,4 0 0,-0.842989   2.13264   1.44391, 4.45572  2.41243 0.940509,0.0816413  0.229245 0.0192998  0.969747
6,   3.5595 -0.700695         2,-3.16362  1.30212  8.05639,-0.725031   1.06278         0,4 0 0,-0.459131  0.953341   1.20129, 4.52035 0.436018 0.179932,0.0534375  0.207393 0.0113466  0.976731
7, 3.76799 0.188422        2,-5.28592 0.796189  7.85807,-2.94933  1.20022        0,4 0 0,failed,failed,failed
8,      3.2612 -0.000194814            2,-3.81484  1.81809  7.99348,-1.77483   2.3999        0,4 0 0,failed,failed,failed
9,  4.3547 0.202199        2,-5.58539 0.648082  8.37188,-2.84858  1.03801        0,4 0 0,-2.06565 0.947162  2.01346,  2.887 1.01373 1.38917, 0.0345315   0.259406 0.00928155   0.965106
10,  3.64822 -0.718619         2,-5.8452  2.0739  8.0699,-3.66289  1.87539        0,4 0 0,-2.55362  1.48182  2.49241,2.17156 1.18699 2.38508,  0.07638  0.267569 0.0212825  0.960271
11,  4.24437 -0.181424         2,-3.76647  1.90619  7.75968,-0.676831   2.30916         0,4 0 0,-0.349011   2.14326   1.20713, 5.19894  1.43677 0.182019,0.0957642  0.212031 0.0208827  0.972335
12, 3.97014 0.800975        2,-6.54272 0.581387   8.4926,-4.28562  1.53458        0,4 0 0,failed,failed,failed
13, 4.45399 0.413524        2,-6.29615 0.524558  8.45427,-3.52982  1.07869        0,4 0 0,-2.51598 0.994221  2.30222, 2.24967 0.806308  1.90932, 0.0321651   0.273536 0.00915271    0.96128
14, 4.43139 0.112657        2,-4.39143  1.57286  7.85028,-1.26106   2.1515        0,4 0 0,-0.828662   1.99663   1.36582, 4.74074  1.48926 0.408855,0.0818586   0.22701 0.0191524  0.970257
15, 4.39914 0.184873        2,-3.85986 0.633295  8.11479,-0.773273   1.03352         0,4 0 0,-0.48552 0.986308  1.10424,   4.58532   0.497292 0.00198451, 0.0389276   0.219392 0.00876098   0.974821
16,  4.33049 -0.482515         2,-4.84045  2.09304  7.67472,-1.77659  2.15822        0,4 0 0,-1.21292  1.91449  1.57286, 4.33431  1.78282 0.841662,0.0891666  0.236901 0.0218403  0.967187
17,  3.81446 -0.107858         2,-5.99803 0.980165  7.59864,-3.53681  1.09345        0,4 0 0,failed,failed,failed
18,4.04634  0.7456       2,-4.40453   0.3221  6.69737,-1.33487  1.13913        0,4 0 0,-0.830536   1.10224   1.37624, 4.50449  1.35967 0.807033, 0.0323375   0.228139 0.00758166   0.973062
19,  4.27647 -0.299207         2,-4.97607  1.92644  7.94875,-2.07016  2.15784        0,4 0 0,-1.43333  1.91129  1.77107,3.66777 1.96986  1.1812, 0.085635  0.243938 0.0216302   0.96576
20,3.05504 0.79789       2,-4.04986 0.912909  7.29011,-2.11796  1.96398        0,4 0 0,-1.48837  1.82206  1.85027,3.58453 2.21125  1.5797,0.0628511  0.234257 0.0151783  0.970022
21, 3.74752 0.623635        2,-3.99261 0.546513  7.61161,-1.45654  1.33597        0,4 0 0,-1.00145  1.27368  1.48803, 4.04918  1.41492 0.797454, 0.0424698    0.22621 0.00987265   0.973102
22,  3.26093 -0.251681         2,-3.13528  1.04616  7.00083,-0.76389   1.0913        0,4 0 0,-0.417491  0.975712   1.34365, 4.88977 0.836741 0.523579,0.0492383  0.204828 0.0103175  0.977504
23, 3.34059 0.447997        2,-6.06141    1.173  7.87266,-4.18068  1.90351        0,4 0 0,failed,failed,failed
24,  3.5003 0.347854        2,-5.83636   1.5351  7.57241,-3.6467 2.22768       0,4 0 0,-2.49937   1.9259  2.42869,2.37201  2.1561 2.59248,0.0748469  0.269553 0.0210193  0.959842
25,  3.72963 -0.788419         2,-5.90662   1.9141  7.40924,-3.41656  1.52737        0,4 0 0,failed,failed,failed
26, 3.73424 0.107183        2,-6.78189 0.935558  6.61217,-3.94007  1.16585        0,4 0 0,-2.56907 0.976723  2.26695, 2.30829 0.621707  2.73352, 0.039985  0.278584 0.0116092  0.959509
27,  3.94038 -0.662362         2,-5.80258    1.239  7.52971,-3.17087 0.856069        0,4 0 0,-2.18752   0.6461  2.15621, 2.72466 0.386632  1.91811,0.0407625  0.261299 0.0110452  0.964333
28, 3.34091 0.633332        2,-4.0267 1.24844 7.38747,-1.81287  2.23122        0,4 0 0,failed,failed,failed
29, 4.14441 0.136055        2,-3.98522  1.09979  7.77798,-1.07309  1.57591        0,4 0 0,-0.710785   1.47592   1.27395, 4.64455 0.932068 0.323647,0.0600578  0.220844 0.0136264  0.973363
30,   3.61757 -0.0669904          2,-6.68101  1.05418    6.699,-4.00981  1.13651        0,4 0 0,-2.56315 0.908246  2.39019, 2.28833 0.644416   2.7981,0.0417145  0.278052 0.0120873  0.959584
31, 3.45538 0.362306        2,-3.10291  1.23593  8.49315,-0.846609   2.07584         0,4 0 0,failed,failed,failed
32, 4.04966 0.209656        2,-5.28022  1.11678   7.3339,-2.46446  1.58741        0,4 0 0,failed,failed,failed
33,   3.9273 -0.205232         2,-4.9245 1.14406 6.56856,-1.93843  1.15749        0,4 0 0,-1.22391 0.991496  1.65824,4.14137 1.15099 1.25551,0.0480159  0.238359    0.0118  0.969918
34,3.44284 0.41026       2,-3.14667 0.346905  6.79565,-0.569157  0.852563         0,4 0 0,-0.274372  0.820065   1.11614,  4.9808 0.955511  0.41005, 0.0285232   0.203844 0.00594162    0.97857
35,  3.49242 -0.756934         2,-4.65964  1.40368  7.02033,-2.24375 0.971034        0,4 0 0,failed,failed,failed
36,  3.39174 -0.123664         2,-3.81627  1.23289  7.78867,-1.63052  1.49883        0,4 0 0,failed,failed,failed
37, 3.13691 0.437326        2,-4.60135  1.34532  6.55796,-2.38139  2.05073        0,4 0 0,-1.57253  1.81424  1.91629,3.61997 2.29825  1.8908,0.0726991  0.244775 0.0184084  0.966675
38,  3.89046 -0.823044         2,-6.44635  2.35063  7.55786,-3.81973  1.98844        0,4 0 0,-2.57332  1.53395  2.41977,2.40422 1.81391 2.54622,0.0823434  0.273131 0.0234727  0.958159
39,4.44432 0.38809       2,-7.10992  1.42481  7.90915,-4.09631  2.09961        0,4 0 0,-2.75417  1.83064  2.51297,2.06221 1.91832 2.63133,0.0672684  0.284605 0.0200245  0.956072
40, 3.99526 -0.26331        2,-4.48074  1.22213  8.36107,-1.95598   1.3599        0,4 0 0,failed,failed,failed
41,  3.43314 -0.829689         2,-5.14808    1.901  7.76559,-3.04862   1.5638        0,4 0 0,-2.16179  1.23632  2.19833, 2.59445 0.977129  2.01985,0.0689172  0.253674  0.018123  0.964661
42,  4.43216 -0.401573         2,-6.05161  1.89124  8.68145,-3.31087  2.01827        0,4 0 0,failed,failed,failed
43,  3.47534 0.0479622         2,-4.80737  1.69228  7.22328,-2.46656  2.13962        0,4 0 0,-1.71859  1.87632  1.90411,3.52725 2.26158 1.72254,0.0803522  0.246201 0.0204862  0.965665
44, 3.55864 0.175059        2,-5.80836 0.966128  7.31567,-3.50108  1.34933        0,4 0 0,failed,failed,failed
45,4.21901  -0.337       2,-6.60073  1.76901   7.2702,-3.55931   1.7476        0,4 0 0,-2.35312  1.42434  2.24818,2.69194 1.76929 2.30154,  0.06724  0.272225 0.0190732  0.959692
46, 3.33843 0.390678        2,-2.91328 0.469986   7.5634,-0.561951   1.01991         0,4 0 0,-0.298796  0.977456   1.18286,  4.8585 0.571935 0.224458,0.0357354  0.200817 0.0073306  0.978949
47, 3.45667 0.103494        2,-5.12217   1.7312  6.67211,-2.61497  2.15559        0,4 0 0,-1.73264  1.85738  1.95195, 3.5524 2.43369 1.95541,0.0810067  0.251875 0.0211626  0.964131
48,  3.67451 -0.164467         2,-4.81276  1.33584  6.88022,-2.18118  1.46085        0,4 0 0,-1.45411  1.25904  1.77015,3.75009 1.51791 1.48162,0.0583449  0.240824 0.0145048  0.968705
49,  3.35955 -0.183263         2,-5.33088  2.18573  6.88892,-2.98335   2.4174        0,4 0 0,-1.99719  2.01306  2.12117, 3.2022 2.55699 2.25756,0.0944885  0.258125 0.0253758  0.961145
50,  3.93278 0.0837416         2,-6.75631  1.28689  7.58496,-4.14322    1.622        0,4 0 0,failed,failed,failed
51,  3.61214 -0.471779         2,-5.97919   1.2982  7.40067,-3.63938  1.10266        0,4 0 0, -2.4715 0.849095  2.35425, 2.36695 0.602202  2.38967,0.0463598   0.26743 0.0128827  0.962375
52,  3.60276 -0.681632         2,-4.69951  1.81406  8.21909,-2.5228 1.68289       0,4 0 0,failed,failed,failed
53,  3.3153 0.796136        2,-3.39123 0.623254  7.34791,-1.11083  1.60959        0,4 0 0,-0.724285   1.53855   1.43164, 4.40462  1.71673 0.765207,0.0519294  0.214578 0.0114256  0.975259
54,  4.42311 -0.776876         2,-4.6082 1.56078 8.26739,-1.63187  1.27392        0,4 0 0,-1.25042  1.14473  1.24682, 3.42029 0.284272 0.690979,0.0597594  0.237659 0.0146507  0.969398
55,   3.1056 -0.324877         2,-3.93665  1.43509  7.51219,-1.9758 1.52753       0,4 0 0,-1.43765  1.33135  1.71682,3.76531 1.42195 1.25693,0.0633704   0.22894 0.0149373  0.971261
56,  4.25566 -0.663043         2,-6.57673  2.53471  7.57841,-3.57143  2.35356        0,4 0 0,-2.37214  1.89135  2.33657,2.62236 2.08707 2.35402,0.0939329  0.273557 0.0268539  0.956882
57, 3.86995 0.191627        2,-7.38302  1.48181  6.65848,-4.35836  1.84309        0,4 0 0,-2.71477  1.51321  2.45961,2.21011  2.2643  3.0545,0.0630039  0.291542 0.0192482  0.954287
58,  3.37685 -0.760747         2,-5.76411  1.83078  7.26933,-3.57109  1.44604        0,4 0 0,-2.42154  1.08092  2.36354, 2.39732 0.839831  2.48125,0.0637458  0.264079 0.0174946  0.962233
59,  3.96806 -0.760202         2,-3.95254  2.06034  6.51502,-0.802736   1.72667         0,4 0 0,-0.380099   1.50636   1.26728, 5.02224  1.66985 0.646999,0.0852736  0.216693 0.0190041  0.972323
60, 4.33872 0.619084        2,-7.56212 0.733456  6.88532,-4.18416  1.44573        0,4 0 0,-2.64919  1.29685  2.37015,2.30855 1.89862 2.74377,0.0406621  0.287858 0.0122343  0.956731
61,  3.27608 -0.124891         2, -5.0246 0.929541  8.03934,-3.20526  1.07414        0,4 0 0,failed,failed,failed
62, 3.77273 0.470817        2,-3.27548  1.37251  7.76555,-0.58832  2.29821        0,4 0 0,-0.282532   2.17007   1.26325, 4.80101  2.17165 0.439871,0.0884879  0.209719 0.0190616  0.973563
63,  3.33227 -0.330194         2,-5.97136   1.5924  8.26993,-4.20418  1.67957        0,4 0 0,failed,failed,failed
64,  3.76049 -0.595972         2,-4.62262  2.15538  7.87805,-2.16293  2.16592        0,4 0 0,-1.51333  1.86304  1.86777,3.55544 1.92613 1.36421,0.0903368  0.240138 0.0224507  0.966265
65,  3.53658 -0.795415         2,-6.14316  2.04135  6.50028,-3.45165  1.52675        0,4 0 0,failed,failed,failed
66, 3.78354 0.766558        2,-4.10477 0.171413  6.92234,-1.34835 0.980863        0,4 0 0,-0.866894  0.960758   1.42265, 4.38789  1.17293 0.806405,0.0258699   0.22462 0.0059655  0.974085
67, 3.02171 0.447101        2, -3.2007 0.396174  7.46133,-1.21187 0.971121        0,4 0 0,failed,failed,failed
68,  3.97383 -0.321997         2,-6.04702  1.35144  7.75059,-3.46947  1.34149        0,4 0 0,-2.3873 1.09964 2.30819, 2.40579 0.831508  2.16119,0.0523259  0.267729 0.0145631  0.961962
69,  3.92219 -0.625096         2,-3.9869 1.88954 6.59365,-0.91703  1.66839        0,4 0 0,-0.480464   1.46148    1.3119,5.00678 1.53472 0.65173,0.0794686  0.217736 0.0177906  0.972604
70,    3.06036 0.000685176           2,-6.10923  1.09302  7.50235,-4.35897   1.3281        0,4 0 0,-2.97641  1.08074  2.67254, 1.69949 0.900094  3.11903,0.0462281  0.276057 0.0132942  0.959937
71, 3.64728 0.631806        2,-6.30173 0.689836  8.20374,-4.24581  1.49585        0,4 0 0,failed,failed,failed
72, 4.39725 0.565564        2,-4.53625 0.651044  7.16348,-1.27414  1.37952        0,4 0 0,-0.811544   1.31313   1.32562, 4.41669  1.48864 0.643934,0.0452528  0.230482 0.0107308  0.971964
73, 4.2571 0.39678       2,-6.13241 0.748304  7.46701,-3.18149  1.30447        0,4 0 0,-2.16647  1.18061   2.1113,2.86437 1.46896 1.91837,0.0405652  0.265039 0.0111608  0.963319
74, 4.48047 0.556973        2,-4.79118 0.276408  6.79448,-1.34001 0.892761        0,4 0 0,-0.815859  0.862523   1.36247, 4.55323 0.948178 0.654117, 0.0256056   0.232448 0.00612184   0.972252
75, 3.14491 0.743952        2,-5.71156 0.556872  8.33485,-4.1868 1.45879       0,4 0 0,failed,failed,failed
76, 3.92677 0.750399        2,-6.66432 0.538663   6.8702,-3.7799 1.37331       0,4 0 0,failed,failed,failed
77, 4.38797 0.768476        2,-4.20353  1.19796  6.88966,-0.821306   2.25307         0,4 0 0,-0.416516   2.13771   1.20301, 5.17333  2.29236 0.481019,0.0799255  0.223059  0.018354  0.971349
78,  4.29381 -0.231854         2,-6.70588  2.05406  7.61597,-3.70925  2.21954        0,4 0 0,-3.20067  2.06375  1.15133, 2.78529 0.452125  1.92306,0.0789253  0.268491 0.0220785   0.95979
