number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1,3.50915  1.7462       2,-6.38827 -1.42285  6.90134, -3.92122 0.0912444         0,4 0 0, -3.1383 0.265624  1.56924, 1.11816 0.199311  2.89831, -0.0248111    0.289633 -0.00751067    0.956787
2,2.40397 1.77862       2, -4.73154 -0.940155   7.13153,-3.46285 0.612884        0,4 0 0,-2.76676 0.751198  1.78489, 1.01914 0.187667  2.89321,-0.00541274    0.268353 -0.00150786    0.963304
3,1.01767 1.46538       2,-4.28399 -1.23324  7.04096,  -4.32346 -0.0721775          0,4 0 0,failed,failed,failed
4,1.39129 2.02293       2,-4.17507 -1.64127  7.00749,  -3.79946 -0.0176134          0,4 0 0,failed,failed,failed
5,3.59504 2.18592       2,-5.81958 -1.88431    6.901,  -3.26524 -0.0353527          0,4 0 0,-2.48147 0.218422   1.6647, 1.40891 0.151394   2.5829,-0.0370735   0.272636  -0.010514   0.961345
6,3.22263 2.23746       2,-6.02362 -1.26677  7.03816,-3.91447 0.736516        0,4 0 0,-3.17513    0.892  1.59102, 1.07367 0.373941  2.91766,-0.00801279    0.287479 -0.00240513     0.95775
7,1.54107 1.30758       2, -4.16368 -0.857646   7.50296,-3.81349  0.20463        0,4 0 0,-3.25808 0.319036  1.70319,0.798583 0.175077  3.00854,-0.0126143   0.269316 -0.0035279   0.962963
8,0.743358  2.48436        2,-3.54794 -2.70686  6.76365,-3.60525 -0.83336        0,4 0 0,failed,failed,failed
9,1.37489 1.54436       2, -3.95347 -0.819234   7.37897,-3.70846 0.490996        0,4 0 0, -3.1503 0.606658  1.74263,  1.35372 0.0959461   2.77075,-0.00589136    0.258816  -0.0015786    0.965907
10, 3.81886 0.935707        2, -6.47312 -0.542475   7.50672,-3.98314 0.281867        0,4 0 0,-3.19522 0.347898  1.66275, 1.37161 0.108354  2.62236,-0.00367196    0.289037 -0.00110866     0.95731
