number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1,   1.4325 -0.700695         2,-2.87271  1.30212  8.05639,-2.49126  1.07784        0,    3 -1.67     0,-1.84977  2.06315  2.10032,3.20241 2.15328 2.16056, 0.140288  0.223515 0.0325273  0.964003
2, 1.77998 0.188422        2,-4.46444 0.796189  7.85807,-4.02595  1.22385        0,    3 -1.67     0,-2.09046 0.896162  1.79761,  2.83001 0.0207499   1.47729, 0.103345  0.199531 0.0211667  0.974197
3,  2.5451 0.699679        2, -2.881 1.17908 7.38609,-1.26153  2.25759        0,    3 -1.67     0,failed,failed,failed
4,    0.935332 -0.000194814            2,-3.36113  1.81809  7.99348,-3.55651  2.42952        0,    3 -1.67     0,-0.835086   2.08306   1.75099,4.23857 1.91591  1.3545, 0.143394  0.190099 0.0280781  0.970831
5, 2.75783 0.202199        2,-4.68904 0.648082  8.37188,-3.45514   1.0609        0,    3 -1.67     0,failed,failed,failed
6, 0.527279 -0.623093         2,-2.13986  2.22153  8.40786,-2.44855  2.46632        0,    3 -1.67     0,failed,failed,failed
7, 0.86157 0.458419        2,  -2.133 0.424616  7.92657,-2.10165  1.04831        0,    3 -1.67     0,failed,failed,failed
8,  2.57395 -0.181424         2,-3.32485  1.90619  7.75968,-1.81288  2.33361        0,    3 -1.67     0,failed,failed,failed
9, 2.70175 0.014798        2,-2.84791 0.814381   7.0909,-1.00745  1.07547        0,    3 -1.67     0,failed,failed,failed
10, 2.92332 0.413524        2,-5.22211 0.524558  8.45427,-3.9125 1.10018       0,    3 -1.67     0,-0.652497  0.973971    1.4847, 4.32374 0.738568 0.910543,  0.10043  0.181048 0.0185886  0.978156
11, 2.88565 0.112657        2,-3.79357  1.57286  7.85028, -2.113 2.18516       0,    3 -1.67     0,failed,failed,failed
12, 1.11241 0.268006        2,-2.51489 0.824368  7.87927,-2.33322  1.39746        0,    3 -1.67     0,failed,failed,failed
13,  2.25489 -0.475054         2,-2.42319  1.22699  6.80102,-0.867293   1.10587         0,    3 -1.67     0,failed,failed,failed
14,  2.8319 0.184873        2, -3.3949 0.633295  8.11479,-1.77854  1.04492        0,    3 -1.67     0,-0.537908  0.939086   1.52896, 4.48634 0.680305  1.01557, 0.111756  0.171152 0.0195436  0.978691
15,  2.71748 -0.482515         2,-4.13034  2.09304  7.67472,-2.59271  2.20841        0,    3 -1.67     0,-1.35616 0.966127  1.66515, 3.18243 0.165575  1.01015,0.0932883     0.201 0.0192327  0.974949
16,  1.85743 -0.107858         2,-4.99852 0.980165  7.59864,-4.45532  1.13002        0,    3 -1.67     0,failed,failed,failed
17,  1.56471 0.0971163         2,-3.96016 0.580727  7.32478, -3.5228 0.843159        0,    3 -1.67     0,-3.28994 0.901496  2.68317, 1.21888 0.221947  3.13003,0.0888012  0.253856  0.023412  0.962872
18,   1.99549 -0.0218104          2,-2.52559 0.817837   8.0629,-1.50104  1.11043        0,    3 -1.67     0,failed,failed,failed
