number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1,   1.4325 -0.700695         2,-2.87271  1.30212  8.05639,-2.49126  1.07784        0,   3 1.67    0,-2.1999 2.18993 1.17158, 2.03924 0.776687  1.59926, 0.0309614   0.226845 0.00721527   0.973412
2, 1.77998 0.188422        2,-4.46444 0.796189  7.85807,-4.02595  1.22385        0,   3 1.67    0,-1.97431 0.843518   2.2092, 1.24459 0.258526  1.89459,-0.000651455     0.215016 -0.000143428      0.97661
3,  2.5451 0.699679        2, -2.881 1.17908 7.38609,-1.26153  2.25759        0,   3 1.67    0,-3.37618  1.10797   1.9003,0.730645 0.386112  2.59262,-0.00725244    0.257213 -0.00193043    0.966326
4,    0.935332 -0.000194814            2,-3.36113  1.81809  7.99348,-3.55651  2.42952        0,   3 1.67    0,-0.962769   2.13532   1.30072, 2.80861 0.539035 0.732664, 0.0279796   0.202684 0.00579369   0.978827
5, 2.75783 0.202199        2,-4.68904 0.648082  8.37188,-3.45514   1.0609        0,   3 1.67    0,-3.19088  2.23174  1.48548,0.705405 0.792599   2.4417, 0.0414968   0.233366 0.00996852   0.971452
6, 0.527279 -0.623093         2,-2.13986  2.22153  8.40786,-2.44855  2.46632        0,   3 1.67    0,-2.62524 0.946203  2.35655,0.954871 0.375943  2.16922, -0.0149901    0.252372 -0.00391014    0.967506
7, 0.86157 0.458419        2,  -2.133 0.424616  7.92657,-2.10165  1.04831        0,   3 1.67    0,-2.19328  2.20131  1.63369,0.921096 0.915775   1.8387,0.0521134  0.202733 0.0108051  0.977787
8,  2.57395 -0.181424         2,-3.32485  1.90619  7.75968,-1.81288  2.33361        0,   3 1.67    0,-1.77162 0.982607  1.89695, 1.55473 0.477576  1.65853, -0.0202436    0.196215 -0.00405173    0.980344
9, 2.70175 0.014798        2,-2.84791 0.814381   7.0909,-1.00745  1.07547        0,   3 1.67    0,-1.4331 2.11588  1.5219, 2.31303 0.582555  1.02014, 0.0437263   0.215736 0.00967101   0.975424
10, 2.92332 0.413524        2,-5.22211 0.524558  8.45427,-3.9125 1.10018       0,   3 1.67    0,-0.720009  0.993277   1.24717, 3.39631 0.251846 0.590678, -0.0121761    0.194916 -0.00241991    0.980741
11, 2.88565 0.112657        2,-3.79357  1.57286  7.85028, -2.113 2.18516       0,   3 1.67    0,-3.15935  1.02453  2.05718,0.460914 0.237767  2.47664, -0.0170213    0.266807 -0.00471301    0.963588
12, 1.11241 0.268006        2,-2.51489 0.824368  7.87927,-2.33322  1.39746        0,   3 1.67    0,-1.65176  1.99392  1.60315, 2.13712 0.563602  1.13886,  0.031895   0.226622 0.00742536   0.973432
13,  2.25489 -0.475054         2,-2.42319  1.22699  6.80102,-0.867293   1.10587         0,   3 1.67    0,-1.98586   1.2836    1.745, 1.48477 0.640679  1.67677, -0.00279387     0.208454 -0.000595478     0.978028
14,  2.8319 0.184873        2, -3.3949 0.633295  8.11479,-1.77854  1.04492        0,   3 1.67    0,-0.665057   1.00347   1.01947, 4.14206 0.286984 0.432492, -0.00095254     0.182767 -0.000177075     0.983156
15,  2.71748 -0.482515         2,-4.13034  2.09304  7.67472,-2.59271  2.20841        0,   3 1.67    0,-1.29058 0.953893  1.87561, 2.12263 0.298088  1.02244,-0.0180539   0.217213 -0.0040182   0.975949
16,  1.85743 -0.107858         2,-4.99852 0.980165  7.59864,-4.45532  1.13002        0,   3 1.67    0,-2.17382  1.99614  1.37701, 2.07489 0.856425  1.37344,0.0419909  0.235855 0.0102014  0.970827
17,  1.56471 0.0971163         2,-3.96016 0.580727  7.32478, -3.5228 0.843159        0,   3 1.67    0,-3.86935  1.01511  1.56598,0.208674 0.504469   3.0669,-0.00592142    0.269321 -0.00165598    0.963031
