number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1, 2.5606 2.13521       2,-2.95661 -2.12749  7.76555,-1.36711 -0.69106        0,   3 1.67    0, -1.00686 -0.431831   1.58018,  3.59004 -0.110827  0.807487, -0.117125   0.187028 -0.0224653   0.975088
2,2.52798 1.08112       2,-3.96697 -1.34462  7.87805, -2.68677 -0.686441         0,   3 1.67    0, -1.99275 -0.451198   2.18817, 1.36984 0.119663  2.06658,-0.0966167    0.22579 -0.0225104   0.969112
3,0.886407  1.23398        2,-2.07685 -1.45968   8.4237,  -2.0428 -0.824774         0,   3 1.67    0, -1.65189 -0.550025   2.34986,  1.13953 0.0537252   1.93546, -0.108155   0.188616 -0.0209045   0.975853
4,1.67634 1.42322       2,-2.92395 -1.37103  7.82343, -2.26164 -0.423281         0,   3 1.67    0, -1.73506 -0.176371   2.16773, 1.47237 0.157658  1.93588,-0.0942262   0.205819 -0.0199145    0.97384
5, 1.6184 1.44651       2,-2.16593  -1.3675  8.27481, -1.41601 -0.469323         0,   3 1.67    0, -1.06229 -0.245992   2.05944,  2.21102 0.0392258   1.23965,-0.0999534   0.181391 -0.0185358   0.978143
6,3.85046 2.15976       2,-4.99659 -1.13395  7.66691,-2.47868  0.72339        0,   3 1.67    0,-1.86227  0.86328  1.64291, 2.09742 0.402356  1.30049,-0.0586903   0.241064 -0.0146064   0.968623
7,1.66867 1.88329       2, -2.9114 -1.48833  8.34301,-2.34946  -0.1708        0,   3 1.67    0, -1.84187 0.0886849   2.22543, 1.33992 0.198339  1.76197,-0.0908254   0.209123 -0.0195114   0.973467
8,3.95015 1.44091       2,-5.52941 -1.44594  7.61597,   -2.905 -0.351716         0,   3 1.67    0, -2.01768 -0.119681   2.06959,1.71676 0.12681 1.87273,-0.0870482   0.247168 -0.0223006   0.964797
9,1.38069 2.22065       2,-2.05507 -2.20891   8.0579, -1.43523 -0.806066         0,   3 1.67    0, -1.10247 -0.448404   2.03006,  2.05282 0.0055051    1.4758, -0.124095   0.174724 -0.0222038   0.976514
10,4.26298 2.30316       2, -5.9532 -2.39942  6.85515, -2.66962 -0.491004         0,   3 1.67    0, -1.81791 -0.147725   1.75973, 2.09075 0.183191   1.8069,-0.106147  0.243455 -0.026815  0.963713
11,1.75911 1.49924       2, -2.37217 -0.696465   7.57055,-1.45842 0.554583        0,   3 1.67    0,-1.09818 0.660349  1.79567,  2.4305 0.199778  1.19102, -0.059453   0.190423 -0.0115542   0.979832
12,3.48528 2.36022       2,-3.73154 -2.15273  7.07298,-1.19467 -0.33965        0,   3 1.67    0, -0.765784 -0.0922232    1.43183,  2.87729 0.0856275   1.01095,  -0.11068   0.200515 -0.0228053   0.973151
13,3.84355 1.97328       2,-4.28814 -1.81976  8.22248, -1.81205 -0.426778         0,   3 1.67    0, -1.21418 -0.173061   1.91376,    2.2694 -0.0203619    1.05171, -0.104129   0.220745 -0.0237099   0.969467
14,3.42469 2.38901       2,-4.16442 -2.43975  7.91351, -1.95913 -0.765132         0,   3 1.67    0, -1.37372 -0.422162   1.87532,   2.39475 -0.0459501    1.28374, -0.120997   0.214233 -0.0267539    0.96889
