number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
414,2.20841   1.388       2,-3.50782 -1.74682  7.93912, -2.45103 -0.932308         0,4 0 0,failed,failed,failed
415, 1.06309 0.979341        2,-2.05358 -1.95275  7.94119,-1.74867 -1.69437        0,4 0 0,failed,failed,failed
416, 2.78909 0.937811        2,-2.67348 -1.90284   7.9716,-0.831981  -1.63947         0,4 0 0,failed,failed,failed
417,2.16323 2.30883       2,-3.40775 -2.96234  7.90039, -2.2783 -1.55217        0,4 0 0,failed,failed,failed
418,3.82864 1.86577       2, -6.7493 -2.63585  6.80754,-3.81396 -1.11895        0,4 0 0,failed,failed,failed
419,1.20312 0.90966       2,-4.29955  -1.6478  6.72605,-4.03629 -1.09835        0,4 0 0,failed,failed,failed
420,0.615885  1.86808        2,-2.09131 -3.28444  6.64295,-1.96792 -2.18984        0,4 0 0,failed,failed,failed
421,3.76599 1.45511       2,-5.25628 -2.54789  6.86841,-2.46133 -1.56347        0,4 0 0,failed,failed,failed
422,2.10832 1.90572       2,-4.20331 -3.43733  6.74811,-2.89286 -2.18409        0,4 0 0,failed,failed,failed
423,0.816901  2.26008        2,-2.08087 -2.31124  8.13974, -2.03734 -0.910155         0,4 0 0,failed,failed,failed
424,2.87603 1.76761       2,-4.54497  -2.6644  7.30846,-2.73823 -1.52365        0,4 0 0,-1.90353 -1.03432  2.19896,  3.02334 -0.650445   1.95261,-0.0842545   0.239711 -0.0208869   0.966956
425,2.46606 2.32039       2,-2.95655 -3.13527   7.7998,-1.39505 -1.77413        0,4 0 0, -1.0387 -1.39623  1.60003,  4.20238 -0.921224  0.904923, -0.103524   0.204466 -0.0217514   0.973141
426,3.12232 1.85528       2,-3.29418   -2.657  6.50116,-0.877125  -1.37057         0,4 0 0,-0.468917  -1.04132    1.4171,  4.91339 -0.818382  0.790406,-0.0895854   0.203779 -0.0187289    0.97473
427,2.67673 2.43502       2,-4.49717 -2.73338   8.0994,-3.12196 -1.08943        0,4 0 0,  -2.3861 -0.642169    2.1675,   3.02839 -0.0794077    1.65007,-0.0730002   0.241837 -0.0182492   0.967395
428,4.17382 2.47867       2,-4.51471 -2.71805  7.50429, -1.46914 -0.918632         0,4 0 0, -1.04744 -0.664752   1.28966, 3.95265 -0.15954 0.671957,-0.0730648   0.228208  -0.017177   0.970715
429,1.12968  2.4409       2,-2.93959 -3.58513  6.87398,-2.48031 -1.96186        0,4 0 0,failed,failed,failed
430,4.09963 2.05594       2,-4.39489 -3.53743  6.83611,-1.12284 -2.14761        0,4 0 0,-0.666809  -1.78055   1.34126, 4.73696 -1.78272 0.827729, -0.120571   0.221884 -0.0276601   0.967195
431, 2.50576 0.967422        2,-2.32469 -1.88281  7.57784,-0.603121  -1.55052         0,4 0 0,-0.421804  -1.40367   1.05948,  4.48645 -0.409853  0.547393,-0.0784533   0.188104 -0.0150755   0.978895
432, 2.2613 1.65358       2,-4.21275 -3.04358  7.04572,-2.87949 -2.06047        0,4 0 0,-2.57247 -1.83866 0.998389,  3.13071 -0.250637   1.85544, -0.099198   0.230084 -0.0235829   0.967815
433,3.21373 2.20459       2,-5.72457 -3.50308  6.54135, -3.2732 -1.76501        0,4 0 0,failed,failed,failed
