number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1,  3.56034 -0.606722         2,-5.52836  2.28716  7.65755,-3.25832  2.21426        0,   3 1.67    0,-2.63853  1.95784  1.56025, 1.11128 0.770575  2.08071,0.0432325  0.258624 0.0115872   0.96494
2,   3.1226 -0.177229         2,-6.34064  2.24241  6.66794,-4.10717  2.37963        0,   3 1.67    0,failed,failed,failed
3,  4.04036 -0.592443         2,-3.67986  1.55521  6.88189,-0.563987   1.35347         0,   3 1.67    0,-0.343539   1.26031  0.802895,  3.66529  0.372166 0.0902375,0.00997341   0.206996 0.00211028   0.978289
4,  3.52506 -0.259135         2,-4.72226   1.6436  7.27355,-2.35065  1.78593        0,   3 1.67    0,-1.85427  1.61316  1.37615, 2.59624 0.548692  1.13545, 0.0229395   0.237373 0.00560709   0.971132
5, 3.99336 0.612888        2,-4.24223  1.33306  7.14631,-1.32977  2.28561        0,   3 1.67    0,-1.03188    2.192 0.955613, 3.12954 0.663321 0.482798, 0.0306335   0.224582 0.00706378   0.973948
6,   3.5595 -0.700695         2,-3.16362  1.30212  8.05639,-0.725031   1.06278         0,   3 1.67    0,-0.420351   0.93738   1.34675, 2.91568 0.327774 0.155346, -0.0069757    0.204086 -0.00145429    0.978927
7, 3.76799 0.188422        2,-5.28592 0.796189  7.85807,-2.94933  1.20022        0,   3 1.67    0,-2.24944   1.0948  1.78747, 1.55603 0.563265   1.6734,-0.00918547    0.253246 -0.00240469    0.967355
8,      3.2612 -0.000194814            2,-3.81484  1.81809  7.99348,-1.77483   2.3999        0,   3 1.67    0,-1.42461  2.23299  1.31456, 2.36985 0.832034 0.801684, 0.0424285   0.225517 0.00983116   0.973265
9,  4.3547 0.202199        2,-5.58539 0.648082  8.37188,-2.84858  1.03801        0,   3 1.67    0,failed,failed,failed
10,  3.64822 -0.718619         2,-5.8452  2.0739  8.0699,-3.66289  1.87539        0,   3 1.67    0,-2.78402  1.56356  2.08115,  1.1484 0.511439  2.10434, 0.0303345    0.26621 0.00838212   0.963401
11,  4.24437 -0.181424         2,-3.76647  1.90619  7.75968,-0.676831   2.30916         0,   3 1.67    0,-0.452425   2.19559  0.871848,   3.03339   0.786082 -0.0166928,0.0437737  0.218537 0.0098135  0.974797
12, 3.97014 0.800975        2,-6.54272 0.581387   8.4926,-4.28562  1.53458        0,   3 1.67    0,-3.30157  1.44714  2.19102,0.939744  0.58096  2.30526,-0.00520768    0.278225 -0.00150849    0.960501
