number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1,3.88341 1.94691       2,-5.64494 -2.35733  8.27725,-3.26659 -1.03893        0,4 0 0, -2.26006 -0.618606   2.42149,   1.58503 -0.0341734    2.22271,-0.0653033   0.267039 -0.0181406   0.961299
2,3.81832 1.49074       2,-3.76647  -2.8215  7.75968,-1.03172 -2.14248        0,4 0 0,-0.604361  -1.82234   1.53907,  3.52137 -0.471124   0.91283, -0.106945   0.213446 -0.0235135   0.970799
3,4.31704 1.78132       2,-4.39143 -3.20244  7.85028,-1.23916 -2.27053        0,4 0 0,-0.789535  -1.94264   1.46506,  3.62695 -0.629218  0.856199, -0.113927   0.222589 -0.0262005   0.967878
4,1.96715 1.67172       2,-3.82713  -2.4383  7.39785,-2.8906 -1.4232       0,4 0 0,-2.24586 -1.01243  2.03101,   1.40637 -0.0378531    2.59077,-0.0807882   0.240869 -0.0201238    0.96698
5,1.96605 1.66178       2,-2.07544 -2.06181  8.33484,-0.92169 -1.20699        0,4 0 0,-0.653452 -0.940512   1.73206,  3.62625 -0.422101  0.777237,-0.0727684   0.191441  -0.014234   0.978699
6,4.04797 1.19323       2,-4.84045 -2.60796  7.67472,-2.01033 -2.07089        0,4 0 0,-1.47021 -1.77988  1.54647,  2.85696 -0.659275   1.47702,-0.0957056   0.238488 -0.0236248   0.966129
7, 2.50761 0.948604        2, -4.1034 -1.48761  7.15338, -2.65178 -0.921838         0,4 0 0, -1.99626 -0.684191   1.89545,    1.457 0.0270185   2.49377,-0.0515955   0.245779 -0.0131021   0.967863
8,4.17398 1.47128       2,-4.07969 -2.28862  6.72764,-0.788112  -1.31235         0,4 0 0,failed,failed,failed
9,0.789526  1.43558        2,-3.83998 -2.44275  7.52556,-4.12098 -1.68817        0,4 0 0,failed,failed,failed
10,3.90391 1.37435       2,-4.97607 -2.79835  7.94875,-2.38132 -2.16022        0,4 0 0,-1.70312 -1.77882  1.86242, 2.17822 -0.63783  1.82134, -0.101269   0.248207 -0.0261002   0.963045
11,3.86323 2.25632       2,-6.88645  -3.1248  7.91265,-4.34269 -1.46721        0,4 0 0, -3.3864 -1.03329  1.98937,  1.00006 0.0534503    2.8897,-0.0838076    0.28931 -0.0254363    0.95322
