number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1, 0.909518 0.0127662         2,  -3.15014 -0.0478087    8.47683,  -3.47842 -0.0538282          0,1.75    0    0,failed,failed,failed
2,  2.32622 0.0863773         2, -4.76176 -0.229814   7.71416, -3.78521 -0.208574         0,1.75    0    0,  -2.92549 -0.0454365    2.26029,   0.439396 -0.00130556     1.74635, -0.00250496     0.218309 -0.000560374     0.975876
3, 1.44032 0.539513        2, -4.11551 -0.961408    7.7701,-3.93566 -0.71635        0,1.75    0    0, -3.04502 -0.172851   1.97249,  0.549936 -0.0650682    1.94732,-0.0102882   0.245805 -0.0026091   0.969261
4, 1.98749 0.234305        2, -5.31595 -0.701094   7.06171, -4.47106 -0.617481         0,1.75    0    0,failed,failed,failed
5,  2.19245 -0.735702         2,-5.15941  1.15633  7.01746,-4.07548 0.669063        0,1.75    0    0,failed,failed,failed
6,  2.99203 -0.137428         2, -5.72549 -0.199787   7.72536, -4.14337 -0.386412         0,1.75    0    0,-3.44449 0.527646  1.53897,0.249293  0.13338  2.39877,0.0410256  0.253004  0.010739  0.966535
7, 1.40566 0.830719        2,  -4.23878 -0.0258801     7.2235,-3.97513 0.797866        0,1.75    0    0, -3.31087 -0.357363   1.93893, 0.372012 -0.130958   2.13856,  -0.013927    0.261193 -0.00376887    0.965179
8,  2.57703 -0.204657         2, -5.4322 0.782696  7.47709,-4.16081 0.766162        0,1.75    0    0,failed,failed,failed
9,  1.9154 0.641197        2,-4.05157 -1.08101  6.59612,  -3.0421 -0.681524         0,1.75    0    0,failed,failed,failed
10, 1.41058 0.548327        2, -3.33977 -0.473405   7.67035,  -3.04055 -0.0826116          0,1.75    0    0, -2.56044 -0.553012   1.37599,   1.5568 -0.166554   1.55812, -0.0424157    0.222686 -0.00969833    0.973919
11,  2.33871 -0.297373         2,-4.29252 0.480629  7.56784,-3.19317 0.322026        0,1.75    0    0,   -2.51783 -0.00851801     1.89765, 0.992672 0.0187245   1.50472, -0.0128523    0.216489 -0.00285023    0.976196
12,2.28414 0.83865       2,-5.25791  -0.4333  6.66641, -3.9698 0.323268        0,1.75    0    0, -2.5723 0.252508  1.82625,  1.06018 0.0869877   1.48612,0.0192614  0.233192 0.0046199  0.972229
13,  2.78233 -0.638962         2, -5.14437 0.0068129   7.79207,-3.76536 -0.63029        0,1.75    0    0,-3.42525 0.368144  1.29237,0.418086 0.165081  2.32061,-0.000906093       0.2545 -0.000238452     0.967072
14,    1.9026 -0.0724411          2, -4.05905 -0.106664    7.3914, -3.32477 -0.209806         0,1.75    0    0,failed,failed,failed
