number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1,3.50915  1.7462       2,-6.38827 -1.42285  6.90134, -3.92122 0.0912444         0,4 0 0,-2.59562 0.386495  2.36001, 2.24689 0.428784  2.66626, -0.0254111    0.272824 -0.00720885    0.961701
2,2.40397 1.77862       2, -4.73154 -0.940155   7.13153,-3.46285 0.612884        0,4 0 0,failed,failed,failed
3,1.01767 1.46538       2,-4.28399 -1.23324  7.04096,  -4.32346 -0.0721775          0,4 0 0,failed,failed,failed
4,1.39129 2.02293       2,-4.17507 -1.64127  7.00749,  -3.79946 -0.0176134          0,4 0 0,failed,failed,failed
5,3.59504 2.18592       2,-5.81958 -1.88431    6.901,  -3.26524 -0.0353527          0,4 0 0,-2.20044 0.309416  2.11983, 2.75026 0.404051  2.15812, -0.0369681    0.258841 -0.00991424    0.965161
6,3.22263 2.23746       2,-6.02362 -1.26677  7.03816,-3.91447 0.736516        0,4 0 0,-2.68027 0.996069  2.36378, 2.12527 0.919933   2.7234, -0.0102109    0.270006 -0.00286354      0.9628
7,1.54107 1.30758       2, -4.16368 -0.857646   7.50296,-3.81349  0.20463        0,4 0 0,failed,failed,failed
8,0.743358  2.48436        2,-3.54794 -2.70686  6.76365,-3.60525 -0.83336        0,4 0 0,failed,failed,failed
9,1.37489 1.54436       2, -3.95347 -0.819234   7.37897,-3.70846 0.490996        0,4 0 0,failed,failed,failed
10, 3.81886 0.935707        2, -6.47312 -0.542475   7.50672,-3.98314 0.281867        0,4 0 0,failed,failed,failed
11, 3.77824 0.946771        2, -6.95514 -0.648138   7.35655,-4.41733 0.183039        0,4 0 0, -2.9349 0.321184  2.55378, 1.83861 0.346256  2.91151,-0.00835014       0.283 -0.00246391     0.95908
12,4.27009 1.83062       2,-7.06771 -1.83513  8.49062,  -4.4459 -0.432484         0,4 0 0,  -3.12583 -0.0897295    2.64542,  1.69971 0.0972391   2.49599,-0.0392899   0.285728 -0.0117253   0.957433
13,4.32107 2.39928       2,-6.95906 -2.36723  7.69148, -3.92543 -0.405892         0,4 0 0, -2.69123 0.0139384   2.34588, 2.18406 0.205411  2.29385,-0.0491558   0.276257 -0.0141496   0.959722
14,1.70306 1.71696       2,-4.04096 -1.85499   8.5069, -3.72592 -0.775201         0,4 0 0,failed,failed,failed
15,4.08098  2.0482       2,-6.07002  -2.4227  7.11732, -3.06969 -0.805819         0,4 0 0,failed,failed,failed
16,  0.7307 0.862239        2,  -3.7847 -0.738987   7.22843,  -4.12009 -0.0849077          0,4 0 0,failed,failed,failed
17, 4.06331 0.927613        2,-6.95547 -1.06021  6.60516, -3.76974 -0.266369         0,4 0 0,failed,failed,failed
18,0.859659  2.37397        2,-3.27631  -1.3397  7.06158,-3.33982 0.656782        0,4 0 0,failed,failed,failed
19,0.786913  1.79269        2,-3.92499  -1.6053  7.33056,-4.22481 -0.25708        0,4 0 0,failed,failed,failed
20,3.72919 1.41351       2, -5.31961 -0.947123   8.30029,-3.16157 0.186649        0,4 0 0,-2.31548  0.33729  2.18121, 2.51292 0.312283  1.69959, -0.0131502     0.25928 -0.00353067    0.965706
21,2.21914 1.57371       2,-4.48722 -1.46435  7.33284, -3.42747 -0.268997         0,4 0 0,failed,failed,failed
22, 2.45738 0.900233        2, -4.32654 -0.740947   7.71292,  -3.14963 -0.0600017          0,4 0 0,failed,failed,failed
23,2.63003 1.23171       2, -5.3018 -1.51713  8.25893, -4.19289 -0.720694         0,4 0 0, -3.06054 -0.396667   2.74618,  1.62412 -0.140355   2.76709,-0.0425382   0.267415 -0.0118177    0.96257
24,  1.8157 0.974497        2, -3.79744 -0.669533   7.60037, -3.15618 0.0978971         0,4 0 0,failed,failed,failed
25,4.06984 1.14029       2,-5.93156 -1.11409  8.08604, -3.39596 -0.261968         0,4 0 0,failed,failed,failed
26,1.44222 1.51316       2, -3.6698 -1.31418  7.96287, -3.44405 -0.236642         0,4 0 0,  -3.05937 -0.0988842    1.43906,  2.87733 0.0614469   1.83641, -0.0297736    0.236407 -0.00724762    0.971171
27,2.20974 1.83219       2, -5.08794 -0.974766   7.10591,-4.02783 0.637177        0,4 0 0,failed,failed,failed
28,2.52831 1.00584       2,-5.10488 -1.18046  7.93353, -3.99986 -0.503747         0,4 0 0, -2.87862 -0.244469   2.67727,    1.8101 -0.0650392    2.73611,  -0.032601    0.263126 -0.00889695    0.964169
29,2.42431 1.94444       2,-5.26331 -2.00305  6.88209, -3.85964 -0.447033         0,4 0 0, -2.64471 0.0153328   2.48768, 2.08962 0.201893  2.91423,-0.0486842   0.260295 -0.0131426   0.964211
30,3.60818  1.5312       2, -5.6513 -1.67595  6.70005,-3.00551 -0.43015        0,4 0 0, -1.99223 -0.129652   2.04601,   3.0747 0.0210601    2.0071,-0.0415561   0.255271 -0.0109824   0.965914
31,1.11293  1.1671       2,-4.08822 -1.07086  7.57094, -4.16798 -0.216183         0,4 0 0, -3.09879 0.0638801   2.85969, 1.39214 0.170288  3.38254, -0.026324   0.252799 -0.0068808   0.967136
32, 4.02986 0.911509        2, -6.02477 -0.449768   7.00616,-3.13126 0.376909        0,4 0 0,failed,failed,failed
33,3.48635 2.34611       2,-5.65696 -1.25464  7.11122,-3.32302 0.835883        0,4 0 0,-2.28345  1.06644  2.17055,2.66467 1.65297  2.1886,-0.00772569    0.259228 -0.00207367    0.965783
34,3.80786 1.53029       2, -6.14443 -0.705556   6.71384,-3.32864 0.710818        0,4 0 0,failed,failed,failed
35,4.10507  1.8491       2,-7.35328 -2.35698  6.93637, -4.17324 -0.804385         0,4 0 0,failed,failed,failed
36,1.09328 2.26868       2,-3.74438 -2.33222  6.89348, -3.54205 -0.618472         0,4 0 0,failed,failed,failed
37,3.09252 1.51057       2,-5.66071 -1.48807    8.682, -4.25694 -0.421437         0,4 0 0,failed,failed,failed
38,2.61134 2.35549       2,-5.53701 -2.46084  8.28006,-4.41244 -0.76612        0,4 0 0,failed,failed,failed
39,1.79725 2.31385       2, -4.4286 -1.44552  6.81031,-3.61472  0.54735        0,4 0 0,failed,failed,failed
40,4.15547  2.3931       2,-6.37606  -2.0595  8.02187, -3.68756 -0.140234         0,4 0 0,failed,failed,failed
41, 3.22839 0.859989        2, -4.90325 -0.884498   8.17155, -3.16178 -0.292735         0,4 0 0, -2.32307 -0.141441   2.26034,  2.50886 -0.014741    1.8343, -0.0228272    0.254182 -0.00600109    0.966868
42, 4.21814 0.896876        2, -7.7646 -1.01739  6.51353, -4.27372 -0.215811         0,4 0 0,   -2.63564 -0.00117373     2.35589,  2.23794 0.0865272   2.78901,  -0.022864    0.289726 -0.00692331    0.956812
43,1.4369  2.278      2,-4.25485 -1.93254  7.18029, -3.88189 -0.137784         0,4 0 0,failed,failed,failed
44,3.67067 2.03375       2,-7.08458 -1.71216  7.08441, -4.47946 0.0640718         0,4 0 0,failed,failed,failed
45,4.44124 1.41889       2, -6.53426 -0.780262   8.19166,-3.69257 0.447628        0,4 0 0,-2.60928 0.576985   2.2868, 2.24298 0.522764  1.99472,-0.00425503    0.275366 -0.00121883    0.961329
46,0.571499 0.947668        2,-3.03654 -1.23952  6.83067,  -3.2881 -0.627826         0,4 0 0,failed,failed,failed
47,1.85623 2.41926       2,-4.03015 -2.59486  7.06516, -3.12427 -0.787499         0,4 0 0,failed,failed,failed
48,1.51579 1.47332       2,-4.43275 -1.63013  6.61675, -3.82099 -0.489263         0,4 0 0,failed,failed,failed
49, 1.9849 1.75288       2,-4.80852 -1.98269  7.06985, -3.89492 -0.671525         0,4 0 0,failed,failed,failed
50,3.50262 1.30606       2,  -6.2947 -0.430482   8.43219, -4.4827 0.759963        0,4 0 0,-3.20276 0.847495  2.72648,1.50692 0.69537 2.76583,0.00785401   0.281522 0.00230435    0.95952
51,1.61752 2.04541       2,-4.02789 -1.70259  7.91273, -3.66199 -0.186239         0,4 0 0,failed,failed,failed
52,0.617694  2.05185        2,-3.16977 -1.72672   6.9998, -3.42126 -0.148354         0,4 0 0,failed,failed,failed
53,3.03612 1.56521       2, -6.05674 -0.666933    6.6697,-4.00003 0.790427        0,4 0 0,failed,failed,failed
54,4.47232 2.08429       2,-6.91532 -2.35725  6.72126, -3.31305 -0.569532         0,4 0 0,failed,failed,failed
55,1.19979 2.37371       2,-4.14499  -2.5138  6.66642,-3.79745 -0.65695        0,4 0 0,  -2.71123 0.00180293    2.60711,1.86008  0.3167 3.26435,-0.0661477   0.246317 -0.0168532   0.966782
56,1.25791  2.1718       2,-3.16519 -2.00136  8.25083, -3.02998 -0.539453         0,4 0 0,failed,failed,failed
57,0.563888  1.43628        2,-3.39516   -1.439  7.24782,-3.81531 -0.41979        0,4 0 0,failed,failed,failed
58,3.72105 1.33855       2,-6.07495 -1.33762  8.04785, -3.85964 -0.330617         0,4 0 0,failed,failed,failed
59,4.36547 1.23422       2,-6.42087 -1.08734  7.94109, -3.54391 -0.105192         0,4 0 0, -2.49527 0.0723898   2.20399, 2.42681 0.138234  1.93346, -0.0213811    0.271701 -0.00603795    0.962125
60,4.44103 2.39638       2,  -6.388 -1.98573  8.69418, -3.65742 -0.121052         0,4 0 0,-2.82307  0.13831  2.00868, 2.60818 0.119448  1.52997, -0.0352322     0.27279 -0.00999711    0.961376
61,4.46272 2.38866       2,-6.75845 -2.16916  7.18267, -3.39879 -0.134533         0,4 0 0,-2.28241 0.223774  2.07773, 2.70695 0.338744  1.97706,-0.0417827   0.268823 -0.0116733   0.962212
62,2.27577 1.57781       2, -4.49301 -0.720357   8.57817, -3.7637 0.609516        0,4 0 0,failed,failed,failed
63,3.09715 1.71125       2,-5.21982 -1.16749  6.75556,-3.14132 0.315915        0,4 0 0,failed,failed,failed
64, 3.24309 0.863642        2,-5.28485 -1.08805  8.42911, -3.63652 -0.552746         0,4 0 0,failed,failed,failed
65,3.29352 1.86715       2,-5.42641 -1.07262  8.57176,-3.79117 0.466742        0,4 0 0,-2.80446 0.661781  2.50619, 1.93549 0.547397  2.19965,-0.00925138    0.266854 -0.00256179    0.963689
66,4.26982 2.06207       2,-5.84291 -2.23481  8.10973,  -3.0407 -0.734071         0,4 0 0, -2.25265 -0.432654   1.91803,   2.93402 -0.0273013    1.41699,-0.0548108   0.259537 -0.0147557   0.964064
67,2.58399 1.14443       2, -4.95469 -0.953741   6.91944,    -3.449 -0.0168803          0,4 0 0,failed,failed,failed
68,4.46078 1.30174       2,-6.60844 -1.22408  6.61018,  -3.04131 -0.0878771          0,4 0 0,failed,failed,failed
69,3.53175  2.3874       2,-6.10217 -2.52042  7.19214, -3.67354 -0.588653         0,4 0 0,  -2.4954 -0.102039   2.31552,  2.3721 0.118286  2.40034, -0.058309   0.264985 -0.0160554   0.962354
70, 1.80344 0.980542        2, -4.90935 -0.294032   7.41024,-4.36649 0.611011        0,4 0 0,-3.11413 0.686018  2.78887, 1.42081 0.550078  3.40154,0.00603022   0.265978 0.00166387   0.963959
71,3.63008 2.23943       2,-5.23739 -1.08004  8.32072,-3.16263 0.838655        0,4 0 0,failed,failed,failed
72,2.14505 1.88186       2,-4.28603 -1.44058  8.03126,   -3.48025 -0.00885686           0,4 0 0,failed,failed,failed
73,4.33878 2.14337       2,-7.66916 -1.58752  7.33638,-4.46647 0.320681        0,4 0 0,-2.94407 0.635818  2.46407,1.84037 0.71584 2.82346, -0.0218057    0.287059 -0.00653641    0.957642
74, 3.14416 0.884507        2, -5.3695 -1.30321  7.76258,-3.60995 -0.75476        0,4 0 0,failed,failed,failed
75,3.74348 1.14359       2, -5.67253 -0.661203   8.37324,-3.55532 0.292829        0,4 0 0,-2.59015 0.405332  2.34752,  2.2374 0.325898  1.96961,-0.00561659    0.267017 -0.00155626    0.963674
76,1.49687 2.14807       2,-4.44948 -2.16808  7.30358, -4.05792 -0.558586         0,4 0 0,failed,failed,failed
77, 3.34698 0.882674        2,-5.02756 -1.31893  7.78252, -3.04374 -0.793869         0,4 0 0,failed,failed,failed
78,1.85409  2.0309       2,-3.66798 -1.19946  8.35305,-3.12558 0.402516        0,4 0 0,failed,failed,failed
79,3.27288 1.57018       2,-6.47473 -1.64209  6.68501, -4.13552 -0.308699         0,4 0 0, -2.67062 0.0628217   2.45151,   2.125 0.204497  2.93018,-0.0374902   0.275647 -0.0107594   0.960467
80,1.87103 2.28759       2,-4.54023 -2.38928  7.26519, -3.74666 -0.668706         0,4 0 0,failed,failed,failed
