number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1,   1.4325 -0.700695         2,-2.87271  1.30212  8.05639,-2.49126  1.07784        0,4 0 0,-1.84633  2.06191  2.10845,3.27044 2.57843 2.13677,0.0798826  0.236273  0.019494  0.968201
2, 1.77998 0.188422        2,-4.46444 0.796189  7.85807,-4.02595  1.22385        0,4 0 0,failed,failed,failed
3,  2.5451 0.699679        2, -2.881 1.17908 7.38609,-1.26153  2.25759        0,4 0 0,failed,failed,failed
4,    0.935332 -0.000194814            2,-3.36113  1.81809  7.99348,-3.55651  2.42952        0,4 0 0,-0.955047   2.13216   1.32918, 4.81242  1.98535 0.860725,0.0790821  0.207059 0.0167948  0.974982
5, 2.75783 0.202199        2,-4.68904 0.648082  8.37188,-3.45514   1.0609        0,4 0 0,failed,failed,failed
6, 0.527279 -0.623093         2,-2.13986  2.22153  8.40786,-2.44855  2.46632        0,4 0 0,failed,failed,failed
7, 0.86157 0.458419        2,  -2.133 0.424616  7.92657,-2.10165  1.04831        0,4 0 0,-2.01294  2.01408  2.52208, 2.3793 1.45753 2.22589,0.103074 0.212122 0.022505 0.971532
8,  2.57395 -0.181424         2,-3.32485  1.90619  7.75968,-1.81288  2.33361        0,4 0 0,failed,failed,failed
9, 2.70175 0.014798        2,-2.84791 0.814381   7.0909,-1.00745  1.07547        0,4 0 0,-1.31216  2.04654  1.90626, 3.7104 2.14701 1.46016,0.0940612  0.221563 0.0214771  0.970361
10, 2.92332 0.413524        2,-5.22211 0.524558  8.45427,-3.9125 1.10018       0,4 0 0,-0.655839  0.974927   1.47322, 4.52352  1.04966 0.806544, 0.0436491    0.20361 0.00908698   0.978036
11, 2.88565 0.112657        2,-3.79357  1.57286  7.85028, -2.113 2.18516       0,4 0 0,failed,failed,failed
12, 1.11241 0.268006        2,-2.51489 0.824368  7.87927,-2.33322  1.39746        0,4 0 0,failed,failed,failed
13,  2.25489 -0.475054         2,-2.42319  1.22699  6.80102,-0.867293   1.10587         0,4 0 0,failed,failed,failed
14,  2.8319 0.184873        2, -3.3949 0.633295  8.11479,-1.77854  1.04492        0,4 0 0,-0.597785  0.969405   1.29599,  4.30188 0.0185148  0.966506,0.0538101  0.191769 0.0105307  0.979907
15,  2.71748 -0.482515         2,-4.13034  2.09304  7.67472,-2.59271  2.20841        0,4 0 0,-1.37033 0.968769  1.61851, 3.33036 0.235057  1.04658,0.0372729   0.22214 0.0084985  0.974265
16,  1.85743 -0.107858         2,-4.99852 0.980165  7.59864,-4.45532  1.13002        0,4 0 0,-1.85918  1.83669  2.17831, 3.0664 1.96207 1.95634,0.0907243  0.239844 0.0225185  0.966301
17,  1.56471 0.0971163         2,-3.96016 0.580727  7.32478, -3.5228 0.843159        0,4 0 0,failed,failed,failed
18,   1.99549 -0.0218104          2,-2.52559 0.817837   8.0629,-1.50104  1.11043        0,4 0 0,failed,failed,failed
19,2.24391  0.7456       2,-3.8034  0.3221 6.69737,-2.4856 1.14613       0,4 0 0,failed,failed,failed
20,  2.62745 -0.299207         2,-4.23205  1.92644  7.94875,-2.87847   2.2071        0,4 0 0,failed,failed,failed
21, 2.21096 0.684117        2,-2.10439 0.213345  6.61641,-0.507327    0.9597         0,4 0 0,failed,failed,failed
22,0.59174 0.79789       2,-3.53739 0.912909  7.29011,-3.98345  1.97863        0,4 0 0,-0.247254  0.933334   1.36861, 5.04171  1.05345 0.717778, 0.0286229   0.185647 0.00541014   0.982185
23, 1.74587 0.623635        2,-3.49446 0.546513  7.61161,-2.87533  1.34636        0,4 0 0,failed,failed,failed
24,  1.74013 -0.217313         2,-2.44681 0.987561  6.83312,-1.42487  1.06012        0,4 0 0,failed,failed,failed
25, 0.934887 -0.251681         2,-2.85146  1.04616  7.00083,-2.7581 1.10322       0,4 0 0, -1.0641 0.914508  1.63632, 4.06851 0.475565  1.34183,  0.046519   0.199125 0.00946351   0.978824
26,  1.73652 -0.322403         2,-2.54326 0.859354  8.12484,-1.78672  0.86808        0,4 0 0,failed,failed,failed
27, 1.92733 -0.48182        2,-2.77427  1.68136  8.10556,-1.85964  1.81329        0,4 0 0,failed,failed,failed
28,  1.71604 -0.788419         2,-4.92996   1.9141  7.40924,-4.40684  1.58884        0,4 0 0,failed,failed,failed
29,  2.06729 -0.662362         2,-4.85193    1.239  7.52971,-4.05076 0.899955        0,4 0 0,failed,failed,failed
30, 1.06818 0.633332        2,-3.52003  1.24844  7.38747,-3.50234  2.25435        0,4 0 0,-2.89582 0.605027  2.70205, 1.75398 0.367667  3.04114,0.0424102  0.260614 0.0114602  0.964443
31, 2.40735 0.136055        2,-3.48892  1.09979  7.77798,-2.22507   1.5963        0,4 0 0,failed,failed,failed
32,   1.1665 -0.668732         2,-2.66313  2.08857  6.67924,-2.18125  1.95675        0,4 0 0,failed,failed,failed
33, 1.99379 0.345471        2,-2.71353  1.22277  6.56952,-1.42837  1.88756        0,4 0 0,failed,failed,failed
34, 0.765978 -0.302573         2,-2.08123  1.72889  7.46583,-2.02672  2.01733        0,4 0 0,-0.997546   1.69342   1.70024,4.27267 2.11065 1.50322,0.0721543  0.208028 0.0153897  0.975336
35, 1.25897 0.362306        2,-2.82719  1.23593  8.49315,-2.68419  2.08609        0,4 0 0,failed,failed,failed
36, 2.24943 0.209656        2,-4.46016  1.11678   7.3339,-3.38077   1.6194        0,4 0 0,failed,failed,failed
37,   2.0455 -0.205232         2,-4.19337  1.14406  6.56856,-3.05384    1.186        0,4 0 0,failed,failed,failed
38, 2.37574 0.537752        2,-3.17668  1.19094   6.9871,-1.69416  2.06356        0,4 0 0,-2.11457 0.929739   2.2768,2.83861 1.26377 2.56759,0.0488061  0.243028 0.0122443  0.968713
39,1.23807 0.41026       2,   -2.86 0.346905  6.79565,-2.43311 0.855557        0,4 0 0,failed,failed,failed
40,   1.3207 -0.756934         2,-3.99473  1.40368  7.02033,-3.68924  1.00347        0,4 0 0,failed,failed,failed
41,  2.12149 -0.442099         2,-2.1859 2.16167 6.57244,-0.628772   2.27768         0,4 0 0,-2.6734 0.64652 2.62223,1.94919 0.32081  3.1236,0.0498516  0.246293 0.0126862  0.967829
42,   1.1529 -0.123664         2,-3.3622 1.23289 7.78867, -3.329 1.51981       0,4 0 0,failed,failed,failed
43,0.728178 0.437326        2,-3.95101  1.34532  6.55796,-4.08583  2.07649        0,4 0 0,-2.55104  1.23454  2.62498,   2.018 0.858405  2.71971,0.0576836  0.236314 0.0140551  0.969861
44, 2.9072 0.38809       2,-5.83244  1.42481  7.90915,-4.37516   2.1671        0,4 0 0,failed,failed,failed
45, 2.15877 -0.26331        2,-3.86056  1.22213  8.36107,-3.05713  1.38787        0,4 0 0,failed,failed,failed
46,  1.22191 -0.829689         2,-4.36106    1.901  7.76559,-4.38605  1.61484        0,4 0 0,-2.3197 1.15443 2.45187, 2.28679 0.736233   2.0863,0.0541501  0.241463 0.0134963  0.968804
47,  1.29224 0.0479622         2,-4.10553  1.69228  7.22328,-3.88063   2.1802        0,4 0 0,failed,failed,failed
48,2.53168  -0.337       2,-5.45055  1.76901   7.2702,-4.10774  1.81786        0,4 0 0,-2.81947  1.74279  2.73696,1.90954 2.32175 3.39848,0.0811813  0.256557 0.0216308  0.962871
49, 1.06406 0.390678        2,-2.68496 0.469986   7.5634,-2.54928  1.02317        0,4 0 0,failed,failed,failed
50, 1.26112 0.103494        2,-4.34163   1.7312  6.67211,-3.99638  2.19989        0,4 0 0,-2.25014 0.970809  1.41209, 3.23363 0.175638  1.66838, 0.0318344   0.214073 0.00698052   0.976274
51, 1.76781 0.504609        2,-2.94285  1.23872  6.72708,-1.96577  2.07616        0,4 0 0,failed,failed,failed
52,  1.62419 -0.164467         2,-4.10957  1.33584  6.88022,-3.47553  1.49322        0,4 0 0,-1.43138  1.85122  1.91771,3.74228 2.36899 1.89257,0.0754601  0.219353 0.0170191  0.972574
53,  1.09925 -0.183263         2,-4.49816  2.18573  6.88892,-4.3724 2.47549       0,4 0 0,failed,failed,failed
54, 0.635408 -0.210015         2,-2.12617  1.19088  6.81239,-2.12792  1.33774        0,4 0 0,failed,failed,failed
55,  1.59384 -0.722209         2,-2.61241  1.44917  7.58578,-1.90775  1.22022        0,4 0 0,failed,failed,failed
56,  1.50459 -0.681632         2,-4.02463  1.81406  8.21909,-3.83677  1.72592        0,4 0 0,failed,failed,failed
57,  1.0255 0.796136        2,-3.04342 0.623254  7.34791,-2.98877  1.61821        0,4 0 0,-2.92662  1.31568  2.77765, 1.63261 0.835788  2.89826,0.0713559  0.250002 0.0184777  0.965436
58,  2.87185 -0.776876         2,-3.95615  1.56078  8.26739,-2.4191 1.31051       0,4 0 0,failed,failed,failed
59,0.946712 0.581685        2, -2.6774 0.709749  6.54732,-2.44698  1.48131        0,4 0 0,-1.80091  1.06662  2.08416,   3.02 1.02211 1.46726,0.0597268  0.235503  0.014502  0.969928
60, 0.676006 -0.324877         2,-3.45249  1.43509  7.51219,-3.8414 1.55286       0,4 0 0,failed,failed,failed
61,  2.59276 -0.663043         2,-5.43255  2.53471  7.57841,-4.08089  2.45074        0,4 0 0,failed,failed,failed
62,  1.60357 -0.247979         2,-2.93955  1.50926  6.97739,-2.17099  1.68999        0,4 0 0,-2.86338  1.88268  2.65263,2.02336 2.26043 3.14666,0.0980296  0.268473 0.0274752  0.957892
63,  2.11343 -0.760202         2,-3.4644 2.06034 6.51502,-2.11368  1.75373        0,4 0 0,failed,failed,failed
64, 1.12872 0.838034        2,-2.00656   0.6107   7.9532,-1.66835  1.68932        0,4 0 0,-1.48216  1.37816  1.94169,3.70755 1.69292 1.93992,0.0837101  0.223649 0.0192833  0.970877
65, 1.78788 0.470817        2,-2.95661  1.37251  7.76555,-2.17648  2.31114        0,4 0 0,-1.34591  1.59119  1.95291,  3.567  1.7747 1.42102,0.0534351  0.199974 0.0109229  0.978282
66,  1.76749 -0.595972         2,-3.96697  2.15538  7.87805,-3.40418  2.21395        0,4 0 0,failed,failed,failed
67, 1.80589 0.766558        2,-3.57858 0.171413  6.92234, -2.7384 0.984229        0,4 0 0,-2.52327  1.73533  2.63044,2.05618 1.43899 2.75089,0.0900522   0.24549 0.0229102  0.964935
68,0.536177 0.447101        2,-2.90053 0.396174  7.46133,-3.32741 0.974817        0,4 0 0,-1.98751 0.948261   2.2195, 2.84731 0.796417  2.30511, 0.0242273   0.231393 0.00576431   0.972541
69,  2.12305 -0.321997         2,-5.03527  1.35144  7.75059,-4.26297  1.39197        0,4 0 0,failed,failed,failed
70,  2.03698 -0.625096         2,-3.49017  1.88954  6.59365,-2.25799  1.70015        0,4 0 0,failed,failed,failed
71, 0.741505 -0.441275         2,-2.07685  2.04032   8.4237,-2.15758  2.40682        0,4 0 0,failed,failed,failed
72, 2.82875 0.565564        2,-3.90219 0.651044  7.16348,-2.13991  1.39454        0,4 0 0,failed,failed,failed
73,2.59516 0.39678       2, -5.0993 0.748304  7.46701,-3.78557  1.33313        0,4 0 0,failed,failed,failed
74, 2.96745 0.556973        2,-4.09339 0.276408  6.79448,-2.10697 0.899625        0,4 0 0,-2.65689   1.1675  2.55498,2.14144  1.5192 2.78835,0.0414148  0.261073 0.0112118  0.964365
75, 2.20407 0.700623        2,-3.07811 0.577764  6.95794,-1.75598  1.44393        0,4 0 0,failed,failed,failed
76, 2.81329 0.768476        2,-3.65265  1.19796  6.88966,-1.77403  2.27298        0,4 0 0,-1.24481  1.34798  1.85117,3.79156 1.63808 1.53808, 0.045432  0.216046 0.0100643  0.975274
77,  2.65634 -0.231854         2,-5.52941  2.05406  7.61597,-4.16613  2.30255        0,4 0 0,failed,failed,failed
78, 1.05043 0.557283        2,-2.05507  1.29109   8.0579,-1.80906  2.35375        0,4 0 0,failed,failed,failed
79,1.61114 0.73512       2,-4.64526 0.505424  6.51396,-3.96501  1.34183        0,4 0 0,-1.46613   2.1383  2.04123,3.53033 2.29106 1.60705,0.0847506    0.2055 0.0178662  0.974817
80,  2.20633 -0.265355         2,-4.66882  1.08229  7.55977,-3.72516  1.10964        0,4 0 0,failed,failed,failed
81, 1.57921 0.012589        2,-2.30586  1.40889  7.86837,-1.57655  1.94077        0,4 0 0,failed,failed,failed
82, 1.78032 0.779446        2, -3.89717 0.0778793   6.59552,-3.02397 0.875452        0,4 0 0,failed,failed,failed
83, 2.85186 0.640789        2,-5.9532 1.10058 6.85515,-4.14635  1.93456        0,4 0 0,failed,failed,failed
84, 2.56054 0.759788        2,-5.66863 0.578719  7.43347,-4.40374  1.47078        0,4 0 0,-2.74393  1.67529  2.55195, 2.1137 2.46514 3.16367,0.0604859  0.279662 0.0176567  0.958029
85,1.53622 0.79612       2,-3.69491 0.671129  7.21631, -3.212 1.65857       0,4 0 0,failed,failed,failed
86,   1.81661 -0.0876925          2,-4.54707 0.867952  7.05477,  -3.827 0.989568        0,4 0 0,failed,failed,failed
87,  2.3658 0.698536        2,-3.73154  1.34727  7.07298,-2.36594  2.40693        0,4 0 0,failed,failed,failed
88, 2.78076 0.623624        2,-3.03117 0.219384  7.27514,-1.20838 0.912343        0,4 0 0,-1.68184  2.15994   2.0504, 3.4229 2.64107 2.02246,0.0831322  0.236032 0.0202711  0.967971
89,   1.8391 -0.363813         2,-4.72417  1.27323  7.71144,-4.19149  1.26152        0,4 0 0,failed,failed,failed
90,  1.69991 -0.282209         2,-4.56946  1.64752  8.14758,-4.27596  1.87239        0,4 0 0, -3.0348 0.949771  2.81203,1.63495  1.1605 3.23837,0.0500514   0.25981 0.0134858  0.964267
91,0.747208 0.193242        2,-3.93758  1.58611  7.57536,-4.34781  2.24559        0,4 0 0,-3.19745  1.48353  2.85329,1.52276 1.67607 3.28347,0.0689731  0.258041 0.0184723  0.963492
92, 2.32793 0.727678        2,-4.16442  1.06025  7.91351, -3.141 2.12005       0,4 0 0,failed,failed,failed
93, 2.23645 0.472061        2,-3.19677  1.16846  6.79371,-1.80605  1.94964        0,4 0 0,failed,failed,failed
94, 2.25155 0.409406        2,-2.89911  0.98475  6.70661,-1.42957  1.65979        0,4 0 0,-1.2931 1.76215 1.77935,3.94648 2.22273 1.62161,0.0704341  0.219997 0.0159281  0.972824
95,  2.48527 -0.110416         2,-5.24741  1.23129  7.29006,-3.97723  1.40599        0,4 0 0,-1.00829  1.51669   1.6088, 4.2617 1.90363 1.33187,0.0607862  0.210509 0.0131159  0.975612
96, 1.14589 0.435479        2, -3.0931 0.858484  6.98256,-2.83467  1.54028        0,4 0 0,failed,failed,failed
97,  2.04016 -0.142479         2,-3.88373  1.88012   8.0863,-3.10258  2.34714        0,4 0 0,-2.13999  1.34747  2.33532, 2.57506 0.985865  2.58842,0.0516186  0.226835 0.0120402   0.97249
98,  1.25119 -0.460815         2,-4.06011  1.20397  7.73348,-4.04174  1.10872        0,4 0 0,failed,failed,failed
99,   2.1165 -0.385195         2,-3.80893   1.0408  7.26879,-2.76346 0.948268        0,4 0 0,failed,failed,failed
100,  0.928949 -0.0578976          2,-2.16527  1.33415  7.68881,-2.01888  1.75844        0,4 0 0,failed,failed,failed
101,   2.171 0.777152        2,-2.50997 0.409574  6.76772,-1.06871  1.30581        0,4 0 0,failed,failed,failed
102,  2.19771 -0.502915         2,-4.67724  2.07932  7.61183,-3.70477   2.1211        0,4 0 0,failed,failed,failed
103, 1.95948 0.366062        2, -5.2013 0.468382   6.8253,-4.30424 0.930116        0,4 0 0,-2.67438  1.66303  2.58821,2.15133 1.96653 2.89873,0.0848436  0.256897 0.0226467  0.962441
104,0.610575 0.077855        2,-4.10727  1.03805  6.62112,-4.40855  1.34636        0,4 0 0,failed,failed,failed
105, 1.79971 0.440611        2,-2.56284 0.350748  6.61673,-1.47688 0.889041        0,4 0 0,failed,failed,failed
106, 0.751851 -0.652414         2,-3.85377  1.76629  7.21156,-4.12934  1.58477        0,4 0 0,failed,failed,failed
107, 2.00546 0.620144        2,  -3.111 0.964598  6.98932,-1.99331  1.86001        0,4 0 0,failed,failed,failed
108, 1.81644 0.810372        2,-2.75497  1.04347  6.63227,-1.67613  2.13321        0,4 0 0,-1.42839  1.68485  1.99254,3.55437 2.13908 1.82882,0.0635332  0.221155 0.0144397   0.97306
109, 1.24341 0.637076        2,-2.49678 0.600376  7.12071,-2.05275  1.42967        0,4 0 0,failed,failed,failed
110, 1.27274 0.103839        2,-3.85448   1.4403  7.35694,-3.67474  1.95256        0,4 0 0,failed,failed,failed
