number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1,0.925564  1.37103        2,  -2.10831 -0.0241259    7.46583,-1.94031  1.33823        0,    3 -1.67     0,failed,failed,failed
2,1.71436 2.02799       2, -3.10291 -0.587512   8.49315,-2.60609  1.20995        0,    3 -1.67     0,-2.18968  1.28879  1.83194, 2.89175 0.174565  1.36888,0.0686546  0.205667 0.0144656  0.976104
3,3.92024 1.15039       2,-4.14645 0.977717  7.19981,-1.32945  2.38825        0,    3 -1.67     0,failed,failed,failed
4,3.29909 1.87716       2, -5.28022 -0.723677    7.3339,-3.22646 0.982805        0,    3 -1.67     0,-2.29138  1.11096  2.13813, 2.43004 0.716893  2.03161,0.0548469  0.244246 0.0138381  0.968062
5,3.50119 2.20135       2,  -3.5689 -0.638923    6.9871,-1.04511  1.38745        0,    3 -1.67     0,-0.793134   1.43256  0.905755, 4.48731  0.53003 0.739507,0.0731972  0.189332 0.0141547  0.979079
6,4.35152 2.05347       2,-7.10992 -0.37165  7.90915,-4.23596  1.60458        0,    3 -1.67     0,failed,failed,failed
7, 4.3191 1.27321       2,-6.05161 0.161418  8.68145,-3.49694  1.48169        0,    3 -1.67     0,-2.53424  1.45601   2.3119,2.33406 1.36095 1.78472,0.0870965  0.255403 0.0231084  0.962626
8,1.76758 1.71739       2,  -4.80737 -0.0659617    7.22328,-4.23267  1.63506        0,    3 -1.67     0,failed,failed,failed
9,3.75069 1.33701       2, -6.60073 0.0217227    7.2702,-4.07464  1.36276        0,    3 -1.67     0,-2.77049  1.35847   2.3798,2.06314 1.65517 2.61578,  0.07463  0.268543 0.0208733  0.960145
10,1.71779 1.77226       2,  -5.12217 -0.0214901    6.67211,-4.39864   1.7466        0,    3 -1.67     0,failed,failed,failed
11,2.52849  2.1686       2, -3.25713 -0.584325   6.72708,-1.5819  1.4312       0,    3 -1.67     0,failed,failed,failed
12, 2.2987 1.50749       2, -4.81276 -0.473328   6.88022,-3.58104 0.929227        0,    3 -1.67     0,failed,failed,failed
13, 2.10735 0.996482        2, -4.69951 0.0732058   8.21909,-4.08438  1.09293        0,    3 -1.67     0,failed,failed,failed
