number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1,3.88341 1.94691       2,-5.64494 -2.35733  8.27725,-3.26659 -1.03893        0,    3 -1.67     0, -2.33905 -0.651593   2.27264,  1.33826 -0.257886   1.83222, -0.0153305    0.259087 -0.00411291    0.965724
2,3.81832 1.49074       2,-3.76647  -2.8215  7.75968,-1.03172 -2.14248        0,    3 -1.67     0,-0.671588   -1.8727   1.33357, 2.53251 -0.55942 0.435471,-0.0566414   0.216344 -0.0125735   0.974592
3,4.31704 1.78132       2,-4.39143 -3.20244  7.85028,-1.23916 -2.27053        0,    3 -1.67     0,-0.818911  -1.96406   1.38499, 2.36233 -0.59751 0.504336,-0.0657085   0.227346 -0.0153773   0.971473
4,1.96715 1.67172       2,-3.82713  -2.4383  7.39785,-2.8906 -1.4232       0,    3 -1.67     0,-2.29079 -1.04106   1.9183,  1.34314 -0.288894   2.08872,-0.0319724    0.23132 -0.0076064   0.972322
5,1.96605 1.66178       2,-2.07544 -2.06181  8.33484,-0.92169 -1.20699        0,    3 -1.67     0,-0.681041 -0.967919   1.58159, 3.02875 -0.41143 0.375066, -0.0149101    0.181564 -0.00275322    0.983262
6,4.04797 1.19323       2,-4.84045 -2.60796  7.67472,-2.01033 -2.07089        0,    3 -1.67     0,-1.43407 -1.76041  1.63085,  2.09575 -0.407461   1.06215,-0.0480811   0.238209 -0.0118082   0.969951
7, 2.50761 0.948604        2, -4.1034 -1.48761  7.15338, -2.65178 -0.921838         0,    3 -1.67     0, -2.04723 -0.702669   1.77756, 1.88576 -0.34411  1.81082,-0.000886173     0.232766 -0.000212097     0.972532
8,4.17398 1.47128       2,-4.07969 -2.28862  6.72764,-0.788112  -1.31235         0,    3 -1.67     0,-0.518274  -1.16098  0.864686,  3.51423 -0.295727  0.282253,  -0.024996     0.21229 -0.00543204    0.976872
9,0.789526  1.43558        2,-3.83998 -2.44275  7.52556,-4.12098 -1.68817        0,    3 -1.67     0,-3.62105 -1.37015  1.66318, 0.421036 -0.384344   2.85642, -0.0368685    0.251233 -0.00957694    0.967177
10,3.90391 1.37435       2,-4.97607 -2.79835  7.94875,-2.38132 -2.16022        0,    3 -1.67     0,-1.79606 -1.83109  1.64884,  2.16004 -0.603845   1.08818,-0.0520293   0.242854 -0.0130454   0.968579
11,3.86323 2.25632       2,-6.88645  -3.1248  7.91265,-4.34269 -1.46721        0,    3 -1.67     0,-3.31846 -1.00246  2.10005, 0.989444 -0.205447   2.44571,-0.0378368   0.278824 -0.0109947   0.959534
12,0.646785  2.45839        2,-4.04986 -3.95668  7.29011,-4.29448 -2.36918        0,    3 -1.67     0,failed,failed,failed
13,2.75199 1.27123       2,-3.71113 -2.10188  7.36948,-1.99278 -1.41607        0,    3 -1.67     0,  -1.55 -1.1653 1.50865,  2.80306 -0.372556   1.03621, -0.0241917    0.217682 -0.00539723    0.975705
14,2.97034 1.49156       2,-3.21494 -1.86589  6.89003, -1.08995 -0.864956         0,    3 -1.67     0,-0.729796 -0.655931   1.33648,  2.85215 -0.103459  0.901169,-0.00628613    0.200488 -0.00128644    0.979675
15,3.60906 1.89798       2,-5.25507 -2.40712  6.91205, -2.63962 -0.964266         0,    3 -1.67     0, -1.98569 -0.664732   1.57174,  2.25021 -0.276973   1.59097, -0.0195592    0.242957 -0.00489989    0.969827
16,2.63336 1.88911       2,-4.66762 -2.28036  8.60584,-3.53599 -1.12491        0,    3 -1.67     0, -2.70655 -0.719689    2.4394, 0.791378 -0.304947   2.22415,-0.0166251   0.250991 -0.0043114   0.967837
17, 2.0421 2.49736       2,-3.77755 -3.12701  7.68464,-2.77992 -1.49425        0,    3 -1.67     0,-2.20732 -1.02025   1.9322,  1.36993 -0.357857   1.94309,-0.0454269    0.22656 -0.0105788    0.97288
18,1.40908 2.29579       2, -4.0267 -3.57321  7.38747,-3.56936 -2.12196        0,    3 -1.67     0,-3.08426  -1.6915   1.5958, 0.385108 -0.439199   2.70439,-0.0682881   0.242151 -0.0170883   0.967682
19, 1.5664 1.00923       2,-2.88417 -2.61307  6.67924,-2.00497 -2.22644        0,    3 -1.67     0,-1.73392 -1.98087  1.15317,   2.7179 -0.477111   1.35259,-0.0583834   0.203598 -0.0121636   0.977237
20,2.89006 2.01136       2,-2.95138 -3.60255  6.56952,-0.661609  -2.32393         0,    3 -1.67     0,failed,failed,failed
21,3.92024 1.15039       2,-4.14645 -2.02228  7.19981,-1.27014 -1.38103        0,    3 -1.67     0,-0.837573  -1.17007   1.35696,   2.5142 -0.241657  0.790253, -0.0207425    0.220964 -0.00470062     0.97505
22,3.50119 2.20135       2, -3.5689 -3.63892   6.9871,-0.856989  -2.24233         0,    3 -1.67     0,-0.595689  -1.97591  0.976072,  3.33217 -0.551848   0.34524,-0.0779559   0.203724 -0.0162756   0.975784
23,0.865085  2.10212        2,-4.60135  -3.4625  6.55796,-4.49093 -1.92826        0,    3 -1.67     0,failed,failed,failed
24,4.35152 2.05347       2,-7.10992 -3.37165  7.90915,-4.03724 -1.92463        0,    3 -1.67     0,-3.08321 -1.47221  1.95817, 0.996084 -0.496232   2.26203,-0.0515756   0.281117 -0.0151318   0.958167
25, 4.3191 1.27321       2,-6.05161 -2.83858  8.68145, -3.3548 -2.32633        0,    3 -1.67     0,-2.56928 -1.95787  1.98568,  1.47239 -0.842517   1.52385,-0.0522669   0.268871 -0.0146135   0.961646
26,1.76758 1.71739       2,-4.80737 -3.06596  7.22328,-4.06826 -2.00449        0,    3 -1.67     0,failed,failed,failed
27,3.75069 1.33701       2,-6.60073 -2.97828   7.2702, -3.9292 -2.12819        0,    3 -1.67     0,-3.33409 -1.85967  1.29465, 0.778187 -0.651128   2.53458,-0.0517863   0.277718 -0.0149945   0.959149
28,2.22334 1.30786       2,-3.62208 -2.07604  8.19811,-2.61413 -1.46479        0,    3 -1.67     0,-2.06206 -1.14837   2.0295,   1.3753 -0.470963   1.67748, -0.0229741    0.228875 -0.00540316     0.97317
29,1.71779 1.77226       2,-5.12217 -3.02149  6.67211,-4.25511 -1.75105        0,    3 -1.67     0,failed,failed,failed
30,2.52849  2.1686       2,-3.25713 -3.58433  6.72708,-1.40666 -2.16185        0,    3 -1.67     0,-1.14605 -1.87506  1.04678,  3.40983 -0.463517  0.745475,-0.075486  0.200479 -0.015495  0.976663
31,3.84842 1.01485       2,-6.57673 -2.10319  7.57841,-4.00778  -1.4975        0,    3 -1.67     0,-3.06707 -1.19667  1.93609,  1.16162 -0.366968   2.34809, -0.0224924    0.274456 -0.00642159    0.961315
32,2.51686 1.01106       2,-3.32901 -1.67466  8.34248,-2.01799 -1.27019        0,    3 -1.67     0,-1.52184  -1.0206  1.99277,  3.27371 -0.679682  0.533186,-0.00940608    0.217582 -0.00209693    0.975994
33,4.46284 1.69133       2,-7.50373 -2.49739   8.0804, -4.4615 -1.27887        0,    3 -1.67     0, -3.40551 -0.927415   2.05942,  0.42774 -0.746734   2.77994, -0.0213845    0.287573 -0.00642257    0.957498
34, 3.08148 0.918848        2,-3.95254 -2.64533  6.51502,-1.64101 -2.24179        0,    3 -1.67     0,-1.36137 -2.05464 0.923045,  3.28385 -0.482452  0.865818,-0.0578699   0.215849 -0.0128164   0.974626
35,4.06991 2.28171       2,-7.56212 -4.16176  6.88532,-4.19667 -2.26774        0,    3 -1.67     0,-3.60995 -1.94485  1.14267, 1.27951 -0.59159  2.47386,-0.0719018   0.276142 -0.0207213   0.958199
36,4.12445 1.68839       2,-3.83414 -2.48787  7.05755,-0.641357  -1.40401         0,    3 -1.67     0,-0.365165   -1.2248  0.980465,  3.26692 -0.331466   0.20403,-0.0306993    0.20969 -0.0065871   0.977264
37, 2.5606 2.13521       2,-3.27548 -3.43142  7.76555,-1.65286 -2.27885        0,    3 -1.67     0,-1.31476 -1.92466  1.42788, 2.85945 -0.72203 0.737056,-0.0713137   0.208417 -0.0152391   0.975318
38,2.52798 1.08112       2,-4.62262 -2.53671  7.87805,-3.35646 -2.14802        0,    3 -1.67     0,-2.71041 -1.79349  1.88866,  1.37904 -0.652142   1.97065,-0.0477757   0.250116 -0.0123578   0.966958
39,0.500893  1.34939        2, -2.8725 -1.92165  7.63225,-3.30442  -1.1963        0,    3 -1.67     0,failed,failed,failed
40,2.95917 1.05235       2, -3.9869 -2.84053  6.59365,-1.82044 -2.35296        0,    3 -1.67     0,failed,failed,failed
41,0.886407  1.23398        2,-2.10246 -2.66821   8.4237,-2.01537 -2.44863        0,    3 -1.67     0,-1.76288 -2.12819  1.65949,   1.6647 -0.871343   1.33102,-0.0608902    0.19706 -0.0122637   0.978422
42,1.67634 1.42322       2,-3.23193 -2.56689  7.82343,-2.57207 -1.95098        0,    3 -1.67     0,-2.14514  -1.6119  1.72055,  1.47758 -0.647933    1.7542,-0.0460845   0.219539 -0.0103825   0.974459
43, 1.6184 1.44651       2,-2.22125 -2.56286  8.27481,-1.42839 -2.06886        0,    3 -1.67     0,-1.15445 -1.75278   1.6651,  2.69139 -0.684337   0.67232, -0.0497409     0.19239 -0.00976484    0.980009
44,2.97139 2.41147       2,-6.66432 -4.38438   6.8702,-4.45135 -2.47188        0,    3 -1.67     0,-3.99619 -2.17244 0.996166, 0.841742 -0.457869   2.74495,-0.0831919   0.281642 -0.0245192   0.955592
45,4.20126 2.42933       2,-4.20353  -3.6309  6.88966,-0.827167  -1.91409         0,    3 -1.67     0,-0.541628  -1.66745  0.936444,  3.12521 -0.417931  0.335471,-0.0676481   0.213925  -0.014852   0.974392
46,1.66867 1.88329       2, -3.2152 -2.70095  8.34301,-2.65111 -1.74556        0,    3 -1.67     0,-2.16837 -1.34003  2.03749, 1.16349 -0.56581   1.7779, -0.0420151     0.22202 -0.00957633    0.974089
47,3.95015 1.44091       2,-6.70588 -2.65251  7.61597,-4.01205 -1.70853        0,    3 -1.67     0,-3.07887 -1.33942  1.90207,  1.25006 -0.476292   2.22587,-0.0363206   0.277243 -0.0104886   0.960056
48,1.38069 2.22065       2,-2.07342 -3.52447   8.0579,-1.37563 -2.46463        0,    3 -1.67     0,-1.14317 -2.06949  1.55823,   2.7547 -0.785683  0.747469,-0.0799252   0.185977 -0.0151803    0.97918
49,4.26298 2.30316       2,-7.27094 -3.74219  6.85515,-3.77685 -1.83477        0,    3 -1.67     0,-3.15832 -1.51642  1.21163,  1.15364 -0.484985   2.33218, -0.057832   0.276831 -0.0166936   0.959031
50, 1.5242 1.45558       2,-4.22927 -2.15718  7.89061,-3.95583 -1.33957        0,    3 -1.67     0, -3.3124 -1.01138  1.97454, 0.469024 -0.340907   2.71974, -0.0219569    0.252024 -0.00571984    0.967455
51,1.75911 1.49924       2,-2.49623 -1.79596  7.57055, -1.57292 -0.898054         0,    3 -1.67     0, -1.18574 -0.619483   1.86441,   2.24668 -0.0768575    1.29761,-0.00580391    0.194285 -0.00114954    0.980927
52,3.48528 2.36022       2,-4.30871 -3.46026  7.07298,-1.72683 -1.82554        0,    3 -1.67     0,-1.31115 -1.49172  1.28799,  2.85767 -0.342869  0.864427,-0.0605414   0.221204 -0.0137601   0.973249
53,3.84355 1.97328       2,-5.05086 -3.07972  8.22248,-2.57798 -1.94219        0,    3 -1.67     0, -1.9586 -1.56454  1.77238,  1.78096 -0.704325   1.26982, -0.050258   0.246633 -0.0128087    0.96772
54,1.17746 1.16803       2,-4.25326  -2.2999  8.49062,-4.47006 -1.88581        0,    3 -1.67     0,failed,failed,failed
55,3.42469 2.38901       2,-4.88589 -3.78829  7.91351,-2.64723 -2.31886        0,    3 -1.67     0,-2.08258 -1.88106  1.64459, 1.85283 -0.72806  1.41519,-0.0729998   0.240563 -0.0181469   0.967714
56,3.27832 2.13644       2, -3.5957 -3.66462  6.79371, -1.0523 -2.27719        0,    3 -1.67     0,-0.798746  -2.01878  0.941025,  3.43116 -0.538256  0.486171,-0.0795301   0.203781 -0.0166114   0.975639
57,2.66128 2.24543       2,-5.26279 -2.83238  7.66621,-3.83043 -1.24835        0,    3 -1.67     0,  -3.0405 -0.823214   1.98598, 0.880847 -0.280748   2.47825, -0.0317041    0.260053 -0.00854348    0.965036
58,2.96425 1.52922       2,-4.51163 -2.85129   8.0863,-2.83059 -2.13304        0,    3 -1.67     0,-2.27316 -1.78075  1.74063,  1.30706 -0.744916   1.74827,-0.0524158   0.241228 -0.0130491   0.968964
59,2.25031 1.47132       2,-5.21021 -2.31083  6.81393,-3.93265 -1.27094        0,    3 -1.67     0,-3.35115 -1.01303  1.40125, 0.772002 -0.238135   2.67875,  -0.024368    0.269005 -0.00680836    0.962806
60,2.96765 1.13857       2,-4.60411 -1.98443  6.64761,-2.54656 -1.23813        0,    3 -1.67     0,-2.02678 -1.01409  1.36926,  2.4556 -0.34264  1.56453, -0.0190678    0.234527 -0.00460116    0.971912
61,4.20898 1.02748       2,-4.31604 -1.53721   7.5198, -1.29398 -0.932468         0,    3 -1.67     0,-0.822064 -0.764391   1.46298,  2.61556 -0.203028  0.665716,0.00271685    0.22378  0.0006238   0.974636
62,3.33859 1.52046       2,-2.95262 -2.08286   8.0855,-0.648642  -1.29225         0,    3 -1.67     0,-0.380272  -1.10293   1.27796,  3.12864 -0.434608 0.0315929, -0.0160393     0.19897 -0.00325691    0.979869
63,3.21634 1.17307       2,-5.56965 -2.62364  7.61183,-3.59515 -2.03554        0,    3 -1.67     0,-2.83641 -1.67813  1.84116,  1.29764 -0.572341   2.16596,-0.0454263   0.259618 -0.0122267   0.964565
64,1.57442 2.14947       2,-2.05984 -2.55251  7.82745, -1.1963 -1.28395        0,    3 -1.67     0,-0.954482 -0.984295   1.53501,  3.41101 -0.423059  0.554318,-0.0298759   0.181207 -0.0055075   0.982976
65,0.962983  1.26325        2,-2.21734 -2.00303   6.9213,-1.89351 -1.31715        0,    3 -1.67     0,-1.60004 -1.05205  1.53332,  2.27479 -0.440955   1.61527, -0.0239024    0.190773 -0.00464668    0.981332
66,2.90874 2.28276       2,-3.48133  -3.8976  6.98932,-1.31824 -2.44965        0,    3 -1.67     0,-1.01749 -2.11293  1.15755,  3.01117 -0.524261  0.750242,-0.0877404     0.2042 -0.0183795   0.974816
67,2.60631 2.47073       2,-3.00663 -3.80747  6.63227,-1.01013 -2.10898        0,    3 -1.67     0,-0.764039  -1.79734   1.03289,  3.19648 -0.343433  0.695764,-0.0802129   0.192533  -0.015793   0.977879
68,1.73639  1.7726       2,-4.47264 -3.35394  7.35694, -3.7527 -2.34356        0,    3 -1.67     0,failed,failed,failed
69,4.45587 1.87968       2,-4.36612 -3.39084  7.76342,-1.03569 -2.38521        0,    3 -1.67     0,-0.641021   -2.0787   1.29289,  2.35535 -0.623485  0.428093,  -0.07324   0.225258 -0.0169837   0.971394
70,4.12434 2.31226       2,-3.99165 -2.64469  7.40014,-0.909579  -1.02299         0,    3 -1.67     0,-0.600065 -0.817917   1.06853,  3.55797 -0.331091  0.129224,-0.0214993   0.211607  -0.004656   0.977107
71, 1.9775 1.47706       2,-3.05749 -2.28677  7.24721,-1.95339 -1.46295        0,    3 -1.67     0,-1.57507 -1.17999  1.51953,  2.72084 -0.388318   1.20466,-0.0307439   0.205948 -0.0064737   0.978058
72,1.60909 2.17511       2,-4.05142 -2.81499  7.45656,-3.48996 -1.36778        0,    3 -1.67     0, -2.86869 -0.936116   1.91866, 0.684333 -0.117154   2.57282,  -0.037229     0.24161 -0.00927678    0.969615
73,3.92368 1.94197       2,-5.13968 -2.17452   8.3176, -2.70221 -0.861346         0,    3 -1.67     0, -1.93858 -0.538266     2.083,  1.59458 -0.310995     1.489,-0.00727306    0.246915 -0.00185326    0.969008
74,4.18169 2.35584       2,-3.85259 -3.44793  7.65594,-0.682321  -1.99728         0,    3 -1.67     0,-0.420136  -1.76264    1.0129,    3.13998   -0.674659 0.000840375,-0.0642292   0.213336 -0.0140571   0.974764
75,1.51756 1.56978       2,-2.05034 -2.11436  7.36234,-1.19667  -1.2292        0,    3 -1.67     0,-0.904631 -0.928041   1.70018,   2.4165 -0.112348   1.13601, -0.0220051    0.181855 -0.00407066    0.983071
76,2.20512 1.40794       2, -4.5136 -2.31957  6.75604,-3.22767   -1.384        0,    3 -1.67     0, -2.7067 -1.11627  1.41409,  1.05231 -0.285164    2.3828, -0.0288455    0.247528 -0.00737287    0.968423
77,4.49474 1.12301       2, -6.1467 -2.47588  7.45238,-2.85935  -1.8392        0,    3 -1.67     0,-2.18516 -1.56764  1.53062,  2.07415 -0.574581   1.41504, -0.0373213    0.258229 -0.00998377    0.965311
78,4.49135 2.33403       2, -5.9794 -3.80074  7.62845,-2.63087 -2.19313        0,    3 -1.67     0,-1.98881 -1.78501  1.55247,  2.17633 -0.589911   1.22368,-0.0685837   0.251523 -0.0178713   0.965253
79,0.783239  1.74576        2,-3.95975  -3.3215  7.55606,-4.19887 -2.43331        0,    3 -1.67     0,failed,failed,failed
80,3.02701 1.55236       2,-4.98684 -2.55701  6.54004,-2.80155 -1.43624        0,    3 -1.67     0,-2.30493  -1.1816  1.24398,  2.11926 -0.407243   1.76124,  -0.034481    0.242566 -0.00862718    0.969484
81,4.11681 2.37993       2,-4.23249 -3.48642  7.46395,-1.12254 -1.93587        0,    3 -1.67     0,-0.742303  -1.62266   1.26682,  2.68242 -0.463305  0.476187,-0.0631232    0.21977 -0.0142517   0.973403
82,1.02624  1.0141       2,-2.42752 -1.93172  7.33529,-2.16899 -1.52853        0,    3 -1.67     0, -1.8571 -1.28034  1.56569,  2.09841 -0.526357   1.57479, -0.0257668    0.200314 -0.00527012    0.979379
83,2.52023 2.27736       2,-5.43509 -3.54187    7.948,-4.17884 -2.08821        0,    3 -1.67     0,-3.48067 -1.63323  1.82674,0.463849 -0.40352  2.73187,-0.0606706   0.262192 -0.0165191   0.962965
84,4.00741 2.23284       2,-6.77339 -3.13952  7.31872,-3.84323 -1.40599        0,    3 -1.67     0,-3.03828  -1.0329  1.64228, 1.25024 -0.36589  2.25533,-0.0383414   0.272381 -0.0108632   0.961364
85, 2.7942 2.25655       2,-5.35479 -3.79427  6.89457,-3.43147  -2.1548        0,    3 -1.67     0,-2.96179   -1.822  1.18274,0.958922 -0.63085  2.40918,-0.0708429   0.255413 -0.0187689   0.964051
