number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1,  3.56034 -0.606722         2,-5.52836  2.28716  7.65755,-3.25832  2.21426        0,4 0 0,-2.55349  1.92266  1.73402,  1.37733 0.0786654   2.48222, 0.091396  0.267425 0.0254893  0.958896
2,   3.1226 -0.177229         2,-6.34064  2.24241  6.66794,-4.10717  2.37963        0,4 0 0,failed,failed,failed
3,  4.04036 -0.592443         2,-3.67986  1.55521  6.88189,-0.563987   1.35347         0,4 0 0,-0.18151  1.19183  1.27653, 3.55396  0.15186 0.897454,0.0667267  0.211637 0.0144846   0.97496
4,  3.52506 -0.259135         2,-4.72226   1.6436  7.27355,-2.35065  1.78593        0,4 0 0,-1.6768 1.55139 1.77071, 2.07809 0.414811  2.05224,0.0728842  0.247277 0.0186565   0.96602
5, 3.99336 0.612888        2,-4.24223  1.33306  7.14631,-1.32977  2.28561        0,4 0 0,-0.922571   2.15765   1.24413, 3.56631 0.492835  1.15567,0.0793197  0.223572  0.018258  0.971283
6,   3.5595 -0.700695         2,-3.16362  1.30212  8.05639,-0.725031   1.06278         0,4 0 0,-0.287421  0.882667   1.81712, 2.87721 0.195934 0.878315,0.0549793  0.212304 0.0119644  0.975583
7, 3.76799 0.188422        2,-5.28592 0.796189  7.85807,-2.94933  1.20022        0,4 0 0,-2.07064  1.06786  2.14692, 1.68585 0.237605  2.22858,0.0417558  0.262028 0.0113487   0.96409
8,      3.2612 -0.000194814            2,-3.81484  1.81809  7.99348,-1.77483   2.3999        0,4 0 0,-1.35592  2.20025  1.52618, 2.72204 0.701183  1.49337,0.0919261  0.225999 0.0214278  0.969544
9,  4.3547 0.202199        2,-5.58539 0.648082  8.37188,-2.84858  1.03801        0,4 0 0,-1.91852  0.93009  2.30686, 1.94335 0.265582  1.84846, 0.0354188   0.265054 0.00974317   0.963534
10,  3.64822 -0.718619         2,-5.8452  2.0739  8.0699,-3.66289  1.87539        0,4 0 0,-2.86589  1.59261  1.92443,  1.13123 0.0786475   2.63991,0.0780715  0.274721 0.0223861  0.958088
11,  4.24437 -0.181424         2,-3.76647  1.90619  7.75968,-0.676831   2.30916         0,4 0 0,-0.335512   2.13642   1.24942, 4.11309 0.643229 0.539281,0.0956804  0.211822 0.0208427   0.97239
12, 3.97014 0.800975        2,-6.54272 0.581387   8.4926,-4.28562  1.53458        0,4 0 0,-3.52206  1.46673  1.78257,  1.54316 0.0964008   2.46652, 0.042267  0.284053 0.0125351  0.957794
13, 4.45399 0.413524        2,-6.29615 0.524558  8.45427,-3.52982  1.07869        0,4 0 0,-2.45854 0.989435  2.40268, 1.48594 0.424976  2.30062, 0.0329549   0.278839 0.00957475   0.959724
14, 4.43139 0.112657        2,-4.39143  1.57286  7.85028,-1.26106   2.1515        0,4 0 0,-0.775169   1.97747    1.5077, 3.39648 0.497577 0.907513,0.0823412  0.228168 0.0193699   0.96994
15, 4.39914 0.184873        2,-3.85986 0.633295  8.11479,-0.773273   1.03352         0,4 0 0,-0.412061  0.974256   1.33775, 3.68061  0.36492 0.348718, 0.0397754   0.223647 0.00913484   0.973815
16,  4.33049 -0.482515         2,-4.84045  2.09304  7.67472,-1.77659  2.15822        0,4 0 0,-1.25272   1.9317  1.47935, 3.47792 0.647426  1.08455,0.0888751  0.236292 0.0217089  0.967366
17,  3.81446 -0.107858         2,-5.99803 0.980165  7.59864,-3.53681  1.09345        0,4 0 0,-2.55389 0.932824  2.11568,  1.6616 0.223251  2.45367,0.0416568   0.27555  0.011953  0.960309
18,4.04634  0.7456       2,-4.40453   0.3221  6.69737,-1.33487  1.13913        0,4 0 0,-0.971389   1.11254   1.04836, 4.39343 0.361856 0.776158, 0.0320649      0.226 0.00744339   0.973571
19,  4.27647 -0.299207         2,-4.97607  1.92644  7.94875,-2.07016  2.15784        0,4 0 0,-1.52332  1.94613  1.56275, 2.68358 0.694728  1.45872, 0.085729  0.244401 0.0216979  0.965634
20,3.05504 0.79789       2,-4.04986 0.912909  7.29011,-2.11796  1.96398        0,4 0 0,-1.70384  1.87063  1.30615, 2.44881 0.716913  1.82087,0.0636203  0.236426 0.0155157   0.96944
21, 3.74752 0.623635        2,-3.99261 0.546513  7.61161,-1.45654  1.33597        0,4 0 0,-0.980638   1.27083   1.54457,  3.5568 0.315404  0.94961, 0.0425114   0.226447 0.00989326   0.973045
22,  3.26093 -0.251681         2,-3.13528  1.04616  7.00083,-0.76389   1.0913        0,4 0 0,-0.385938  0.965183   1.44368, 3.52614 0.110771  1.03162,0.0497152   0.20671 0.0105177  0.977082
23, 3.34059 0.447997        2,-6.06141    1.173  7.87266,-4.18068  1.90351        0,4 0 0,-3.72651  1.81562  1.13019, 1.13651 0.101933  2.86494,0.0618853  0.283433 0.0183319  0.956818
24,  3.5003 0.347854        2,-5.83636   1.5351  7.57241,-3.6467 2.22768       0,4 0 0,-2.97954   2.0522  1.58968, 1.18047 0.516615  2.81402,0.0771957  0.276823 0.0223168  0.957555
25,  3.72963 -0.788419         2,-5.90662   1.9141  7.40924,-3.41656  1.52737        0,4 0 0, -2.605 1.26438 1.79566,  1.32733 0.0641806   2.63722,0.0679045  0.270397  0.019123  0.960161
26, 3.73424 0.107183        2,-6.78189 0.935558  6.61217,-3.94007  1.16585        0,4 0 0,-3.3229 1.08071   1.213,  1.4534 0.118896  2.73093,0.0429392  0.296206 0.0133312  0.954065
27,  3.94038 -0.662362         2,-5.80258    1.239  7.52971,-3.17087 0.856069        0,4 0 0,-2.18352 0.645246  2.16293,  1.79982 0.0547458   2.30142,0.041894 0.268793 0.011703 0.962215
28, 3.34091 0.633332        2,-4.0267 1.24844 7.38747,-1.81287  2.23122        0,4 0 0,-1.43765  2.11488  1.24408, 2.89728 0.802081  1.51794,0.0772917  0.231734  0.018474  0.969528
29, 4.14441 0.136055        2,-3.98522  1.09979  7.77798,-1.07309  1.57591        0,4 0 0,-0.616839      1.45    1.5425, 3.42669 0.358048 0.812999,0.0609749  0.223826  0.014032  0.972619
30,   3.61757 -0.0669904          2,-6.68101  1.05418    6.699,-4.00981  1.13651        0,4 0 0,-3.34629  1.03181  1.29918,   1.359 0.126874  2.80452,0.0444822  0.295694 0.0137852  0.954147
31, 3.45538 0.362306        2,-3.10291  1.23593  8.49315,-0.846609   2.07584         0,4 0 0,-0.471587   1.92646   1.67873, 3.25717 0.554469 0.753562,0.0785279  0.209829 0.0169098  0.974433
32, 4.04966 0.209656        2,-5.28022  1.11678   7.3339,-2.46446  1.58741        0,4 0 0,-1.67028  1.41944  1.88143, 2.16211 0.376348  1.98709,0.0570025  0.255129 0.0150688  0.965108
33,   3.9273 -0.205232         2,-4.9245 1.14406 6.56856,-1.93843  1.15749        0,4 0 0,-1.35013  1.02082  1.41453,  3.0944 0.424234  1.56994,0.0487613  0.242311 0.0121947  0.968896
34,3.44284 0.41026       2,-3.14667 0.346905  6.79565,-0.569157  0.852563         0,4 0 0,-0.221934  0.814284   1.28297, 3.65164 0.105701 0.929731, 0.0288389   0.205899 0.00607066   0.978129
35,  3.49242 -0.756934         2,-4.65964  1.40368  7.02033,-2.24375 0.971034        0,4 0 0,-1.51927 0.752791   1.8384, 2.3882 0.23369 1.93562, 0.050179  0.244642 0.0126787  0.968231
36,  3.39174 -0.123664         2,-3.81627  1.23289  7.78867,-1.63052  1.49883        0,4 0 0,-1.17116  1.35043  1.58774, 3.34925 0.482433  1.10966,0.0597078  0.224911 0.0138094   0.97245
37, 3.13691 0.437326        2,-4.60135  1.34532  6.55796,-2.38139  2.05073        0,4 0 0,-1.96088  1.92779  1.12121, 1.88757 0.533391  2.26567,0.0749817  0.251767 0.0195691   0.96468
38,  3.89046 -0.823044         2,-6.44635  2.35063  7.55786,-3.81973  1.98844        0,4 0 0,-3.04044  1.70428   1.6718,1.04916 0.21763 2.87483,0.0840725  0.280648 0.0246858  0.955803
39,4.44432 0.38809       2,-7.10992  1.42481  7.90915,-4.09631  2.09961        0,4 0 0,-3.22853  1.92571  1.79381, 1.40257 0.604166  2.64893,  0.07013  0.293743 0.0216147  0.953063
40, 3.99526 -0.26331        2,-4.48074  1.22213  8.36107,-1.95598   1.3599        0,4 0 0,-1.33842  1.19146  1.91918, 2.44401 0.418814  1.33083,0.0559704  0.242859 0.0140373  0.968344
41,  3.43314 -0.829689         2,-5.14808    1.901  7.76559,-3.04862   1.5638        0,4 0 0,-2.20691  1.25298  2.11028,1.61343  0.2463  2.3538, 0.070465  0.259758 0.0190089  0.962912
42,  4.43216 -0.401573         2,-6.05161  1.89124  8.68145,-3.31087  2.01827        0,4 0 0,-2.34857  1.71753  2.33879, 1.43226 0.408913  2.26586, 0.077601  0.271054 0.0219292   0.95918
43,  3.47534 0.0479622         2,-4.80737  1.69228  7.22328,-2.46656  2.13962        0,4 0 0,-1.92423  1.94871  1.46888, 1.91922 0.554858  2.15876,0.0819623  0.251091  0.021343  0.964251
44, 3.55864 0.175059        2,-5.80836 0.966128  7.31567,-3.50108  1.34933        0,4 0 0,-2.68881  1.21422  1.78557, 1.48366 0.283095   2.5722,0.0477028  0.276148 0.0137243  0.959832
45,4.21901  -0.337       2,-6.60073  1.76901   7.2702,-3.55931   1.7476        0,4 0 0,-2.76627  1.53507  1.61403, 1.83509 0.252667  2.37779,0.0685769  0.278098 0.0199094  0.957895
46, 3.33843 0.390678        2,-2.91328 0.469986   7.5634,-0.561951   1.01991         0,4 0 0,-0.250096    0.9696   1.36538, 4.15898 0.248668 0.496479, 0.0360172   0.202272 0.00744428   0.978639
47, 3.45667 0.103494        2,-5.12217   1.7312  6.67211,-2.61497  2.15559        0,4 0 0,-2.23716   2.0279 0.977471,1.81465 0.62535 2.33972, 0.083306  0.259121 0.0224394  0.961984
48,  3.67451 -0.164467         2,-4.81276  1.33584  6.88022,-2.18118  1.46085        0,4 0 0,-1.62128  1.30544  1.42932, 2.76263 0.489788  1.70322,0.0593679  0.245326 0.0150537  0.967504
49,  3.35955 -0.183263         2,-5.33088  2.18573  6.88892,-2.98335   2.4174        0,4 0 0,-2.5377 2.23468   1.111, 1.47756 0.610485  2.60354,0.0972227  0.266444 0.0270244  0.958554
50,  3.93278 0.0837416         2,-6.75631  1.28689  7.58496,-4.14322    1.622        0,4 0 0,-3.23681  1.44935  1.84634, 1.28388 0.284097  2.83441,0.0566832  0.287377 0.0170394  0.955987
51,  3.61214 -0.471779         2,-5.97919   1.2982  7.40067,-3.63938  1.10266        0,4 0 0, -2.8333 0.927649  1.75993,  1.30751 0.0793299   2.66299,0.0479426  0.278129 0.0139008  0.959246
52,  3.60276 -0.681632         2,-4.69951  1.81406  8.21909,-2.5228 1.68289       0,4 0 0,-1.77227  1.39318  2.16157, 1.89647 0.427759  1.92497,0.0731432  0.250116 0.0189526  0.965263
53,  3.3153 0.796136        2,-3.39123 0.623254  7.34791,-1.11083  1.60959        0,4 0 0,-0.732097   1.53998   1.40756, 3.77999 0.348929  0.94778,0.0513906  0.212671 0.0112014  0.975707
54,  4.42311 -0.776876         2,-4.6082 1.56078 8.26739,-1.63187  1.27392        0,4 0 0,-0.997623    1.0591   1.90972,  2.6793 0.299146  1.09385,0.0608378  0.240465 0.0151032  0.968632
