number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1,2.53168  -0.337       2, -4.30037 0.0217227    7.2702, -2.92897 -0.309417         0,4 0 0,-0.465465   0.61331   1.18142, 4.33877 0.178785  0.56098, 0.0277695   0.193547 0.00548057   0.980683
2, 1.76781 0.504609        2, -2.62857 -0.584325   6.72708, -1.60647 -0.245488         0,4 0 0,failed,failed,failed
3,  1.62419 -0.164467         2, -3.40638 -0.473328   6.88022, -2.70794 -0.766431         0,4 0 0,failed,failed,failed
4,  2.59276 -0.663043         2,-4.28836 0.896812  7.57841,-2.92448 0.490761        0,4 0 0,failed,failed,failed
5,  1.60357 -0.247979         2, -2.62637 -0.275136   6.97739, -1.82182 -0.606819         0,4 0 0,failed,failed,failed
6,  2.11343 -0.760202         2,-2.97627 0.354674  6.51502,-1.63057 -0.31404        0,4 0 0,failed,failed,failed
7,  2.76528 0.0186075         2,-2.91707 0.512134  7.05755,-1.02627 0.684269        0,4 0 0, -1.21524 -0.363533   1.50623, 3.76681 -0.17559  1.48874, 0.00112717    0.210024 0.000242133    0.977695
8, 1.78788 0.470817        2, -2.63774 -0.431419   7.76555, -1.80536 -0.116879         0,4 0 0,-0.716656  0.629912   1.29675, 4.47836 0.231761 0.738981, 0.0273768   0.203732 0.00569932   0.978627
9,  1.76749 -0.595972         2,-3.31131 0.463288  7.87805,-2.68685 0.027238        0,4 0 0,  -1.41032 -0.0522689    1.83379,    3.4867 0.00363969    1.26925, -0.0118656    0.209343 -0.00254046    0.977767
10,  2.03698 -0.625096         2,-2.99345 0.159472  6.59365, -1.74508 -0.423611         0,4 0 0,  -2.06687 -0.0595041    2.26535,   2.68657 -0.0768058    1.91051, 0.0101624   0.228967 0.00239049   0.973378
11, 0.741505 -0.441275         2,-2.05123  0.33179   8.4237, -2.17933 0.0311755         0,4 0 0, -1.22065 -0.451549   1.83554,  3.90878 -0.371736   1.55862,-0.00558577    0.211596 -0.00120933     0.97734
12,  1.23521 -0.249749         2,-2.61596 0.433112  7.82343,-2.34322 0.342714        0,4 0 0,failed,failed,failed
13,    1.199 -0.226182         2,-2.11062 0.437138  8.27481,-1.78329 0.391488        0,4 0 0,failed,failed,failed
14, 2.81329 0.768476        2, -3.10177 -0.630899   6.88966,  -1.15731 -0.0391424          0,4 0 0,-1.46239 0.325025  1.93747,  3.31608 0.0534116   1.23312,  0.018353   0.201556 0.00377735   0.979298
15, 1.23042 0.215864        2, -2.6076 0.299054  8.34301,-2.42948 0.635601        0,4 0 0,-0.797685 0.0340051    1.3742,     4.06235 -0.000244072     0.972696, -0.0148676    0.208742 -0.00317378    0.977853
16,  2.65634 -0.231854         2,-4.35294 0.347494  7.61597,-2.96885 0.217205        0,4 0 0,failed,failed,failed
17, 1.05043 0.557283        2, -2.03671 -0.524469    8.0579, -1.80269 -0.177419         0,4 0 0,-2.31502  0.16501  1.87415,  3.16924 0.0252678   1.65813, 0.0113577   0.242472 0.00283884   0.970088
18, 1.57921 0.012589        2,  -2.2039 -0.389842   7.86837,-1.47426 -0.52753        0,4 0 0,failed,failed,failed
19, 2.85186 0.640789        2, -4.63547 -0.742194   6.85515, -2.81939 -0.267247         0,4 0 0, -1.14867 -0.469938   1.79597,  3.55338 -0.101164   1.14786, -0.0208916    0.199233 -0.00424847     0.97972
20,1.53622 0.79612       2,-3.12994   -1.233  7.21631, -2.53444 -0.807457         0,4 0 0,failed,failed,failed
21,  2.3658 0.698536        2,-3.15436 -0.46026  7.07298, -1.7214 0.102163        0,4 0 0,failed,failed,failed
22, 2.58972 0.306935        2,  -3.52543 -0.0797207    8.22248, -2.2134 0.198322        0,4 0 0,-1.27544 0.167234  1.62894,  3.74699 0.0760761   1.29345,-0.00770785    0.214616 -0.00169375    0.976667
23, 2.32793 0.727678        2, -3.44295 -0.788288   7.91351,  -2.2905 -0.329747         0,4 0 0,-1.70134 0.209901  1.91482,  3.18356 0.0492837   1.22504, 0.00297226    0.228858 0.000698773    0.973455
24, 2.23645 0.472061        2, -2.79785 -0.664622   6.79371, -1.35546 -0.381189         0,4 0 0, -1.78674 -0.214408   1.87247,   3.24338 -0.0187438    1.37163, -0.0232763    0.226234 -0.00540769     0.97378
25, 2.25155 0.409406        2, -2.59941 -0.874572   6.70661, -1.07377 -0.709401         0,4 0 0, -1.04254 -0.306854   1.29489,    4.47962 -0.00523937    0.981421,  -0.023363       0.203 -0.00484498    0.978888
26,  1.8508 0.582359        2,-3.6314 0.16762 7.66621,-2.94767  0.80385        0,4 0 0,-0.806819 -0.619586   1.20811,   4.38912 -0.0108994   0.973704,-0.0361322   0.197176 -0.0072722   0.979675
