number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1,2.53168  -0.337       2, -4.30037 0.0217227    7.2702, -2.92897 -0.309417         0,4 0 0,-0.400507  0.599277   1.46784, 4.24115 0.146672 0.651395, 0.0278582   0.193711 0.00550294   0.980648
2, 1.76781 0.504609        2, -2.62857 -0.584325   6.72708, -1.60647 -0.245488         0,4 0 0, -2.16474 -0.313277   2.06789,  1.63498 0.0298272   2.46203,-0.00644535    0.254075  -0.0016932    0.967162
3,  1.62419 -0.164467         2, -3.40638 -0.473328   6.88022, -2.70794 -0.766431         0,4 0 0, -1.15383 -0.144865   1.82933,    2.3322 -0.0854803    2.01144, -0.0194723    0.213539 -0.00425716    0.976731
4,  2.59276 -0.663043         2,-4.28836 0.896812  7.57841,-2.92448 0.490761        0,4 0 0, -2.25435 -0.703403   1.53172,0.903982 0.117652  2.78951, -0.0281816    0.244015 -0.00709426    0.969336
5,  1.60357 -0.247979         2, -2.62637 -0.275136   6.97739, -1.82182 -0.606819         0,4 0 0,  -2.139 0.326495  2.21189,  1.53382 -0.010808   2.45541, 0.0292506   0.252424 0.00763438   0.967144
6,  2.11343 -0.760202         2,-2.97627 0.354674  6.51502,-1.63057 -0.31404        0,4 0 0,-1.36153  -0.5586  1.91457,  2.10216 -0.270827   2.11987, -0.0206262    0.216813 -0.00458207    0.975984
7,  2.76528 0.0186075         2,-2.91707 0.512134  7.05755,-1.02627 0.684269        0,4 0 0, -1.20585 -0.364652   1.53423,   2.21045 -0.0319135    2.01903,0.000849461     0.21939 0.000191017    0.975637
8, 1.78788 0.470817        2, -2.63774 -0.431419   7.76555, -1.80536 -0.116879         0,4 0 0,-0.705946  0.628032   1.33376, 4.39407 0.163241 0.784671, 0.0273623   0.203572 0.00569166   0.978661
9,  1.76749 -0.595972         2,-3.31131 0.463288  7.87805,-2.68685 0.027238        0,4 0 0,   -1.3363 -0.0401625    2.10477,    2.20616 -0.00896792     1.83309, -0.0121454    0.214487 -0.00266731    0.976648
10,  2.03698 -0.625096         2,-2.99345 0.159472  6.59365, -1.74508 -0.423611         0,4 0 0,  -2.05855 -0.0606681     2.2888, 2.12722 0.037636  2.13721, 0.0102438    0.23249 0.00244881   0.972542
11, 0.741505 -0.441275         2,-2.05123  0.33179   8.4237, -2.17933 0.0311755         0,4 0 0, -1.25101 -0.449932   1.75057, 2.00109 -0.18255  2.18982,-0.00618535    0.221868 -0.00140744    0.975056
12,  1.23521 -0.249749         2,-2.61596 0.433112  7.82343,-2.34322 0.342714        0,4 0 0,   -1.7605 -0.0365711    2.49285,  1.31048 0.0199856   2.24999,0.00784459   0.211556 0.00169806   0.977333
13,    1.199 -0.226182         2,-2.11062 0.437138  8.27481,-1.78329 0.391488        0,4 0 0,-1.87157 0.264626  2.13102, 1.56433 0.290485  2.28956, 0.0172702   0.221543 0.00392424    0.97499
14, 2.81329 0.768476        2, -3.10177 -0.630899   6.88966,  -1.15731 -0.0391424          0,4 0 0,-1.38668 0.309345  2.29609,1.75155 0.11429 1.91528, 0.0189002   0.207319 0.00400618   0.978083
15, 1.23042 0.215864        2, -2.6076 0.299054  8.34301,-2.42948 0.635601        0,4 0 0,-0.763019 0.0410561   1.48214,  3.31227 0.0255902   1.27535, -0.0150244    0.211502 -0.00325164    0.977257
16,  2.65634 -0.231854         2,-4.35294 0.347494  7.61597,-2.96885 0.217205        0,4 0 0,-1.93245   0.5786  2.34705, 1.67023 0.266472  2.16704, 0.0208645   0.220425 0.00471618   0.975169
17, 1.05043 0.557283        2, -2.03671 -0.524469    8.0579, -1.80269 -0.177419         0,4 0 0,failed,failed,failed
18, 1.57921 0.012589        2,  -2.2039 -0.389842   7.86837,-1.47426 -0.52753        0,4 0 0,  -1.42732 -0.0807574    2.20374,   1.81426 -0.0150992    1.97288, -0.0156823    0.204943 -0.00328412    0.978643
19, 2.85186 0.640789        2, -4.63547 -0.742194   6.85515, -2.81939 -0.267247         0,4 0 0,  -1.1491 -0.470013   1.79403,  3.40886 -0.168202    1.1764,-0.0210522   0.200889 -0.0043182   0.979378
20,1.53622 0.79612       2,-3.12994   -1.233  7.21631, -2.53444 -0.807457         0,4 0 0, -2.12594 -0.156217   1.75675,   1.60124 0.00884773    2.47329, -0.0214243    0.257306 -0.00570618    0.966076
21,  2.3658 0.698536        2,-3.15436 -0.46026  7.07298, -1.7214 0.102163        0,4 0 0,  -1.9662 -0.583605   2.03301,  1.16085 0.0230489   2.63904,-0.0458071   0.235632 -0.0111194   0.970698
