number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1,   1.4325 -0.700695         2,-2.87271  1.30212  8.05639,-2.49126  1.07784        0,4 0 0,-2.15663  2.17426  1.29744,  1.4122 0.496041  2.54429,0.0805295  0.238541 0.0198532  0.967584
2, 1.77998 0.188422        2,-4.46444 0.796189  7.85807,-4.02595  1.22385        0,4 0 0,-1.95574 0.835101   2.2716, 1.34506 0.124788  2.36956,0.0521656  0.227303 0.0121946  0.972349
3,  2.5451 0.699679        2, -2.881 1.17908 7.38609,-1.26153  2.25759        0,4 0 0,-3.35658  1.10448  1.94632,0.768419 0.378549  3.10585,0.0428135  0.271164 0.0120743  0.961505
4,    0.935332 -0.000194814            2,-3.36113  1.81809  7.99348,-3.55651  2.42952        0,4 0 0,-0.979191   2.14204   1.23964, 3.38318 0.606283   1.3253,0.0778275  0.204039 0.0162749  0.975728
5, 2.75783 0.202199        2,-4.68904 0.648082  8.37188,-3.45514   1.0609        0,4 0 0,-3.2768 2.27821 1.18425, 1.21498 0.504556  2.72613,0.0952731  0.260471 0.0258385  0.960422
6, 0.527279 -0.623093         2,-2.13986  2.22153  8.40786,-2.44855  2.46632        0,4 0 0,-2.63815 0.947987   2.3279, 1.16592 0.346315  2.60875,0.0356241    0.2607 0.0096269  0.964714
7, 0.86157 0.458419        2,  -2.133 0.424616  7.92657,-2.10165  1.04831        0,4 0 0,-2.13073  2.13636  1.96078,0.888753 0.591639  2.53615, 0.105196   0.21908 0.0237657  0.969728
8,  2.57395 -0.181424         2,-3.32485  1.90619  7.75968,-1.81288  2.33361        0,4 0 0,-1.69993 0.968337  2.21889, 1.33222 0.204826  2.34938, 0.0341525   0.211488 0.00739472   0.976756
9, 2.70175 0.014798        2,-2.84791 0.814381   7.0909,-1.00745  1.07547        0,4 0 0,-1.47198  2.13817  1.39156, 2.47881 0.794724  1.72126,0.0934678  0.221074 0.0212906  0.970534
10, 2.92332 0.413524        2,-5.22211 0.524558  8.45427,-3.9125 1.10018       0,4 0 0,-0.705748  0.989199   1.29834, 4.43734 0.255599 0.783819, 0.0431454   0.201472 0.00888356   0.978503
11, 2.88565 0.112657        2,-3.79357  1.57286  7.85028, -2.113 2.18516       0,4 0 0,-3.52175  1.06093  1.19427, 1.57927 0.128847  2.35844, 0.0334929   0.271026 0.00943658   0.961943
12, 1.11241 0.268006        2,-2.51489 0.824368  7.87927,-2.33322  1.39746        0,4 0 0,-1.62592  1.98321  1.67792, 2.06152 0.688055  1.91719,0.0826408  0.233646 0.0199347  0.968598
13,  2.25489 -0.475054         2,-2.42319  1.22699  6.80102,-0.867293   1.10587         0,4 0 0,-1.93074  1.26554  1.96581,  1.27979 0.0629587   2.36676,0.0504114  0.220491 0.0114118  0.974019
14,  2.8319 0.184873        2, -3.3949 0.633295  8.11479,-1.77854  1.04492        0,4 0 0,-0.615738  0.978496   1.22375, 4.45503 0.206019 0.905625,0.0537581  0.191784 0.0105213  0.979907
15,  2.71748 -0.482515         2,-4.13034  2.09304  7.67472,-2.59271  2.20841        0,4 0 0,-1.25855 0.947918  1.97516, 2.51635 0.314443  1.45745,0.0379032  0.225414 0.0087766  0.973486
16,  1.85743 -0.107858         2,-4.99852 0.980165  7.59864,-4.45532  1.13002        0,4 0 0,-2.02857  1.92253  1.76489,1.59406 0.46678 2.32197,0.0916232  0.243198 0.0230821  0.965364
17,  1.56471 0.0971163         2,-3.96016 0.580727  7.32478, -3.5228 0.843159        0,4 0 0,-4.0191 1.04448 1.22184,  0.851214 0.00594915    3.15691,0.0439544  0.286013 0.0131346  0.957127
18,   1.99549 -0.0218104          2,-2.52559 0.817837   8.0629,-1.50104  1.11043        0,4 0 0,-3.14625 0.787942  1.23349,  0.785131 -0.0394246    2.93693,  0.031331   0.263442 0.00856099   0.964128
19,2.24391  0.7456       2,-3.8034  0.3221 6.69737,-2.4856 1.14613       0,4 0 0,-1.12254  0.98787  1.87783,2.54703 0.39841 1.47563,  0.044146   0.207826 0.00938949   0.977124
20,  2.62745 -0.299207         2,-4.23205  1.92644  7.94875,-2.87847   2.2071        0,4 0 0,-1.91484  1.09779  1.67944,  1.47186 0.0710122   2.54899, 0.0331896   0.244102 0.00835956   0.969145
21, 2.21096 0.684117        2,-2.10439 0.213345  6.61641,-0.507327    0.9597         0,4 0 0,-2.2825 1.93582 1.88468, 1.40479 0.378269  2.42213,0.0876147  0.248882 0.0226131  0.964298
22,0.59174 0.79789       2,-3.53739 0.912909  7.29011,-3.98345  1.97863        0,4 0 0,-0.266078  0.935242   1.28647,  3.70373 0.0873133   1.14326, 0.0287748   0.186434 0.00546277   0.982031
23, 1.74587 0.623635        2,-3.49446 0.546513  7.61161,-2.87533  1.34636        0,4 0 0,-3.64194  1.89049   1.2482,  0.8849 0.174891  3.18649,0.0628835  0.258611 0.0168734  0.963785
24,  1.74013 -0.217313         2,-2.44681 0.987561  6.83312,-1.42487  1.06012        0,4 0 0,-2.32672  1.26057  1.90147, 1.05639 0.154653  2.65066,0.0426158  0.245145  0.010787  0.968489
25, 0.934887 -0.251681         2,-2.85146  1.04616  7.00083,-2.7581 1.10322       0,4 0 0,-1.04086 0.905128   1.7207, 2.54106 0.303161  1.85148,0.0481656  0.206788  0.010193  0.977146
26,  1.73652 -0.322403         2,-2.54326 0.859354  8.12484,-1.78672  0.86808        0,4 0 0,-2.45665 0.992626  1.26404,  0.526257 -0.0901786    2.93589,0.0488053  0.236495 0.0118951  0.970333
27, 1.92733 -0.48182        2,-2.77427  1.68136  8.10556,-1.85964  1.81329        0,4 0 0,-1.35861 0.723424  2.10131, 2.11438 0.252415  1.75297, 0.0389934   0.212871 0.00850238   0.976265
28,  1.71604 -0.788419         2,-4.92996   1.9141  7.40924,-4.40684  1.58884        0,4 0 0,-1.40206  1.53597  2.08418, 1.88619 0.386921  1.91984,0.0781836  0.216402 0.0173883  0.973014
29,  2.06729 -0.662362         2,-4.85193    1.239  7.52971,-4.05076 0.899955        0,4 0 0,-3.90222  1.39292  1.38871,  1.31022 0.0225259   2.95213,0.0702256  0.275826 0.0202103  0.958426
30, 1.06818 0.633332        2,-3.52003  1.24844  7.38747,-3.50234  2.25435        0,4 0 0, -3.4175 0.738243  1.70026,0.927756 0.063327   3.0147,0.0438991  0.276017 0.0126209  0.960067
31, 2.40735 0.136055        2,-3.48892  1.09979  7.77798,-2.22507   1.5963        0,4 0 0,-3.10284  2.11266  1.43627,0.232196 0.420918  3.39761,0.0799732  0.261456 0.0217433  0.961651
32,   1.1665 -0.668732         2,-2.66313  2.08857  6.67924,-2.18125  1.95675        0,4 0 0,-1.67283  1.42222  1.97179, 1.75002 0.266909  2.07238,0.0605273  0.234718 0.0146452  0.970067
33, 1.99379 0.345471        2,-2.71353  1.22277  6.56952,-1.42837  1.88756        0,4 0 0,-1.86607  1.70957  1.36315,   1.28108 -0.0374839    2.52808,0.0925942  0.221716 0.0211542  0.970475
34, 0.765978 -0.302573         2,-2.08123  1.72889  7.46583,-2.02672  2.01733        0,4 0 0,-1.21138  1.78978 0.965531, 2.61519 0.622704   1.7788,0.0730261  0.211509 0.0158496  0.974515
35, 1.25897 0.362306        2,-2.82719  1.23593  8.49315,-2.68419  2.08609        0,4 0 0,-1.73607  1.77589   1.6588,  1.01451 0.0888049   2.48558,0.0860545  0.209536 0.0185161  0.973831
