number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1, 3.45053 0.312293        2,-5.32483 0.360777  7.11945, -3.0503 0.752749        0,   3 1.67    0,-2.32855 0.703847  1.68865,   1.718 0.398078  1.93775, -0.0261949    0.251285 -0.00680328    0.967535
2, 3.98511 -0.77556        2,-7.05769 0.928423  6.64813,-3.96364 0.270079        0,   3 1.67    0,-3.30265 0.183128  1.24425, 1.10503 0.127582  2.55329, -0.0255332    0.281895 -0.00750482    0.959076
3, 3.45805 -0.14507        2,-6.20606 0.742858  8.09284,-4.29317 0.782742        0,   3 1.67    0,-3.48083 0.685506  1.88461,0.600737 0.198874  2.62058, -0.0196815    0.278955 -0.00571852    0.960085
4,  3.84089 -0.641481         2,-5.94163 0.309834  8.70127,-3.86724 -0.23953        0,   3 1.67    0, -2.77728 -0.296368   2.57473, 0.883495 0.0323744   2.33627,-0.0513225   0.266535 -0.0142144   0.962353
5,  3.09277 -0.431252         2,-4.71195 0.864179  8.03675,-3.04864 0.695091        0,   3 1.67    0,-2.27739 0.553642   2.1299,  1.3134 0.288985  1.93177,-0.0195291   0.246492 -0.0049681   0.968935
6,  3.09782 -0.278223         2,-6.57208 0.309961  6.72115, -4.45787 0.0781284         0,   3 1.67    0,failed,failed,failed
7,   3.50367 -0.0788334          2, -5.75306 0.0371703    7.7256,  -3.66154 -0.0325392          0,   3 1.67    0,  -2.82651 -0.0379342    1.93645,  0.989147 -0.0415281    2.41168,-0.0509696   0.263975 -0.0139705    0.96308
8, 3.07977 0.629049        2, -5.98475 0.0105736   7.78391,-4.34139 0.642161        0,   3 1.67    0, -3.4181 0.640529  2.06272,0.873666 0.269686  2.63155,-0.0349742   0.275048 -0.0100127   0.960742
9,  4.13555 -0.223165         2,-6.47779 0.738907  8.51619,-4.04699 0.710199        0,   3 1.67    0,-3.02095 0.593161  2.30618,0.845447 0.247522  2.29192, -0.0219531    0.277348 -0.00633904    0.960498
10, 3.17031 0.471531        2,  -5.03181 0.00682447    7.48444,-3.15906 0.480116        0,   3 1.67    0, -2.3799 0.479059   1.9341,  1.2583 0.136077   2.1846,-0.0400942   0.249706 -0.0103487   0.967436
11,  3.86596 -0.106054         2, -6.13903 0.0241309   6.81636,  -3.31955 -0.0778092          0,   3 1.67    0,  -2.44667 -0.0812403    1.73993,  1.59569 0.0909707   2.21174,-0.0503957   0.262792 -0.0137462   0.963437
12,  3.66831 -0.100212         2,-6.37354 0.531942  8.64518,-4.46196 0.578348        0,   3 1.67    0,-3.43444  0.49259  2.35557, 1.27512 0.297135  2.16272, -0.0279711    0.278954 -0.00812893    0.959863
13,  4.42641 -0.695083         2,-6.56713  0.28344   6.7632, -3.14096 -0.368472         0,   3 1.67    0, -2.24145 -0.407295   1.69426,  1.94295 -0.060834   2.01849,-0.050829  0.261897 -0.013814  0.963657
14, 3.78533 0.251239        2,-5.61125 0.387217  8.66731,-3.54441 0.757043        0,   3 1.67    0, -2.5928 0.691376  2.41552, 0.98231 0.328128  2.02068, -0.0280514    0.264518 -0.00769764    0.963942
15,  4.07996 -0.242073         2,-6.38999 0.758931   7.7686,-3.73562 0.686174        0,   3 1.67    0,failed,failed,failed
16, 4.10394 0.386365        2,-5.73468 0.343813   8.1282,-3.18115 0.823129        0,   3 1.67    0,-2.26336 0.768105  2.18804,    1.35 0.367049  1.82477, -0.0268601    0.261119 -0.00726879    0.964905
17,  3.50939 -0.663698         2,-6.16872  1.05001   7.6184,-4.01458 0.616998        0,   3 1.67    0,-3.19888 0.478152  1.80393,  2.06492 -0.212687   1.82342, -0.0164109    0.271926 -0.00463803    0.962167
18, 3.46967 0.334666        2,-6.33288 0.224577  7.29223,-4.10549 0.603297        0,   3 1.67    0,-3.21799 0.571825  1.82196, 1.06866 0.235465  2.52733, -0.0316159    0.276501 -0.00910183     0.96045
19,  3.31476 -0.686484         2,-5.99247 0.570901  8.10523, -4.22953 0.0322578         0,   3 1.67    0,  -3.43991 -0.0429689    1.87947, 0.912774 -0.184346   2.47054,-0.0406931   0.276768 -0.0117318   0.960003
