number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1,   1.4325 -0.700695         2,-2.87271  1.30212  8.05639,-2.49126  1.07784        0,1.75    0    0,-2.18169  2.18334  1.22493, 1.66754 0.589278  1.36943,0.0936122  0.206421  0.019844  0.973773
2, 1.77998 0.188422        2,-4.46444 0.796189  7.85807,-4.02595  1.22385        0,1.75    0    0,-2.05256 0.878987  1.93597, 1.14985 0.250299  1.08969,0.0617799  0.203097 0.0128411  0.977123
3,  2.5451 0.699679        2, -2.881 1.17908 7.38609,-1.26153  2.25759        0,1.75    0    0,-3.3267 1.09915 2.01556,0.423665 0.328719  2.17666,0.0480771  0.241597 0.0119855  0.969111
4,    0.935332 -0.000194814            2,-3.36113  1.81809  7.99348,-3.55651  2.42952        0,1.75    0    0,-1.00404  2.15221  1.14581, 2.59009 0.610086 0.434556, 0.101185  0.178343 0.0184407  0.978578
5, 2.75783 0.202199        2,-4.68904 0.648082  8.37188,-3.45514   1.0609        0,1.75    0    0,failed,failed,failed
6, 0.527279 -0.623093         2,-2.13986  2.22153  8.40786,-2.44855  2.46632        0,1.75    0    0,failed,failed,failed
7, 0.86157 0.458419        2,  -2.133 0.424616  7.92657,-2.10165  1.04831        0,1.75    0    0,-2.1861 2.19385 1.67233,  1.0227 0.811532  1.38342,0.120144 0.180411 0.022209 0.975973
8,  2.57395 -0.181424         2,-3.32485  1.90619  7.75968,-1.81288  2.33361        0,1.75    0    0,-1.79606 0.987472  1.78181, 1.43072 0.239219 0.908061, 0.0428346     0.1841 0.00803088   0.981941
9, 2.70175 0.014798        2,-2.84791 0.814381   7.0909,-1.00745  1.07547        0,1.75    0    0,-1.48421  2.14518  1.34987, 2.06013 0.707221 0.724801, 0.114495   0.19346 0.0227382  0.974139
10, 2.92332 0.413524        2,-5.22211 0.524558  8.45427,-3.9125 1.10018       0,1.75    0    0,-0.848789    1.0301  0.760127, 1.39096 0.433185 0.475943,0.0590602  0.186003 0.0112015  0.980709
11, 2.88565 0.112657        2,-3.79357  1.57286  7.85028, -2.113 2.18516       0,1.75    0    0,failed,failed,failed
12, 1.11241 0.268006        2,-2.51489 0.824368  7.87927,-2.33322  1.39746        0,1.75    0    0,-1.6517  1.9939 1.60331, 1.43498 0.489162 0.958404, 0.100857  0.207647 0.0215293  0.972752
13,  2.25489 -0.475054         2,-2.42319  1.22699  6.80102,-0.867293   1.10587         0,1.75    0    0,-1.97361  1.27959  1.79496, 1.36135 0.310835  1.08768,0.0611442  0.192285 0.0120049  0.979359
14,  2.8319 0.184873        2, -3.3949 0.633295  8.11479,-1.77854  1.04492        0,1.75    0    0,-0.726932    1.0348  0.750862, 1.44317 0.339546 0.459186,0.0727243  0.177361 0.0131434  0.981367
